,ABAT (18)
ACH-000004,-0.05102709307155488
ACH-000005,-0.0882059189989519
ACH-000007,0.17390858005700285
ACH-000009,0.13318164030170807
ACH-000011,-0.07044418779377401
ACH-000012,-0.1682689643048734
ACH-000013,-0.029960723109725237
ACH-000014,-0.15066422447378586
ACH-000015,-0.08259963036654905
ACH-000017,-0.06256984851055877
ACH-000018,0.11545452869175353
ACH-000019,-0.07218274762613612
ACH-000021,-0.11778651949403585
ACH-000022,0.1541525765026832
ACH-000025,-0.14803166621955316
ACH-000028,0.0037485226814198756
ACH-000030,0.0689046140823147
ACH-000035,-0.19757833060474303
ACH-000036,-0.08709003139377701
ACH-000037,0.07583450987712402
ACH-000039,-0.054116116541353516
ACH-000040,-0.06495719151959012
ACH-000041,0.08908855194522511
ACH-000042,0.011554603900188823
ACH-000045,-0.08638230981619491
ACH-000047,0.001896677014682334
ACH-000052,-0.2245693294880486
ACH-000053,-0.01839639565793337
ACH-000054,-0.09591515012725292
ACH-000055,0.1366471211050892
ACH-000060,-0.04534362327026265
ACH-000067,0.0005053275054872667
ACH-000070,-0.09268154061053437
ACH-000075,0.0788557637056287
ACH-000078,0.0480877546584802
ACH-000082,0.0549499724478716
ACH-000085,-0.06628083790780565
ACH-000086,0.005341504040678162
ACH-000087,-0.04614657683282032
ACH-000092,-0.0015565919652630533
ACH-000095,0.02117069231710804
ACH-000097,-0.043593321780992136
ACH-000098,-0.0841359046070613
ACH-000099,-0.04617538154618296
ACH-000108,0.01384839244862222
ACH-000113,0.044281264186042016
ACH-000116,-0.007672319719453814
ACH-000118,-0.18958461628897288
ACH-000120,0.04845133793629874
ACH-000123,-0.03337234406174838
ACH-000127,-0.22090906622989
ACH-000128,-0.00676577798696368
ACH-000132,0.18119994524219568
ACH-000133,0.060513203084041935
ACH-000137,0.05374076032557264
ACH-000138,0.0889936890229265
ACH-000142,0.13070670316407798
ACH-000143,-0.013392508795965487
ACH-000146,-0.03370519748734517
ACH-000148,0.05382238811486033
ACH-000150,-0.08828089404677877
ACH-000152,-0.07146696376349243
ACH-000153,-0.10301628081064587
ACH-000159,-0.0921811160105184
ACH-000160,0.3766376423437625
ACH-000163,0.007012514454010892
ACH-000167,0.5825802229633418
ACH-000168,-0.17364378171966444
ACH-000169,-0.014211512803810512
ACH-000178,-0.004145846578119758
ACH-000183,0.026637238607126152
ACH-000188,-0.02687020598399473
ACH-000189,0.3233471019952179
ACH-000190,0.18147738788347176
ACH-000198,0.08095486581376939
ACH-000203,-0.12324860811648505
ACH-000204,-0.0976187992778344
ACH-000206,-0.16470896026726406
ACH-000207,-0.1574636480699019
ACH-000208,-0.2400249336458102
ACH-000210,0.04176855386297746
ACH-000211,0.027206848194823646
ACH-000215,-0.029933131908751357
ACH-000221,-0.0005037623109011147
ACH-000222,-0.04856235046177356
ACH-000223,0.04542924749506797
ACH-000226,-0.1412311236341094
ACH-000227,-0.03907730803158931
ACH-000228,0.07128624773183613
ACH-000231,-0.0455616119991853
ACH-000232,-0.11737475530371687
ACH-000233,-0.056421802767448265
ACH-000234,-0.01890534822243894
ACH-000235,-0.05092016468868515
ACH-000237,-0.048542255860874614
ACH-000238,-0.016930607762777678
ACH-000242,-0.1947609044856019
ACH-000243,-0.25316074919771514
ACH-000244,0.1324236354287393
ACH-000246,-0.05649517230470821
ACH-000248,-0.00424713872391526
ACH-000250,-0.12217328038289108
ACH-000251,0.022511341183683826
ACH-000252,-0.003220206330871389
ACH-000253,-0.08732996040199117
ACH-000255,0.1709131789709782
ACH-000256,-0.07743212329181623
ACH-000257,-0.20888634829898514
ACH-000258,-0.028574302835713758
ACH-000259,-0.021856292624751302
ACH-000260,0.005897952428467185
ACH-000261,-0.058342803028866075
ACH-000262,-0.1425364597969392
ACH-000263,-0.3462268424360924
ACH-000264,-0.10393086340802694
ACH-000265,-0.201108080973818
ACH-000266,0.012388727768367936
ACH-000272,-0.04742427377268103
ACH-000274,-0.022408427910354783
ACH-000277,0.027743258772356047
ACH-000278,-0.019990408095512703
ACH-000279,-0.031928717959845525
ACH-000280,-0.18834576719953866
ACH-000281,-0.08432791286104856
ACH-000288,-0.05825096471461064
ACH-000291,0.044141113473053266
ACH-000293,-0.09983790002952718
ACH-000294,-0.14439225253782334
ACH-000295,-0.08815943838925452
