,OBSL1 (23363)
ACH-000004,-0.267407318774772
ACH-000005,-0.23718875104440745
ACH-000007,-0.16099607678902333
ACH-000009,-0.2913888906240758
ACH-000011,-0.3258409969304154
ACH-000012,-0.1032769756564795
ACH-000013,-0.11096013292982293
ACH-000014,-0.23743440197963964
ACH-000015,-0.23479279750664336
ACH-000017,-0.12316383724303015
ACH-000018,-0.2140886394829609
ACH-000019,-0.2847336806419779
ACH-000021,-0.06622806119038394
ACH-000022,-0.22659172740474964
ACH-000025,-0.08970136626310815
ACH-000028,-0.20664669090691384
ACH-000030,-0.2493036740536878
ACH-000035,-0.10057958336876263
ACH-000036,-0.3483900118230291
ACH-000037,-0.21259803186597345
ACH-000039,-0.17251555657003873
ACH-000040,-0.12842785727588107
ACH-000041,-0.21769210397539665
ACH-000042,-0.22677631977345494
ACH-000045,-0.2379188969447449
ACH-000047,-0.24988833726102594
ACH-000052,-0.3358691964113312
ACH-000053,-0.13758345871279892
ACH-000054,-0.2315554296704304
ACH-000055,-0.4484808089869516
ACH-000060,-0.225005858332762
ACH-000067,-0.26411062715726474
ACH-000070,-0.1481360761506866
ACH-000075,-0.5118312365936173
ACH-000078,-0.3076768421727574
ACH-000082,-0.3098855626341367
ACH-000085,-0.3664690344965229
ACH-000086,-0.14350059587868053
ACH-000087,-0.2308908909909205
ACH-000092,-0.3126751278181327
ACH-000095,-0.32383960134024603
ACH-000097,-0.22860233413450864
ACH-000098,-0.35393477778534743
ACH-000099,-0.22107365791862973
ACH-000108,-0.2518949545427711
ACH-000113,-0.3317379133548309
ACH-000116,-0.13856018541413198
ACH-000118,-0.1700348994956382
ACH-000120,-0.2757550501191193
ACH-000123,-0.15115836173057207
ACH-000127,-0.2138824271318451
ACH-000128,-0.18546813695793896
ACH-000132,-0.17279294161551206
ACH-000133,-0.30807764920178043
ACH-000137,-0.35411639751595164
ACH-000138,-0.18454355262784106
ACH-000142,-0.07511909565361466
ACH-000143,-0.14832459567639233
ACH-000146,-0.10616770214420747
ACH-000148,-0.1562042658361973
ACH-000150,-0.06516542841105809
ACH-000152,-0.21365102169354072
ACH-000153,0.040616045921598135
ACH-000159,-0.1202451454740765
ACH-000160,-0.2685740992040101
ACH-000163,-0.13759645094906972
ACH-000167,0.1348328894633114
ACH-000168,0.03550551763838635
ACH-000169,-0.31792646722763185
ACH-000178,-0.2484851690922983
ACH-000183,-0.21917648461244335
ACH-000188,-0.2809165970137161
ACH-000189,-0.209543235421901
ACH-000190,-0.12938788562938264
ACH-000198,-0.2532973221931053
ACH-000203,0.1518284788528635
ACH-000204,-0.4411174044139588
ACH-000206,-0.084295481479151
ACH-000207,-0.20351471746606686
ACH-000208,-0.2395802760797571
ACH-000210,-0.32576420673396217
ACH-000211,-0.28476167565765736
ACH-000215,-0.10878003824054516
ACH-000221,-0.3109937466335893
ACH-000222,-0.3401402466899832
ACH-000223,-0.15303395205630654
ACH-000226,-0.30714669729308736
ACH-000227,-0.3072379993525773
ACH-000228,-0.3412246538558014
ACH-000231,-0.20355922509921104
ACH-000232,-0.2383551720530542
ACH-000233,-0.1924029135354632
ACH-000234,-0.3115359941947909
ACH-000235,-0.19390894285925053
ACH-000237,-0.2275977860042935
ACH-000238,-0.10722564898591176
ACH-000242,-0.2455680065100073
ACH-000243,-0.15627152415313805
ACH-000244,-0.07488242054599957
ACH-000246,-0.2274223479384984
ACH-000248,-0.2986185445891895
ACH-000250,-0.16287215189284068
ACH-000251,-0.43109167916453295
ACH-000252,-0.12283269853759328
ACH-000253,-0.21767862764011808
ACH-000255,-0.2572303647794377
ACH-000256,0.0378077499069465
ACH-000257,-0.2539162839271401
ACH-000258,-0.10779458522307317
ACH-000259,-0.24590375616096266
ACH-000260,-0.31943592380524555
ACH-000261,-0.2139417719767359
ACH-000262,-0.16260329605856574
ACH-000263,-0.22796678070669804
ACH-000264,-0.14616854474861915
ACH-000265,-0.1856125930390528
ACH-000266,-0.1713788033470318
ACH-000272,-0.1237267112152306
ACH-000274,-0.2455997375008099
ACH-000277,-0.29542271601642617
ACH-000278,-0.20024672836391805
ACH-000279,-0.09035683116799184
ACH-000280,-0.0504990791657096
ACH-000281,-0.18125846530520967
ACH-000288,-0.3644879439717178
ACH-000291,-0.270950014166216
ACH-000293,-0.12979351637016806
ACH-000294,-0.04748040815366992
ACH-000295,-0.28465598231361644
ACH-000296,0.0117995714184855
ACH-000302,-0.24679508911989945
ACH-000304,-0.007362021751486291
ACH-000307,-0.09665743829403926
ACH-000308,-0.0933786096769567
ACH-000310,-0.2041776656694548
ACH-000311,-0.16925797391756936
ACH-000312,-0.23107952627569944
ACH-000315,-0.23861453085689802
ACH-000316,-0.04116324081846673
ACH-000317,-0.1142509368193264
ACH-000318,-0.19541399769103104
ACH-000319,0.050974626249970206
ACH-000320,-0.3084553979932366
ACH-000322,-0.3332991485796157
ACH-000323,-0.14349824405766132
ACH-000324,-0.28633277458633066
ACH-000329,-0.4118172573616189
ACH-000330,-0.33959980166576825
ACH-000331,-0.3268071560261494
ACH-000332,-0.15877534549705236
ACH-000334,0.033300257285326984
ACH-000335,-0.2492180334217608
ACH-000336,-0.4488423513813048
ACH-000337,-0.17049575174245207
ACH-000338,0.2101433377951328
ACH-000339,-0.1509472250715384
ACH-000341,0.041740664058627135
ACH-000348,-0.20009700150566972
ACH-000350,-0.10467234302670334
ACH-000352,-0.199378342876795
ACH-000356,-0.22037496564446396
ACH-000361,-0.16346126827682195
ACH-000362,-0.11898964663636012
ACH-000363,-0.17107624129285556
ACH-000364,-0.34489627993273936
ACH-000365,-0.2309679488007291
ACH-000366,-0.2450378684565737
ACH-000368,-0.2039826975008125
ACH-000374,-0.33728040758302186
ACH-000375,-0.27478377950858457
ACH-000376,-0.1996647377780337
ACH-000381,-0.259234805693582
ACH-000383,-0.15289332284114068
ACH-000387,-0.17355011912184162
ACH-000389,-0.26342348203678656
ACH-000390,-0.27103468112413626
ACH-000393,-0.15480726689176585
ACH-000395,-0.0292976157386454
ACH-000396,-0.4991422508626605
ACH-000397,-0.3601485331099724
ACH-000401,-0.1867495680738291
ACH-000402,-0.3707052543088928
ACH-000403,-0.2826165017946237
ACH-000404,-0.15386882886880507
ACH-000406,-0.1142591970961502
ACH-000407,-0.28302575012777764
ACH-000408,-0.19185074336168065
ACH-000410,-0.4274459974372075
ACH-000411,-0.21069201047611424
ACH-000414,-0.3155297467633064
ACH-000415,-0.3255761309389868
ACH-000416,-0.16530739585384316
ACH-000420,-0.33429352766459564
ACH-000421,-0.20874665425476568
ACH-000424,0.026620507666237872
ACH-000425,-0.3457084990932265
ACH-000426,-0.012877882565309756
ACH-000427,-0.3052560592037913
ACH-000433,-0.11467812866446805
ACH-000435,0.07259958558434025
ACH-000436,-0.20935473360721285
ACH-000444,-0.20392062814468767
ACH-000445,-0.3200606833903479
ACH-000448,-0.0823577500943776
ACH-000450,0.06380504414424107
ACH-000452,-0.1150155815700481
ACH-000454,-0.07621201655499711
ACH-000458,-0.1388668002742616
ACH-000459,-0.17637488180601354
ACH-000460,-0.17896778277394773
ACH-000461,-0.01257481919003768
ACH-000463,-0.13371279221864862
ACH-000464,-0.1811160603759312
ACH-000466,-0.12163636404657414
ACH-000467,-0.13466332048708204
ACH-000468,-0.08934591372323612
ACH-000469,-0.2866352354121418
ACH-000470,-0.030295837107195512
