,GTPBP10 (85865)
ACH-000004,-0.008641829583184237
ACH-000005,-0.12080631200123293
ACH-000007,-0.2964143451132201
ACH-000009,-0.2027430078414292
ACH-000011,0.0615234823578931
ACH-000012,-0.3871855091945812
ACH-000013,-0.2691018134851519
ACH-000014,-0.18253595946028575
ACH-000015,-0.4987154344523785
ACH-000017,-0.08757738922381095
ACH-000018,-0.3355310890932741
ACH-000019,-0.2834513689853612
ACH-000021,-0.4006068464550969
ACH-000022,-0.2893689021266393
ACH-000025,-0.3727694691029428
ACH-000028,-0.6225182345478562
ACH-000030,-0.007214594812248353
ACH-000035,-0.3892854694865071
ACH-000036,-0.035075171500334824
ACH-000037,-0.2629824622824376
ACH-000039,-0.2865765506644988
ACH-000040,-0.14106595249509166
ACH-000041,-0.2340187188197433
ACH-000042,-0.17066122422145275
ACH-000045,-0.3010864898601981
ACH-000047,-0.5345341575121745
ACH-000052,-0.11470121854790385
ACH-000053,-0.17423261749375574
ACH-000054,-0.3129951857239389
ACH-000055,-0.2534006675403713
ACH-000060,-0.19003872524476145
ACH-000067,-0.2255164919114323
ACH-000070,-0.4235773056270716
ACH-000075,-0.018623182437279732
ACH-000078,0.04104170554723478
ACH-000082,-0.11429992760898555
ACH-000085,-0.0598905075385135
ACH-000086,-0.4774657482790165
ACH-000087,-0.4016617207330299
ACH-000092,-0.2382270637737405
ACH-000095,-0.133049070977342
ACH-000097,-0.2592134111746916
ACH-000098,-0.3074904811028588
ACH-000099,-0.2599435656787812
ACH-000108,-0.18787907639549287
ACH-000113,-0.6066451993642771
ACH-000116,-0.10298372680684854
ACH-000118,-0.5985448976405712
ACH-000120,0.0400179610993972
ACH-000123,-0.4116228980035583
ACH-000127,-0.5639151289851484
ACH-000128,-0.3890374486083217
ACH-000132,-0.07769536910191721
ACH-000133,-0.2896607468293737
ACH-000137,-0.2581111410323305
ACH-000138,-0.1705969900083329
ACH-000142,-0.07140436672162398
ACH-000143,-0.3807006479730593
ACH-000146,-0.1790301715498614
ACH-000148,-0.3924272350476695
