,RHOBTB2 (23221)
ACH-000004,-0.023532400055002477
ACH-000005,0.014205036137007234
ACH-000007,-0.0030589226001488928
ACH-000009,0.008072063600653373
ACH-000011,0.08610542497258755
ACH-000012,-0.15295140215036693
ACH-000013,-0.0867166947205234
ACH-000014,-0.15099589181859238
ACH-000015,0.013177435785063423
ACH-000017,0.04357242319852778
ACH-000018,-0.02711659505130574
ACH-000019,-0.12969949673029174
ACH-000021,-0.04356440044230835
ACH-000022,-0.07759793873190837
ACH-000025,-0.058787634416827064
ACH-000028,-0.1216580156583946
ACH-000030,-0.12839324013979886
ACH-000035,-0.3021716954363313
ACH-000036,-0.2256675748820701
ACH-000037,-0.3553139666021627
ACH-000039,-0.10244074555978996
ACH-000040,-0.10485264546084903
ACH-000041,-0.16300415809082267
ACH-000042,-0.0735122471739158
ACH-000045,-0.2922111018496085
ACH-000047,0.049306442274277086
ACH-000052,-0.09545631061110042
ACH-000053,-0.049013519987710086
ACH-000054,0.034283499929425386
ACH-000055,-0.18445128692718213
ACH-000060,-0.11006135020739297
ACH-000067,-0.03244897642587672
ACH-000070,0.011127123946403968
ACH-000075,-0.11573858425796235
ACH-000078,-0.02927553781868708
ACH-000082,-0.0294293740882601
ACH-000085,-0.2388548857430083
ACH-000086,-0.020063535215554387
ACH-000087,-0.152994131195926
ACH-000092,-0.10769548133224333
ACH-000095,-0.03661526301088301
ACH-000097,-0.07266016094662943
ACH-000098,0.11497274035728865
ACH-000099,-0.14386037642586275
ACH-000108,-0.09913115142575817
ACH-000113,-0.0976357564850715
ACH-000116,0.01737172242260053
ACH-000118,-0.14491849150411382
ACH-000120,0.01850590774869353
ACH-000123,-0.02392272372490415
ACH-000127,-0.0664120774864379
ACH-000128,-0.0984441534239181
ACH-000132,-0.17993289459761658
ACH-000133,-0.06822411925013784
ACH-000137,-0.14937475242988255
ACH-000138,-0.05744775040401685
ACH-000142,0.02310408261721859
ACH-000143,-0.15307476160785916
ACH-000146,-0.11160804019680544
ACH-000148,-0.08870504391132299
ACH-000150,-0.2111017033531168
ACH-000152,-0.014506286356638224
ACH-000153,-0.2024974606089172
ACH-000159,-0.01695420635478203
ACH-000160,-0.130324883146128
ACH-000163,-0.21419680474775274
ACH-000167,-0.2655445729208501
ACH-000168,-0.2782430764115435
ACH-000169,0.025585234389738625
ACH-000178,0.016755938126211185
ACH-000183,-0.12103779263076755
ACH-000188,-0.1275965534708134
ACH-000189,-0.1970289149179932
ACH-000190,-0.20650219908252013
ACH-000198,-0.13554671871951876
ACH-000203,-0.2853042885958564
ACH-000204,-0.20020383852863666
ACH-000206,-0.16517386167697934
ACH-000207,-0.2650553166193871
ACH-000208,-0.060976974593272115
ACH-000210,0.19915211064361446
ACH-000211,-0.19902401277084636
ACH-000215,-0.08058586506127173
ACH-000221,-0.09091642562710862
ACH-000222,-0.08353972987172598
ACH-000223,-0.07650168481521362
ACH-000226,0.14274887415709828
ACH-000227,-0.24296379503880114
ACH-000228,-0.1440274373568677
ACH-000231,-0.06783449410239517
ACH-000232,-0.21196415892759352
ACH-000233,-0.0348423956809364
ACH-000234,-0.019312096099252364
ACH-000235,-0.0904104324702913
ACH-000237,-0.21181628992146806
ACH-000238,-0.10103201628510837
ACH-000242,-0.3570581217335898
ACH-000243,-0.14226226777494724
ACH-000244,0.07042317099270598
ACH-000246,-0.08396839661598779
ACH-000248,-0.026719854003977608
ACH-000250,-0.09647750604654658
ACH-000251,0.050891112846049344
ACH-000252,0.023398115965214416
ACH-000253,-0.1792331505860521
ACH-000255,-0.0024325784681975466
ACH-000256,-0.0742963320122745
ACH-000257,0.06152570335364885
ACH-000258,0.047987624013245765
ACH-000259,-0.10968523234730199
ACH-000260,0.014617650961601171
ACH-000261,-0.1677000949907921
ACH-000262,0.011774429960715656
ACH-000263,-0.3775750668711224
ACH-000264,-0.10071545335647536
ACH-000265,0.028151136979139506
ACH-000266,-0.07685437883330519
ACH-000272,-0.04024124290035857
ACH-000274,-0.1657817247488361
ACH-000277,-0.07168505350997334
ACH-000278,-0.16437330156458355
ACH-000279,0.010919647256600159
ACH-000280,-0.10686907170509387
ACH-000281,-0.2655192029065939
ACH-000288,0.05867979144835494
ACH-000291,-0.010162863496126122
ACH-000293,0.042744080545004816
ACH-000294,-0.112194400431035
ACH-000295,-0.12354777995343698
ACH-000296,-0.3290835156569571
ACH-000302,-0.1549942718195869
ACH-000304,0.09057857957766084
ACH-000307,-0.1578723894171707
ACH-000308,-0.12244587205118618
ACH-000310,-0.21694761699332832
ACH-000311,-0.08102988604326218
ACH-000312,-0.10480328999768064
ACH-000315,0.08620075156940292
ACH-000316,-0.14060336992560096
ACH-000317,-0.13224238819838624
ACH-000318,-0.13171710368582312
ACH-000319,-0.08479423293258917
ACH-000320,-0.06994080619175777
ACH-000322,-0.12142597695214755
ACH-000323,0.014712532808594973
ACH-000324,-0.0877028953502667
ACH-000329,-0.20682919490338436
