,FUBP1 (8880)
ACH-000004,-0.20198236829623067
ACH-000005,-0.2703198901108966
ACH-000007,-0.2318769943810556
ACH-000009,-0.12854413745155954
ACH-000011,-0.16727905842771512
ACH-000012,-0.4338924455596609
ACH-000013,-0.3035053056993379
ACH-000014,-0.3350179219113049
ACH-000015,-0.2805787264195891
ACH-000017,-0.11611809461462287
ACH-000018,-0.25384436383685016
ACH-000019,-0.7498993495277938
ACH-000021,-0.6038664518685068
ACH-000022,-0.3420303694499696
ACH-000025,-0.33036937711710274
ACH-000028,-0.5063318432548564
ACH-000030,-0.44096441960521976
ACH-000035,-0.4712768160531319
ACH-000036,-0.4953021026436817
ACH-000037,-0.0014970503878797485
ACH-000039,-0.026482078320691875
ACH-000040,-0.2808741841233205
ACH-000041,-0.17263563694636785
ACH-000042,-0.2635797159112027
ACH-000045,0.22501650689082167
ACH-000047,-0.4270341575605623
ACH-000052,-0.014646682287112519
ACH-000053,0.03817876329176373
ACH-000054,-0.06257019873903834
ACH-000055,-0.2870784291776362
ACH-000060,-0.3156190769655268
ACH-000067,-0.28140355096698755
ACH-000070,-0.587621283916022
ACH-000075,-0.40663720932950254
ACH-000078,-0.21714467590164235
ACH-000082,0.08788084738708124
ACH-000085,-0.3430062195595246
ACH-000086,-0.22078644950285756
ACH-000087,-0.3495101334250127
ACH-000092,-0.14066255486935125
ACH-000095,-0.17006892123156112
ACH-000097,-0.3330731674919638
ACH-000098,-0.004466022917267281
ACH-000099,0.09287120347937744
ACH-000108,-0.4770659557359197
ACH-000113,-0.4901907081486373
ACH-000116,-0.6412154248404669
ACH-000118,-0.1448493176632581
ACH-000120,-0.4710877112345681
ACH-000123,-0.21817513067652852
ACH-000127,-0.32726693368612536
ACH-000128,-0.10145614093262176
ACH-000132,-0.02909190063279555
ACH-000133,-0.3116852520863716
ACH-000137,-0.4880506798815718
ACH-000138,-0.34884128047266594
ACH-000142,-0.23841596020455705
ACH-000143,-0.10947339387602403
ACH-000146,-0.2046786167413532
ACH-000148,-0.19248811720414685
ACH-000150,-0.31382140350311
ACH-000152,-0.35415434077486435
ACH-000153,-0.24574222991541986
ACH-000159,-0.35588540768875426
ACH-000160,-0.33678541621045266
ACH-000163,-0.07548750230151154
ACH-000167,0.03468917931013426
ACH-000168,-0.16914334057654362
ACH-000169,-0.2919219629100348
ACH-000178,-0.32089550386211285
ACH-000183,0.22512178260133495
ACH-000188,-0.6357517147700077
ACH-000189,-0.059273693740783825
ACH-000190,-0.2109435330354982
ACH-000198,-0.2739204982360757
ACH-000203,-0.29925900030777125
ACH-000204,-0.2189916570512028
ACH-000206,-0.12740637870132965
ACH-000207,-0.02552812830547739
ACH-000208,-0.4092611787616655
ACH-000210,-0.2887848052744887
ACH-000211,-0.1897739126323689
ACH-000215,-0.05400669968666536
ACH-000221,-0.3473661386581415
ACH-000222,0.04823480802799867
ACH-000223,-0.3703009181054254
ACH-000226,-0.515015931217079
ACH-000227,-0.2270011589061291
ACH-000228,-0.5112502742403677
ACH-000231,-0.11605771307904247
ACH-000232,-0.14437438246041182
ACH-000233,-0.7320067228262066
ACH-000234,-0.4478148285661781
ACH-000235,-0.2722887325376888
ACH-000237,-0.5701353804560088
ACH-000238,-0.6273153219402844
ACH-000242,-0.3121168200385549
ACH-000243,-0.1861146595326805
ACH-000244,-0.42157648669110376
ACH-000246,-0.19331244439258746
ACH-000248,-0.6326635964736947
ACH-000250,-0.501718218516069
ACH-000251,-0.5113326864585634
ACH-000252,0.01144747156352258
ACH-000253,-0.14997410353379664
ACH-000255,-0.1706189086698697
ACH-000256,-0.08260341575639016
ACH-000257,-0.1568391203839912
ACH-000258,-0.25198703379433396
ACH-000259,-0.21002182860917046
ACH-000260,-0.2855601654572069
ACH-000261,-0.31198816202493845
ACH-000262,-0.09841029266201147
ACH-000263,-0.10025768264298857
ACH-000264,-0.5537575727779194
ACH-000265,-0.13196213061030032
ACH-000266,-0.1972292591773674
ACH-000272,-0.192615998428998
ACH-000274,-0.16168088752162935
ACH-000277,-0.16452621646472326
ACH-000278,-0.5770307816640843
ACH-000279,-0.2195811933126954
ACH-000280,-0.18602252792049895
ACH-000281,-0.12339070943068856
ACH-000288,-0.20916080712264515
ACH-000291,-0.3287313785708494
ACH-000293,-0.3201821794408566
ACH-000294,-0.14046554218050453
ACH-000295,0.013140731892866523
ACH-000296,-0.2381368587810681
ACH-000302,-0.4780768837926466
ACH-000304,0.15022081791525596
ACH-000307,-0.3690049557452485
ACH-000308,0.04624013870507563
ACH-000310,-0.24488973993877705
ACH-000311,-0.1770987166940408
ACH-000312,-0.35134282370870124
ACH-000315,-0.1388370410431166
ACH-000316,-0.104005694863603
ACH-000317,-0.3576816533779941
ACH-000318,-0.2337780424206196
ACH-000319,-0.4120219416272404
ACH-000320,-0.2500332496695144
ACH-000322,-0.23917412246391906
ACH-000323,-0.24260045735234664
ACH-000324,-0.3422345256047569
ACH-000329,-0.15195358933633166
ACH-000330,-0.07542995720564716
ACH-000331,-0.4369989993427381
ACH-000332,-0.2338811200517397
ACH-000334,-0.16634340208996554
ACH-000335,-0.18871651434258446
ACH-000336,-0.13071258086440354
ACH-000337,-0.371942350885024
ACH-000338,-0.2794526524779056
ACH-000339,-0.4863155721385594
ACH-000341,-0.1479771902804652
ACH-000348,-0.34204292269133674
ACH-000350,0.04869642478017717
ACH-000352,-0.3285364972664633
ACH-000356,-0.012134454343151394
ACH-000361,-0.1520436209004761
ACH-000362,0.18670901367953466
ACH-000363,0.003873521705206959
ACH-000364,-0.5467279411523318
ACH-000365,0.2267889618294576
ACH-000366,-0.3610469648810479
ACH-000368,-0.3677411390094858
ACH-000374,-0.3142582504979989
ACH-000375,-0.03312482116687136
ACH-000376,-0.149508218444042
ACH-000381,0.03791508980210635
ACH-000383,-0.34359572512387904
ACH-000387,-0.21105481514463148
ACH-000389,-0.2751401571679189
ACH-000390,-0.30710775058717915
ACH-000393,-0.36616459320009404
ACH-000395,-0.3411151848480667
ACH-000396,-0.1311699827862207
ACH-000397,-0.4972766365648411
