,SLIRP (81892)
ACH-000004,-0.13923462696864874
ACH-000005,-0.4816947175541685
ACH-000007,-0.3250658459525689
ACH-000009,-0.2252647919041428
ACH-000011,-0.22416007413578254
ACH-000012,-0.1202032992315544
ACH-000013,-0.27008795772505084
ACH-000014,-0.3049399723552418
ACH-000015,-0.1554319995211654
ACH-000017,-0.3167709350307591
ACH-000018,-0.2504469000206285
ACH-000019,-0.2842989104316093
ACH-000021,-0.2196153274511824
ACH-000022,-0.08956912261485629
ACH-000025,-0.2686240398067017
ACH-000028,-0.30146004158198275
ACH-000030,0.03305596652755067
ACH-000035,-0.09551894738091044
ACH-000036,-0.09426124625816737
ACH-000037,-0.1107511344289238
ACH-000039,-0.2884065482812424
ACH-000040,-0.05226936058790624
ACH-000041,0.04916763554990407
ACH-000042,-0.1678902735432328
ACH-000045,-0.19026122512484306
ACH-000047,-0.3933890542181661
ACH-000052,-0.06939074819989476
ACH-000053,-0.2011414784771341
ACH-000054,-0.22757906423111074
ACH-000055,-0.07724831283000319
ACH-000060,-0.4443628602210585
ACH-000067,-0.07487842675297786
ACH-000070,-0.37563631507239664
ACH-000075,-0.15852674901991945
ACH-000078,-0.033717992072517355
ACH-000082,-0.4311511239954873
ACH-000085,-0.3668200257693821
ACH-000086,-0.2430298937510713
ACH-000087,0.014789168428605469
ACH-000092,-0.23757046570829304
ACH-000095,-0.0154012178704343
ACH-000097,-0.2943178504094415
ACH-000098,-0.2312729287882867
ACH-000099,-0.21111165071676194
ACH-000108,-0.2350407860181709
ACH-000113,-0.15473134191109628
ACH-000116,-0.12353120076049424
ACH-000118,-0.25567178977423993
ACH-000120,-0.1915475938124288
ACH-000123,-0.238335335507348
ACH-000127,-0.2712827504208321
ACH-000128,-0.34407880299249083
ACH-000132,-0.09669371300484757
ACH-000133,-0.20825864228003396
ACH-000137,-0.2433423773218681
ACH-000138,-0.15839371567478416
ACH-000142,-0.1381154942810654
ACH-000143,-0.2483111072897441
ACH-000146,-0.23928326015668225
ACH-000148,-0.3093429484752781
