,SUGCT (79783)
ACH-000004,-0.1472485854097066
ACH-000005,0.0394055360983576
ACH-000007,-0.05608863357997451
ACH-000009,-0.09576420409733677
ACH-000011,-0.10366004938595602
ACH-000012,0.004063609141670181
ACH-000013,-0.01761622303931222
ACH-000014,-0.04417403365748869
ACH-000015,-0.09527310644439853
ACH-000017,0.06484268280936985
ACH-000018,-0.079808620928255
ACH-000019,-0.05306196876176942
ACH-000021,-0.0022231546247256395
ACH-000022,-0.043935350491061065
ACH-000025,-0.07633653900156162
ACH-000028,0.012599116851349
ACH-000030,-0.07766820268379115
ACH-000035,-0.1968988941305864
ACH-000036,-0.0578112517918904
ACH-000037,0.08258091861045311
ACH-000039,0.08855874194086015
ACH-000040,-0.047572250620924426
ACH-000041,-0.08355983184417694
ACH-000042,-0.07031238300984781
ACH-000045,-0.02280290047485674
ACH-000047,-0.11618050294041275
ACH-000052,0.0984684522189185
ACH-000053,-0.08972812526528047
ACH-000054,-0.04542230164676775
ACH-000055,-0.22176925502991304
ACH-000060,-0.08764203104411547
ACH-000067,0.01689061037188435
ACH-000070,0.0039807762381162
ACH-000075,-0.07763040122667128
ACH-000078,0.0441667271132956
ACH-000082,-0.08457126663598011
ACH-000085,-0.4557784279864687
ACH-000086,0.20191085788864824
ACH-000087,-0.016725232485438116
ACH-000092,-0.01226958354686333
ACH-000095,-0.049914921599938974
ACH-000097,-0.0034277487724050193
ACH-000098,-0.1004100333955529
ACH-000099,-0.09167332760281846
ACH-000108,0.0198306374614577
ACH-000113,-0.04797034986888568
ACH-000116,-0.0035693832842170407
ACH-000118,0.017914001354094586
ACH-000120,-0.034228625183809966
ACH-000123,0.014318043943705634
ACH-000127,-0.029720196935315326
ACH-000128,-0.1333574743724708
ACH-000132,0.03796321990796151
ACH-000133,-0.1245411895338802
ACH-000137,-0.034558165981011864
ACH-000138,-0.012868708966470924
ACH-000142,-0.03987770013959281
ACH-000143,-0.12122731692937334
ACH-000146,-0.047520657719888
ACH-000148,0.007199068028545275
ACH-000150,-0.046304684555482686
ACH-000152,-0.048679250305795334
ACH-000153,-0.24195973685342276
ACH-000159,0.0077731157335588765
ACH-000160,-0.11112605939391637
ACH-000163,-0.1565016552396998
ACH-000167,-0.10681541709837583
ACH-000168,-0.048601346426826585
ACH-000169,-0.025119282348709627
