,NFKBIB (4793)
ACH-000004,-0.18959586649475266
ACH-000005,-0.1740656204992002
ACH-000007,-0.157504275377477
ACH-000009,-0.22859225428278035
ACH-000011,-0.16907619104590307
ACH-000012,-0.18937302665714795
ACH-000013,-0.5029245096292415
ACH-000014,0.04423345244824604
ACH-000015,-0.2758838416507285
ACH-000017,-0.12399861455907722
ACH-000018,0.05089142236522298
ACH-000019,-0.4588442222929405
ACH-000021,-0.3394246619867209
ACH-000022,-0.293624029423212
ACH-000025,-0.19932538287273754
ACH-000028,-0.19902140842576446
ACH-000030,-0.2634865118584616
ACH-000035,-0.22458832586148653
ACH-000036,-0.3632600078075328
ACH-000037,-0.20518902739735734
ACH-000039,-0.015245954869744284
ACH-000040,-0.09482878103974292
ACH-000041,-0.21663842390767635
ACH-000042,-0.06194267258832479
ACH-000045,-0.21327690441854089
ACH-000047,-0.19532324084490724
ACH-000052,-0.5119041119647789
ACH-000053,-0.3551408245609857
ACH-000054,-0.2523274652530314
ACH-000055,-0.3185045157200832
ACH-000060,-0.06777901131567067
ACH-000067,-0.4134848102479898
ACH-000070,-0.04603628140006714
ACH-000075,-0.4989209335713775
ACH-000078,-0.1106947536652709
ACH-000082,-0.1923282897126728
ACH-000085,0.06772265598981837
ACH-000086,-0.32648033104809104
ACH-000087,-0.12464440562962265
ACH-000092,-0.26918093763550555
ACH-000095,-0.1946691471207758
ACH-000097,-0.3447303685459939
ACH-000098,-0.3175507301251576
ACH-000099,-0.2108558911433933
ACH-000108,-0.02602295848437989
ACH-000113,-0.369962212548585
ACH-000116,-0.2581813057900517
ACH-000118,-0.20214886963092188
ACH-000120,-0.15365049980018788
ACH-000123,-0.2733578157594092
ACH-000127,-0.3016487081674815
ACH-000128,-0.20571251983499989
ACH-000132,-0.08521309393165641
ACH-000133,-0.15116433524689776
ACH-000137,-0.330062152751178
ACH-000138,-0.14012937164166148
ACH-000142,-0.3158916049219375
ACH-000143,-0.16663751871189805
ACH-000146,-0.3170155580459321
ACH-000148,-0.17735300273234111
ACH-000150,-0.08374688022107538
ACH-000152,-0.3043767064370277
ACH-000153,-0.4718410173218163
ACH-000159,-0.11484982747920433
ACH-000160,-0.37084950890867613
ACH-000163,-0.3060504870162827
ACH-000167,-0.4484481007188352
ACH-000168,-0.3536415821673025
ACH-000169,-0.15300163790297902
ACH-000178,-0.2514430403141991
ACH-000183,-0.21187254031399974
ACH-000188,-0.3343328911855915
ACH-000189,-0.1771875326918068
ACH-000190,-0.3610247638343245
ACH-000198,-0.3195081609114233
ACH-000203,-0.6326810582629422
ACH-000204,-0.2363346701425181
ACH-000206,-0.3858172472975565
ACH-000207,-0.1543558828750832
ACH-000208,-0.11529269225239633
ACH-000210,-0.128948000357071
ACH-000211,-0.2810414234185798
ACH-000215,-0.1862375678210019
ACH-000221,-0.4827840452381436
ACH-000222,-0.22836078766896775
ACH-000223,-0.10826336327543364
ACH-000226,-0.16080379588895422
ACH-000227,-0.2933465769916355
ACH-000228,-0.12514693364159382
ACH-000231,-0.09666842318150973
ACH-000232,-0.2521533150251166
ACH-000233,-0.19658572575631025
ACH-000234,-0.3104249469968752
ACH-000235,-0.2316791636114688
ACH-000237,-0.16639439650725804
ACH-000238,-0.06821720513370395
ACH-000242,-0.5928584149722317
ACH-000243,-0.2830156040390701
ACH-000244,0.04668760399295303
ACH-000246,-0.1903577848337425
ACH-000248,-0.17589054720808106
ACH-000250,-0.20417764131081975
ACH-000251,-0.6091935055750932
ACH-000252,-0.2009674407333228
ACH-000253,-0.081407573389533
ACH-000255,-0.3298326592256589
ACH-000256,-0.4007629543807255
ACH-000257,0.16974479974948445
ACH-000258,-0.2799303739109545
ACH-000259,-0.18074220293895746
ACH-000260,-0.31353342196204625
ACH-000261,-0.19588073789613056
ACH-000262,-0.5944477660556988
ACH-000263,0.0885667840302624
ACH-000264,-0.2370507010440529
ACH-000265,-0.2145150648349192
ACH-000266,-0.2265445206678112
ACH-000272,-0.20956843729226649
ACH-000274,-0.16492201157586822
ACH-000277,-0.07994937754231521
ACH-000278,-0.18347536401677425
ACH-000279,-0.11271055791961734
ACH-000280,-0.21351358381886168
ACH-000281,0.016637166675485038
ACH-000288,0.024722036422508118
ACH-000291,-0.3196542264066881
