,SQSTM1 (8878)
ACH-000004,-0.14809951552427533
ACH-000005,0.09690777017594457
ACH-000007,0.027978077768756927
ACH-000009,-0.04223923324563021
ACH-000011,-0.33831313866742324
ACH-000012,-0.15393693274625314
ACH-000013,-0.06437622528065605
ACH-000014,-0.22744928142058454
ACH-000015,-0.08826619004456847
ACH-000017,-0.1273478775278653
ACH-000018,-0.05948389309000365
ACH-000019,-0.28253458020459754
ACH-000021,-0.06465062477493685
ACH-000022,-0.125228976072967
ACH-000025,-0.2259094835443054
ACH-000028,-0.10954655205485546
ACH-000030,-0.12011105701953614
ACH-000035,-0.16058957686965994
ACH-000036,-0.3561919301608765
ACH-000037,0.02765159223127788
ACH-000039,-0.21831413127174112
ACH-000040,-0.034920160167804214
ACH-000041,-0.11277135860350218
ACH-000042,-0.2159992589105584
ACH-000045,-0.01271736592992993
ACH-000047,-0.054676146279149684
ACH-000052,0.07078077973983231
ACH-000053,-0.10788560655043354
ACH-000054,-0.2657054540604321
ACH-000055,-0.014409953156927403
ACH-000060,-0.15987257172318473
ACH-000067,-0.1201392848073448
ACH-000070,-0.04933943568072145
ACH-000075,-0.19120448020689046
ACH-000078,-0.2463492067406477
ACH-000082,-0.0975202250354872
ACH-000085,-0.08511714500067966
ACH-000086,-0.11944552482409332
ACH-000087,-0.10996455877734324
ACH-000092,-0.29093692461003884
ACH-000095,-0.10719995509026944
ACH-000097,-0.25183939214998663
ACH-000098,-0.5565697597367162
ACH-000099,-0.2902182812490863
ACH-000108,-0.12998231052395331
ACH-000113,0.03681786611541397
ACH-000116,-0.17125926580458067
ACH-000118,-0.15087824541210867
ACH-000120,-0.04119681557378803
ACH-000123,-0.14073127078588515
ACH-000127,-0.07024515557348106
ACH-000128,-0.1804510208523695
ACH-000132,-0.1565041081168526
ACH-000133,-0.08654828463078343
ACH-000137,-0.27831106680942586
ACH-000138,-0.08787145184949646
ACH-000142,-0.12473117128595695
ACH-000143,-0.2548356605186837
ACH-000146,-0.05536277658954044
ACH-000148,-0.1429021192752278
ACH-000150,-0.3699494204078415
ACH-000152,-0.11889944762100894
ACH-000153,-0.04541075836009629
ACH-000159,-0.09346569908722123
ACH-000160,-0.0596583009729143
ACH-000163,-0.09419255047357752
ACH-000167,0.10290005039077336
ACH-000168,-0.12841625776700968
ACH-000169,-0.19744683879882546
ACH-000178,-0.13042433998447328
ACH-000183,-0.08169279768057425
ACH-000188,-0.2070453205927373
ACH-000189,-0.2377156589488561
ACH-000190,-0.18119280001469412
ACH-000198,-0.19476508748539173
ACH-000203,-0.2543610031869536
ACH-000204,-0.09496209152329826
ACH-000206,0.11160469407615786
ACH-000207,0.02762825711286861
ACH-000208,-0.030243524583792775
ACH-000210,-0.08549917734603056
ACH-000211,-0.15577385150078593
ACH-000215,-0.1380605915613445
ACH-000221,-0.20644810943925826
ACH-000222,-0.28520855859226946
ACH-000223,-0.21028898567236032
ACH-000226,-0.08449670617959483
ACH-000227,-0.07512663043044425
ACH-000228,-0.10786311748118932
ACH-000231,-0.06460756029446924
ACH-000232,-0.33249694849456063
ACH-000233,-0.2543600820755571
ACH-000234,-0.2948384304600167
ACH-000235,-0.11538902825108928
ACH-000237,-0.6893462599886361
ACH-000238,-0.06540770259105076
ACH-000242,-0.10416826484097932
ACH-000243,-0.1059159763187022
ACH-000244,-0.31037350231575944
ACH-000246,-0.3778934247277488
ACH-000248,-0.2268692951879704
ACH-000250,-0.16808865964287134
ACH-000251,-0.8852395103438021
ACH-000252,-0.2259091544060003
ACH-000253,-0.11525158309695167
ACH-000255,-0.05717134214193535
ACH-000256,-0.09256040268888717
ACH-000257,-0.031522367213883566
ACH-000258,0.021954949480775143
ACH-000259,-0.08218467084855195
ACH-000260,-0.19755600564416895
ACH-000261,-0.08562959139014269
ACH-000262,-0.15584042929558695
ACH-000263,-0.17927798822618304
ACH-000264,-0.15251138844654025
ACH-000265,-0.05614521930343245
ACH-000266,-0.1368340458888859
ACH-000272,-0.07181816971179407
ACH-000274,-0.1518153102867949
ACH-000277,-0.08461083398870473
ACH-000278,-0.14580458131240673
ACH-000279,-0.2188039877182277
ACH-000280,-0.026784275985162583
ACH-000281,-0.1175021601588926
ACH-000288,-0.17134775431883256
ACH-000291,-0.23977472037412556
ACH-000293,-0.14723068746247575
ACH-000294,-0.10135511876139934
ACH-000295,-0.2515528275260017
ACH-000296,-0.17927529140311374
ACH-000302,-0.09414920578676356
ACH-000304,-0.2027690620077079
ACH-000307,-0.17562024680891547
ACH-000308,-0.16983104716425554
ACH-000310,-0.20346187323998707
ACH-000311,-0.21163198836810396
ACH-000312,-0.03525342864081652
ACH-000315,-0.10375237648143076
ACH-000316,-0.5592807813185628
ACH-000317,-0.21793448371182625
ACH-000318,-0.11028932172250328
ACH-000319,-0.08252065529532525
ACH-000320,-0.047127720684902084
ACH-000322,-0.26474080856305365
ACH-000323,0.00017726223577395453
ACH-000324,-0.2768444172286028
ACH-000329,-0.010333544769558313
ACH-000330,-0.10510206112083342
