,FGB (2244)
ACH-000004,0.015293052035789241
ACH-000005,0.35458847054518833
ACH-000007,0.006801964394879073
ACH-000009,0.17790900656345293
ACH-000011,0.22151035977889896
ACH-000012,0.11047375487337212
ACH-000013,0.18945614855779
ACH-000014,0.0498699049591906
ACH-000015,-0.019279496897056558
ACH-000017,0.13705017298382294
ACH-000018,0.10564677359643672
ACH-000019,0.1253048052744324
ACH-000021,0.14841880872123808
ACH-000022,0.1346620508912745
ACH-000025,0.16723213849992666
ACH-000028,0.1148362056853524
ACH-000030,0.17823571012439368
ACH-000035,0.1531756479002819
ACH-000036,0.09146260063371446
ACH-000037,0.15698393374028036
ACH-000039,0.14358773656520055
ACH-000040,0.16925645049859342
ACH-000041,0.08497156170384196
ACH-000042,0.059385549170998024
ACH-000045,0.05047539578087113
ACH-000047,0.03378521658304925
ACH-000052,0.1961454051537186
ACH-000053,0.03120263229654488
ACH-000054,0.11315008404963857
ACH-000055,0.03045253565153115
ACH-000060,0.04991433600656946
ACH-000067,0.3500244842443889
ACH-000070,0.07573763284089112
ACH-000075,0.14596379192441525
ACH-000078,-0.04992231480901671
ACH-000082,0.17649164519986293
ACH-000085,0.20492009742841405
ACH-000086,0.10000277443139223
ACH-000087,0.015798957215585215
ACH-000092,0.06572054045338012
ACH-000095,0.14631395971347147
ACH-000097,0.22807126968211125
ACH-000098,0.09605388584612057
ACH-000099,0.15353930306670166
ACH-000108,0.122189385013851
ACH-000113,0.157590884496838
ACH-000116,0.16405775188466787
ACH-000118,0.21424693578269208
ACH-000120,0.12158047863085213
ACH-000123,0.18570903660748084
ACH-000127,0.18278481831122634
ACH-000128,0.2358225423986065
ACH-000132,0.10005635405289214
ACH-000133,0.13121756673625073
ACH-000137,0.15702791507226202
ACH-000138,0.1785000532818733
ACH-000142,0.09782328144280926
ACH-000143,0.02457087653123221
ACH-000146,0.1320912683331258
ACH-000148,0.11591933807493612
ACH-000150,0.1861908084055912
ACH-000152,0.1540809522487689
ACH-000153,0.3417688366167884
ACH-000159,0.031405273249177
