,FAM49A (81553)
ACH-000004,0.09779948213676376
ACH-000005,0.4006891203533385
ACH-000007,0.1557232966179261
ACH-000009,0.15663261633588008
ACH-000011,0.1726938503585676
ACH-000012,0.1184236167220598
ACH-000013,0.13956188110812692
ACH-000014,-0.06648424001582491
ACH-000015,0.19300144460915827
ACH-000017,0.06793960299447427
ACH-000018,0.0973341445930642
ACH-000019,0.07240824959157406
ACH-000021,0.05167925715469289
ACH-000022,0.08197874801977459
ACH-000025,0.19664183960148104
ACH-000028,-0.003202118778080677
ACH-000030,0.1742354024018624
ACH-000035,0.16103707979848872
ACH-000036,0.008969020800662775
ACH-000037,0.16486387469366026
ACH-000039,0.03530259602131155
ACH-000040,0.1967821599947815
ACH-000041,0.21401441786219427
ACH-000042,0.034630165997540464
ACH-000045,0.16836899746814454
ACH-000047,0.19294719203569505
ACH-000052,0.16735148164810598
ACH-000053,0.08223875835702267
ACH-000054,0.10419396893369133
ACH-000055,0.10139077474600264
ACH-000060,-0.018439931299106437
ACH-000067,-0.08509276044542187
ACH-000070,0.16441486614704673
ACH-000075,0.2660416696629117
ACH-000078,0.032513521629070764
ACH-000082,0.14872700488617055
ACH-000085,0.018300901514703143
ACH-000086,0.08532631574117333
ACH-000087,-0.0942483752971916
ACH-000092,0.1404655846639025
ACH-000095,0.06529521317816328
ACH-000097,0.026016325406696843
ACH-000098,0.12545914445058287
ACH-000099,0.15716034308878352
ACH-000108,0.16491962158073056
ACH-000113,0.07313977131839144
ACH-000116,0.0974878846769778
ACH-000118,0.05286003391820723
ACH-000120,0.042676353453711964
ACH-000123,0.1522215463304719
ACH-000127,0.0489584228884848
ACH-000128,0.11620687426037385
ACH-000132,0.0868883246519863
ACH-000133,0.050490434656524176
ACH-000137,0.1764202506767692
ACH-000138,-0.00037216289073757413
ACH-000142,0.12112855835017887
ACH-000143,0.26381453045045833
ACH-000146,0.053675615473274284
ACH-000148,0.23947981284335945
ACH-000150,0.055248050658222116
ACH-000152,0.06772676950605895
ACH-000153,-0.119748732938572
ACH-000159,0.12267260452070952
ACH-000160,0.1043395566976549
ACH-000163,0.014936639416094494
ACH-000167,0.4742019175773032
ACH-000168,-0.14768841185632556
ACH-000169,0.0346065297287279
ACH-000178,0.03836381691269362
ACH-000183,-0.02654870609338664
ACH-000188,0.07573258467382582
ACH-000189,0.0663037288482049
ACH-000190,0.12292301934226255
ACH-000198,0.08774079969564952
ACH-000203,-0.17653906361901855
ACH-000204,0.11507655043963168
ACH-000206,-0.0066701656067685725
ACH-000207,0.21514559373534586
