,PTCD3 (55037)
ACH-000004,-0.7241177568987344
ACH-000005,-0.8322074496639291
ACH-000007,-0.6734652631838051
ACH-000009,-0.5233127514734601
ACH-000011,-0.21251438575528106
ACH-000012,-0.7542842993996012
ACH-000013,-0.7258432481952973
ACH-000014,-0.42132697105031736
ACH-000015,-0.7322095768964394
ACH-000017,-0.4814566794818935
ACH-000018,-0.9685840089768972
ACH-000019,-0.61703888249354
ACH-000021,-0.6019341816470369
ACH-000022,-0.5777138671246359
ACH-000025,-0.7505057495584382
ACH-000028,-0.7926769564801012
ACH-000030,-0.7137643785618536
ACH-000035,-0.9771751059090712
ACH-000036,-0.4546357348234387
ACH-000037,-0.5987013780164142
ACH-000039,-0.7126704063673907
ACH-000040,-0.5041990544993594
ACH-000041,-0.6185040962588868
ACH-000042,-0.5819500712168567
ACH-000045,-0.688239396758837
ACH-000047,-0.7533631021667141
ACH-000052,-0.4256004290187696
ACH-000053,-0.5676282314115044
ACH-000054,-0.6575397843652384
ACH-000055,-0.6414136553851656
ACH-000060,-0.5916531038048584
ACH-000067,-0.5346236483562987
ACH-000070,-0.44925095539138615
ACH-000075,-0.5115441386670884
ACH-000078,-0.5252104743595511
ACH-000082,-0.4962424867948079
ACH-000085,-0.38991337616683547
ACH-000086,-0.9038226457197912
ACH-000087,-0.8095799569889607
ACH-000092,-0.6725279900968941
ACH-000095,-0.4191647997709044
ACH-000097,-0.5849424357860901
ACH-000098,-0.5695256960520751
ACH-000099,-0.5778146646915562
ACH-000108,-0.5387944040193567
ACH-000113,-0.5688763665667544
ACH-000116,-0.7445300043572125
ACH-000118,-0.8787338767589021
ACH-000120,-0.4765612770303699
ACH-000123,-0.7257006648869309
ACH-000127,-0.7054702746937611
ACH-000128,-0.6266372570312898
ACH-000132,-0.4106855833623643
ACH-000133,-0.7340643480504304
ACH-000137,-0.5329343103296647
ACH-000138,-0.5776606693631775
ACH-000142,-0.6522572439354157
ACH-000143,-0.933402821678509
ACH-000146,-0.5728294768461372
ACH-000148,-0.7588809060700509
ACH-000150,-0.9855875687034508
ACH-000152,-0.6429555027594979
ACH-000153,-0.5975163338585593
ACH-000159,-0.4421751983472427
ACH-000160,-0.8514034615043881
ACH-000163,-0.5697501688498242
ACH-000167,-0.4552403524879769
ACH-000168,-0.3083370498744373
ACH-000169,-0.4945498453483896
ACH-000178,-0.661866246650569
ACH-000183,-0.6052689365578411
ACH-000188,-0.6947710841297613
ACH-000189,-1.0480735970650457
ACH-000190,-0.8458612110950147
ACH-000198,-0.6561871849974291
ACH-000203,-0.6841958490472505
ACH-000204,-0.5045592859828621
ACH-000206,-0.5084765377426035
ACH-000207,-0.7089940664678785
ACH-000208,-0.5386654080946863
ACH-000210,-0.5005908910131059
ACH-000211,-0.5903264546855143
ACH-000215,-0.7757717097689241
ACH-000221,-0.939084341996304
ACH-000222,-0.7235986014247232
ACH-000223,-0.7141192367554408
ACH-000226,-0.5227569637898082
ACH-000227,-0.7626404148348945
ACH-000228,-0.7358929399615477
ACH-000231,-0.5328075402017394
ACH-000232,-0.7448010292844592
ACH-000233,-0.5542446199254704
ACH-000234,-0.5076739490138049
ACH-000235,-0.4763321845886397
ACH-000237,-0.38383070197877467
ACH-000238,-0.7926196288604545
ACH-000242,-0.2138488284781193
ACH-000243,-0.5170757210125283
ACH-000244,-0.8900498850547215
