,LARGE (9215)
ACH-000004,0.03722055289518721
ACH-000005,-0.11790774975478314
ACH-000007,0.31304836441372497
ACH-000009,0.09803936950468728
ACH-000011,0.17971846721118334
ACH-000012,0.07855545603248651
ACH-000013,0.13047194132396175
ACH-000014,-0.02130795960546375
ACH-000015,0.11020165027227732
ACH-000017,0.028738172844684037
ACH-000018,-0.08571348367421304
ACH-000019,0.0984775751057182
ACH-000021,0.03365717803310639
ACH-000022,0.12680999114810426
ACH-000025,0.01623418267577853
ACH-000028,0.10974767333449996
ACH-000030,0.13765210129379665
ACH-000035,0.15036187001381415
ACH-000036,0.03499729987515342
ACH-000037,0.033651140708029145
ACH-000039,0.041717495562224136
ACH-000040,0.07328920297406452
ACH-000041,0.00918148624347703
ACH-000042,-0.01571850429429831
ACH-000045,0.1850890796712506
ACH-000047,0.1192377536130972
ACH-000052,0.13978306867051746
ACH-000053,0.07740240499329476
ACH-000054,0.14021820526768294
ACH-000055,0.0775373806490077
ACH-000060,0.025351569947664132
ACH-000067,-0.007993183754469531
ACH-000070,0.15066436178461942
ACH-000075,0.026635030518487108
ACH-000078,0.1086872667442262
ACH-000082,0.06409766058836415
ACH-000085,0.09835159125932304
ACH-000086,0.19433140236657587
ACH-000087,0.08413773302998814
ACH-000092,0.07952961590457397
ACH-000095,0.1340936181921611
ACH-000097,0.08178483108409658
ACH-000098,0.0584338811827102
ACH-000099,0.08853118353495766
ACH-000108,0.060836475070105825
ACH-000113,0.1388025059591657
ACH-000116,0.09395305308578752
ACH-000118,0.100146687343956
ACH-000120,0.11831803655408928
ACH-000123,0.022512195125398843
ACH-000127,0.18646738540126884
ACH-000128,0.052148894211974564
ACH-000132,0.09357596573247656
ACH-000133,0.155264640578724
ACH-000137,0.28596879108666806
ACH-000138,0.16070554557810166
ACH-000142,0.19058452620729024
ACH-000143,-0.01859735315544435
ACH-000146,0.022023424155285857
ACH-000148,0.2632882720596424
ACH-000150,0.0839467919503811
ACH-000152,-0.012695394755159154
ACH-000153,0.33625121927856144
ACH-000159,0.16054181946301355
ACH-000160,0.10889647743415136
ACH-000163,0.13450234445865464
ACH-000167,-0.03586017468262035
ACH-000168,0.17876380074948095
ACH-000169,0.11255530903543184
ACH-000178,0.09009443689742927
ACH-000183,0.08686238673585081
ACH-000188,0.10206658331894697
ACH-000189,0.06269379620142836
ACH-000190,0.2675559629417643
ACH-000198,0.2445289639328193
ACH-000203,0.32201227613036226
ACH-000204,0.15994021399183894
ACH-000206,0.209375435911746
ACH-000207,0.10951591419068686
ACH-000208,-0.032903311926527984
ACH-000210,0.31686160816655395
ACH-000211,0.12189678812157285
ACH-000215,0.11580146346207325
ACH-000221,0.006384162254323476
ACH-000222,0.16045451201743607
ACH-000223,0.0269471829891722
ACH-000226,0.04720280897846897
ACH-000227,0.20264571753990573
ACH-000228,-0.07258874973981097
ACH-000231,0.14891716372507252
ACH-000232,0.006343989713337384
ACH-000233,0.20817196043163155
ACH-000234,0.17900622429651222
ACH-000235,0.15371720299194894
ACH-000237,0.17017934899115514
ACH-000238,0.22400921146920133
ACH-000242,-0.16486285880544804
ACH-000243,0.07373077313968937
ACH-000244,0.1707871652989162
ACH-000246,0.10650513171194716
ACH-000248,0.01630883528474243
ACH-000250,0.21353970229994546
ACH-000251,0.05371336776014475
ACH-000252,0.11495754375607918
ACH-000253,0.11236572746982562
ACH-000255,-0.03120192489074551
ACH-000256,0.08880536008372228
