,WDR12 (55759)
ACH-000004,-1.183114687162656
ACH-000005,-1.1257612047903414
ACH-000007,-1.070820740541132
ACH-000009,-0.9568949391392876
ACH-000011,-0.9128847928297029
ACH-000012,-1.0821047660983991
ACH-000013,-0.7782866603615467
ACH-000014,-1.0435296375554874
ACH-000015,-0.6977157710012748
ACH-000017,-1.0105627143099614
ACH-000018,-1.304058179446156
ACH-000019,-0.7357896739168837
ACH-000021,-0.9211038597567336
ACH-000022,-0.8709045591854532
ACH-000025,-1.1253088909421167
ACH-000028,-1.0070018149583906
ACH-000030,-1.0796460275403241
ACH-000035,-0.7258828077652709
ACH-000036,-1.0838973407713652
ACH-000037,-0.9914573310807888
ACH-000039,-0.9193279837357042
ACH-000040,-0.8036605488353272
ACH-000041,-1.0007197980062157
ACH-000042,-0.8708543345749391
ACH-000045,-0.9196928284533934
ACH-000047,-1.0231903355284424
ACH-000052,-1.1294857676042358
ACH-000053,-1.085288173068289
ACH-000054,-0.8474726814194593
ACH-000055,-1.2683616597260248
ACH-000060,-0.9512766103685296
ACH-000067,-1.1513758165015529
ACH-000070,-0.8871172951128701
ACH-000075,-1.0661790374761904
ACH-000078,-1.0007715508391046
ACH-000082,-0.8278250800780879
ACH-000085,-1.2578001281159814
ACH-000086,-1.0928721497669331
ACH-000087,-1.1077733105659644
ACH-000092,-0.9809014158900644
ACH-000095,-1.0193776790734137
ACH-000097,-0.9237232331223106
ACH-000098,-1.1174425551917626
ACH-000099,-0.9455149135801956
ACH-000108,-1.0214998559987758
ACH-000113,-0.8903290454725752
ACH-000116,-0.9816541329745052
ACH-000118,-0.8676142730398443
ACH-000120,-0.8776596497133036
ACH-000123,-0.8230545406752873
ACH-000127,-1.0247676197156257
ACH-000128,-0.7700912375588701
ACH-000132,-0.979864649148922
ACH-000133,-0.8958170677157896
ACH-000137,-1.124240414609838
ACH-000138,-1.0463870721081647
ACH-000142,-0.9215895867374762
ACH-000143,-0.9045037759333341
ACH-000146,-0.97039589645911
ACH-000148,-0.8720314165989645
ACH-000150,-0.7939372359903093
ACH-000152,-1.0591142699710323
ACH-000153,-0.9048480540974913
ACH-000159,-1.0362404555386926
ACH-000160,-0.9535690332704512
ACH-000163,-0.811864259352981
ACH-000167,-1.2719118108516505
ACH-000168,-1.0654666191152364
ACH-000169,-0.9936951176576382
ACH-000178,-0.8787267165192593
ACH-000183,-0.9849472040177932
ACH-000188,-1.107522295989771
ACH-000189,-1.0579315093677737
ACH-000190,-0.9426899521508976
ACH-000198,-0.7791378525660967
ACH-000203,-0.9690517115312
ACH-000204,-0.6331810148614061
ACH-000206,-0.9362869261512372
ACH-000207,-0.9733898503569748
ACH-000208,-0.9499888425810328
ACH-000210,-0.8206880266163512
ACH-000211,-0.7565085732692056
ACH-000215,-1.0727302578580458
ACH-000221,-1.1482676744778029
ACH-000222,-1.0899908106612506
ACH-000223,-1.3965793783197946
ACH-000226,-0.8483165522633808
ACH-000227,-0.9599268927412908
ACH-000228,-0.7848985602016189
ACH-000231,-1.188573348561268
ACH-000232,-0.8659997198944955
ACH-000233,-0.9414843224068508
ACH-000234,-0.8839845566069712
ACH-000235,-0.9751434638912782
ACH-000237,-1.1116964758722334
ACH-000238,-1.1338592250902677
ACH-000242,-1.2937031379955517
ACH-000243,-0.9888580926590556
ACH-000244,-0.9911300693393328
ACH-000246,-0.951248726917764
ACH-000248,-0.9815983209447948
