,ARF3 (377)
ACH-000004,-0.18852344058038897
ACH-000005,-0.023204872834767656
ACH-000007,-0.13439361682390447
ACH-000009,-0.4127164606874148
ACH-000011,-0.19201534385743887
ACH-000012,-0.2333157079428463
ACH-000013,-0.28273302098046954
ACH-000014,-0.10063863981410327
ACH-000015,-0.27723002598948965
ACH-000017,-0.1500640433718683
ACH-000018,-0.2187856147478365
ACH-000019,-0.32644927819279856
ACH-000021,-0.2932685545069592
ACH-000022,-0.131580062978341
ACH-000025,-0.3345465482539155
ACH-000028,-0.22339715078022426
ACH-000030,-0.22386182570105034
ACH-000035,-0.25679166099253825
ACH-000036,-0.34281376593467666
ACH-000037,-0.23193941689956646
ACH-000039,-0.429667825275101
ACH-000040,-0.17916710518077675
ACH-000041,-0.3876138466043561
ACH-000042,-0.02907561858132804
ACH-000045,-0.321806712422995
ACH-000047,-0.2428995044026847
ACH-000052,-0.2396489176376829
ACH-000053,-0.3100278368243383
ACH-000054,-0.15618586552298114
ACH-000055,-0.2708962137993781
ACH-000060,-0.2539074520792455
ACH-000067,-0.3191385264342521
ACH-000070,0.01816587121053359
ACH-000075,-0.1290917447312239
ACH-000078,-0.2333970701357297
ACH-000082,-0.19179302317485716
ACH-000085,-0.298231545805615
ACH-000086,-0.4747662517188542
ACH-000087,-0.5372296964123133
ACH-000092,-0.2295059639151654
ACH-000095,-0.2374568727389197
ACH-000097,-0.16121482860557618
ACH-000098,-0.14623798157570803
ACH-000099,-0.21130601623702625
ACH-000108,-0.1047495122673619
ACH-000113,-0.43659919543534204
ACH-000116,-0.03040600337446915
ACH-000118,-0.1803219765158912
ACH-000120,-0.1739542294571513
ACH-000123,-0.2768294537142582
ACH-000127,-0.2217739844400123
ACH-000128,-0.26502094246681057
ACH-000132,-0.2333478067436185
ACH-000133,-0.42659634704856253
ACH-000137,-0.3839457764271431
ACH-000138,-0.2197549470281225
ACH-000142,-0.3374950669068201
ACH-000143,-0.2506739107732284
ACH-000146,-0.2091124554464272
ACH-000148,-0.30683106298407764
ACH-000150,-0.35641548736225365
ACH-000152,-0.3319186940841853
ACH-000153,-0.4038378605025963
ACH-000159,-0.27536268348778514
ACH-000160,-0.28349370338662155
ACH-000163,-0.2765536377831127
ACH-000167,-0.4140937221383323
ACH-000168,-0.2629278386635175
ACH-000169,-0.21116555781201046
ACH-000178,-0.12598379626022532
ACH-000183,-0.23328132498708584
ACH-000188,-0.10934940832891538
ACH-000189,-0.10401477403120198
ACH-000190,-0.23234764953156006
ACH-000198,-0.12864319105720368
ACH-000203,0.07570128731739431
ACH-000204,-0.10363705947781576
ACH-000206,-0.07252295245172591
