,KCND3 (3752)
ACH-000004,-0.2305753588435725
ACH-000005,-0.33325104343806344
ACH-000007,-0.14954872684154535
ACH-000009,-0.28823936029006203
ACH-000011,-0.07871311381953583
ACH-000012,-0.31024862440531137
ACH-000013,-0.352190848557522
ACH-000014,-0.14224251806651375
ACH-000015,-0.19685100967251226
ACH-000017,-0.04868914196444296
ACH-000018,-0.2360465609514267
ACH-000019,-0.39983729514315575
ACH-000021,-0.15879355695774156
ACH-000022,-0.24481823733891575
ACH-000025,-0.370462826587767
ACH-000028,-0.3867737790255125
ACH-000030,-0.279312987722135
ACH-000035,-0.3871732229800573
ACH-000036,-0.22361948963027992
ACH-000037,-0.14742550585382425
ACH-000039,-0.4306104699883608
ACH-000040,-0.19514181393438645
ACH-000041,-0.22720462932268076
ACH-000042,-0.12028151129093205
ACH-000045,-0.21927199200409056
ACH-000047,-0.18238847190289306
ACH-000052,-0.34562497746480936
ACH-000053,-0.15233482017476094
ACH-000054,-0.2252178565294372
ACH-000055,0.047141402098161714
ACH-000060,-0.3992254675721845
ACH-000067,-0.23309577040152105
ACH-000070,-0.3631942114667871
ACH-000075,-0.26721797305661343
ACH-000078,-0.20090152626446167
ACH-000082,-0.3054807536100699
ACH-000085,-0.26026606753718484
ACH-000086,-0.23912415571917325
ACH-000087,-0.4536164714204656
ACH-000092,-0.4195856935745747
ACH-000095,-0.12797058767688085
ACH-000097,-0.15507079234635066
ACH-000098,-0.2604182529660307
ACH-000099,-0.23389450924074
ACH-000108,-0.015675696785940392
ACH-000113,-0.14145567152752184
ACH-000116,-0.16833959543577792
ACH-000118,-0.18243143408040075
ACH-000120,-0.15335781601196738
ACH-000123,-0.19858098978468006
ACH-000127,-0.2600452486312278
ACH-000128,-0.3356319165265724
ACH-000132,-0.4159349018123472
ACH-000133,-0.22318939869013832
ACH-000137,-0.3077327078660857
ACH-000138,-0.16073575969804335
ACH-000142,-0.15060481204355292
ACH-000143,-0.30242173570756226
ACH-000146,-0.23541821603834126
ACH-000148,-0.16198714490094407
ACH-000150,-0.22211193309705024
ACH-000152,-0.2557464634601433
ACH-000153,-0.19155397656971412
ACH-000159,-0.1336622892476442
ACH-000160,-0.1605271494675071
ACH-000163,-0.12359830387419404
ACH-000167,0.18503990406227247
ACH-000168,-0.09341639448786157
ACH-000169,-0.1002195006420914
ACH-000178,-0.23908748409871425
ACH-000183,-0.3375326924010506
ACH-000188,-0.3528660177115577
ACH-000189,-0.2603515940825309
ACH-000190,-0.22023004049043365
ACH-000198,-0.17370793099003026
ACH-000203,-0.03256765185402831
ACH-000204,-0.14279716064154904
ACH-000206,-0.26231713218380104
ACH-000207,-0.11905416008517762
ACH-000208,-0.18146245664084354
ACH-000210,-0.6187837170185091
ACH-000211,-0.1780329636757825
ACH-000215,-0.2763558968198652
ACH-000221,-0.5927747969235723
ACH-000222,-0.04831064317752813
ACH-000223,-0.1441585950438442
ACH-000226,-0.19667968997545754
ACH-000227,-0.20830730351849736
ACH-000228,-0.2789815465376462
ACH-000231,-0.2597718196701496
ACH-000232,-0.17651882439595584
ACH-000233,-0.11414094170552673
ACH-000234,-0.1876920409020219
ACH-000235,-0.2339604444588438
ACH-000237,-0.11428641515396022
ACH-000238,-0.18247940722604716
ACH-000242,0.17183299192717522
ACH-000243,-0.13451431317397805
ACH-000244,-0.11964226975524525
ACH-000246,-0.18089589984262106
