,FANK1 (92565)
ACH-000004,-0.1842051840441168
ACH-000005,-0.14855643799367635
ACH-000007,-0.08482918384061885
ACH-000009,-0.03617939774684973
ACH-000011,-0.040953388830254255
ACH-000012,0.041343681551456964
ACH-000013,0.13392524685830146
ACH-000014,-0.058615442343799826
ACH-000015,0.06640906515768295
ACH-000017,0.05352018743694752
ACH-000018,-0.07275777883825046
ACH-000019,0.1766239162005423
ACH-000021,0.04509921804552613
ACH-000022,0.012929439580177223
ACH-000025,-0.10221734190899656
ACH-000028,0.06926208922326671
ACH-000030,-0.03552088223869974
ACH-000035,0.07076452025325597
ACH-000036,-0.1421994322980665
ACH-000037,-0.2493766349377144
ACH-000039,-0.17483697687072705
ACH-000040,-0.12668949445800587
ACH-000041,-0.038600262289360934
ACH-000042,-2.8970093302041557e-05
ACH-000045,-0.046531523496608405
ACH-000047,0.12552936607905074
ACH-000052,-0.2651585269252802
ACH-000053,-0.02502237724493524
ACH-000054,0.024212050733666567
ACH-000055,-0.22047702659893806
ACH-000060,-0.12162613428051353
ACH-000067,-0.08062940562371816
ACH-000070,0.0715150156903977
ACH-000075,0.07582663703232828
ACH-000078,-0.04012099150168767
ACH-000082,-0.0007855421114704457
ACH-000085,0.017881319390600052
ACH-000086,-0.06361860168079281
ACH-000087,-0.21730947616131796
ACH-000092,-0.04453965708123898
ACH-000095,-0.15551162627598267
ACH-000097,0.04930106833942535
ACH-000098,0.02168774285143971
ACH-000099,-0.05163884034134417
ACH-000108,-0.038091420736545374
ACH-000113,0.06742651780761681
ACH-000116,-0.008143443065276609
ACH-000118,0.0045766880058465825
ACH-000120,0.1799415053164485
ACH-000123,-0.1139673328370686
ACH-000127,-0.01114616668478608
ACH-000128,0.09971637511889717
ACH-000132,-0.12281039053486673
ACH-000133,-0.12829766367251688
ACH-000137,0.10931673673061676
ACH-000138,0.033574966419079484
ACH-000142,-0.02916757632560308
ACH-000143,-0.011988355001102732
ACH-000146,-0.05539538277315753
ACH-000148,-0.12103850515537501
ACH-000150,-0.056372000337133375
ACH-000152,-0.04959695424816449
ACH-000153,0.09180352092481177
ACH-000159,-0.09260899087367072
ACH-000160,-0.01913647699875028
ACH-000163,0.02412089358313004
ACH-000167,-0.14121387604235305
ACH-000168,0.12202995473374555
ACH-000169,-0.2104498776671118
ACH-000178,0.030650537085606427
ACH-000183,0.042536366400338636
ACH-000188,-0.054050406269327736
ACH-000189,-0.13489907084564792
ACH-000190,-0.08329768759657645
ACH-000198,-0.08418959378957172
ACH-000203,-0.4978807352900697
ACH-000204,-0.021687470257079285
ACH-000206,-0.10399500482118113
ACH-000207,-0.02497569201314876
ACH-000208,-0.09945785690207344
ACH-000210,0.1827757625810541
ACH-000211,0.039838673802971854
ACH-000215,0.03708563714236008
ACH-000221,0.08070596385836085
ACH-000222,0.059225701199186576
ACH-000223,-0.1373501811869557
ACH-000226,0.1894591746725812
ACH-000227,-0.138530613218828
ACH-000228,-0.01673569416520472
ACH-000231,-0.07684510805786737
ACH-000232,-0.21574352459163304
ACH-000233,-0.07199017056984491
ACH-000234,-0.02776018083636957
ACH-000235,0.02261913429710717
ACH-000237,0.03104814460291248
ACH-000238,-0.14058844785370112
ACH-000242,-0.11766857068543556
ACH-000243,0.036192210414841164
ACH-000244,0.16199849564432736
ACH-000246,-0.026443020558429318
ACH-000248,-0.042297636580427886
ACH-000250,-0.11843262580893313
ACH-000251,-0.028271848331665062
ACH-000252,0.22635649701232674
ACH-000253,0.03118604116878155
ACH-000255,0.13425312560024275
ACH-000256,0.07466298141931654
ACH-000257,-0.21689925469642324
ACH-000258,-0.18705937561388894
ACH-000259,-0.11039489581830808
ACH-000260,0.0010496590660714926
