,TTI2 (80185)
ACH-000004,-0.5911717164739616
ACH-000005,-0.8722455754914753
ACH-000007,-0.9428734877742152
ACH-000009,-0.6101862080205258
ACH-000011,-1.1569625702534168
ACH-000012,-0.8200102007302746
ACH-000013,-0.9331028975913492
ACH-000014,-0.7235539682850597
ACH-000015,-1.0341436225927814
ACH-000017,-0.8050649218013475
ACH-000018,-0.8662560891696635
ACH-000019,-0.7501964630724238
ACH-000021,-0.7440533360835286
ACH-000022,-0.8621537158850667
ACH-000025,-1.0631580431631724
ACH-000028,-0.925626762161566
ACH-000030,-0.8047706551595039
ACH-000035,-1.0448912942840545
ACH-000036,-0.8587303370464487
ACH-000037,-0.4670726071274593
ACH-000039,-0.5071528695795149
ACH-000040,-0.7322986874394704
ACH-000041,-0.7586956248029326
ACH-000042,-1.0133720420239856
ACH-000045,-0.5425968906597087
ACH-000047,-0.9124936126251224
ACH-000052,-0.7589656668532367
ACH-000053,-0.9233395356876328
ACH-000054,-0.6639772770537414
ACH-000055,-0.6411759577571701
ACH-000060,-1.1854881841149516
ACH-000067,-0.7918791827325699
ACH-000070,-0.8090471686215152
ACH-000075,-0.7932137154299681
ACH-000078,-0.674837647265426
ACH-000082,-0.6169158646435239
ACH-000085,-0.9545237413119596
ACH-000086,-0.8172801407640399
ACH-000087,-1.0524309533845952
ACH-000092,-0.4827106669607597
ACH-000095,-0.8203758480883941
ACH-000097,-0.8677799777734583
ACH-000098,-0.7055873035958936
ACH-000099,-0.5693778139948293
ACH-000108,-0.9843158317901569
ACH-000113,-0.4620942245078237
ACH-000116,-0.9814583783444552
ACH-000118,-0.9750663001237804
ACH-000120,-0.9526613528822906
ACH-000123,-0.8442908789114203
ACH-000127,-0.7614812157952661
ACH-000128,-0.7656657285309758
ACH-000132,-0.8971855656892367
ACH-000133,-0.7273597342716501
ACH-000137,-1.0630490499369978
ACH-000138,-0.946840105688884
ACH-000142,-0.7795539919825794
ACH-000143,-0.9634446614144434
ACH-000146,-0.4962150768970398
ACH-000148,-0.9209971420358845
ACH-000150,-0.8200590558706541
ACH-000152,-0.6281596997985822
ACH-000153,-1.3132227217872412
ACH-000159,-0.6839973988833176
ACH-000160,-0.9666506231716469
ACH-000163,-0.9522998746095748
ACH-000167,-0.9968747155448862
ACH-000168,-0.5680903106914924
ACH-000169,-0.7836258440892261
ACH-000178,-0.666439967490548
ACH-000183,-0.8477416977524004
ACH-000188,-0.993490626179032
ACH-000189,-0.7665611014339834
ACH-000190,-0.8899484834152525
ACH-000198,-0.623473113320562
ACH-000203,-0.5924867772799824
ACH-000204,-0.5601667566836196
ACH-000206,-0.6716238709466236
ACH-000207,-0.5236560927916484
ACH-000208,-0.8659982399166157
ACH-000210,-0.8599420353540079
ACH-000211,-0.7702572658445237
ACH-000215,-0.6497205658306646
ACH-000221,-0.9938435126919886
