,AKIRIN1 (79647)
ACH-000004,-0.10015942180794248
ACH-000005,-0.37334892134611297
ACH-000007,-0.14767704960529635
ACH-000009,-0.3911291040187247
ACH-000011,-0.5100016164010839
ACH-000012,-0.19430007977567465
ACH-000013,-0.2954111643952805
ACH-000014,-0.724571410805323
ACH-000015,-0.3619864575987406
ACH-000017,-0.07427244869554342
ACH-000018,-0.34337169374652765
ACH-000019,-0.22128317176711176
ACH-000021,-0.3756824983133198
ACH-000022,-0.1579255682590692
ACH-000025,-0.4745197401928015
ACH-000028,-0.33733807174663466
ACH-000030,-0.15321831966761526
ACH-000035,-0.42438961261834296
ACH-000036,-0.3065125930931685
ACH-000037,-0.2628005024814797
ACH-000039,-0.3225840530549669
ACH-000040,-0.29811144797410444
ACH-000041,-0.2887189357136979
ACH-000042,-0.43661634562015184
ACH-000045,-0.28805663726412584
ACH-000047,-0.16306728926508904
ACH-000052,-0.3940779727608744
ACH-000053,-0.04410683535362895
ACH-000054,-0.2909278412477781
ACH-000055,-0.6242935991897034
ACH-000060,-0.4594383165838447
ACH-000067,-0.2833044149667822
ACH-000070,-0.30492963557045594
ACH-000075,-0.4054245946071076
ACH-000078,-0.4412380084392259
ACH-000082,-0.2448605432048636
ACH-000085,0.03000607365375156
ACH-000086,-0.14413424644085088
ACH-000087,-0.3389964898175467
ACH-000092,-0.43790223556962576
ACH-000095,-0.33183542769866736
ACH-000097,-0.4948418856783632
ACH-000098,-0.29819867611645323
ACH-000099,-0.2616306939277554
ACH-000108,-0.17805822220590187
ACH-000113,-0.2645720576243695
ACH-000116,-0.4464897500611503
ACH-000118,-0.29438636450858063
ACH-000120,-0.12822706177609475
ACH-000123,-0.5520674101015631
ACH-000127,-0.19162423495066733
ACH-000128,-0.3231202249492305
ACH-000132,-0.39347710210821424
ACH-000133,-0.3552169994165621
ACH-000137,-0.21514686411046144
ACH-000138,-0.3609700837002234
ACH-000142,-0.28547395744605464
ACH-000143,-0.4011377036237911
ACH-000146,-0.18991934964817034
ACH-000148,-0.28853675125026274
ACH-000150,-0.6858546601154365
ACH-000152,-0.2599141329688777
