,GOLGA8M (653720)
ACH-000004,-0.5517415473255536
ACH-000005,0.06256936232096777
ACH-000007,-0.24978663701736345
ACH-000009,-0.4826660038346253
ACH-000011,-0.1987510626517565
ACH-000012,-0.4650741166494461
ACH-000013,-0.12895975651195424
ACH-000014,-0.1856012558161891
ACH-000015,-0.22026433025013992
ACH-000017,-0.13046668592684038
ACH-000018,-0.17113048950794238
ACH-000019,-0.11392128733680712
ACH-000021,-0.2443391309371742
ACH-000022,-0.2034978757238605
ACH-000025,-0.1900914850831373
ACH-000028,-0.12596090694946974
ACH-000030,-0.0952084101153065
ACH-000035,-0.20094199168258373
ACH-000036,-0.22149235426824013
ACH-000037,-0.1444089117959226
ACH-000039,-0.3861054603028696
ACH-000040,-0.136084377580831
ACH-000041,-0.05210343754894207
ACH-000042,-0.036041470837342576
ACH-000045,-0.3131525374195411
ACH-000047,-0.2368222217164574
ACH-000052,-0.23648459776058176
ACH-000053,-0.12561749691630342
ACH-000054,-0.18366752264399397
ACH-000055,-0.3812445465582886
ACH-000060,-0.2635077163461902
ACH-000067,-0.28515909768549297
ACH-000070,-0.27557826032120714
ACH-000075,-0.2282622232307877
ACH-000078,-0.06402467616743826
ACH-000082,-0.12764725638378696
ACH-000085,-0.06157645970199978
ACH-000086,-0.19045952569304175
ACH-000087,-0.43468612399216733
ACH-000092,-0.2590708931470105
ACH-000095,-0.15442050693797826
ACH-000097,-0.26853603622480104
ACH-000098,-0.22673715132171895
ACH-000099,-0.2208842716994889
ACH-000108,-0.15650302074770756
ACH-000113,-0.2862252178724445
ACH-000116,-0.167324740097521
ACH-000118,-0.33729218004650885
ACH-000120,-0.4085380931709138
ACH-000123,-0.1898692467871164
ACH-000127,-0.17320354555225004
ACH-000128,-0.2267227128018296
ACH-000132,-0.21462575167574488
ACH-000133,-0.24416209347915005
ACH-000137,-0.29685459506682216
ACH-000138,-0.1490095521207689
ACH-000142,-0.27903531484569066
ACH-000143,-0.2107921985903197
ACH-000146,-0.21834773725310516
ACH-000148,-0.2580508144194577
ACH-000150,-0.2531415479779942
ACH-000152,-0.3099949229563028
ACH-000153,-0.3370971194743159
ACH-000159,-0.20293114150352207
ACH-000160,-0.20372305707745428
ACH-000163,-0.06333962804638378
ACH-000167,-0.29424771418721984
ACH-000168,-0.16624536160037096
ACH-000169,-0.15337982253669286
ACH-000178,-0.3576322941833785
ACH-000183,-0.3415934723077527
ACH-000188,-0.21578313260177576
ACH-000189,-0.19467728344076468
ACH-000190,-0.13744530380426398
ACH-000198,-0.256271135735492
ACH-000203,-0.2832277147045702
ACH-000204,-0.058077867745666575
ACH-000206,-0.1286838632519174
ACH-000207,-0.201048306121906
ACH-000208,-0.3162315697621285
ACH-000210,-0.3812746650451985
ACH-000211,-0.14358968424832058
ACH-000215,-0.12552628737425206
ACH-000221,-0.3429778477122325
ACH-000222,-0.35440231909594505
ACH-000223,-0.3564767482061163
ACH-000226,-0.486686323017413
ACH-000227,-0.2406001201029628
ACH-000228,-0.3480730398584652
ACH-000231,-0.1869271908140899
ACH-000232,-0.1206522924286543
ACH-000233,-0.1960893950502659
ACH-000234,-0.12235213904024815
ACH-000235,-0.2611465521552676
ACH-000237,-0.34893530695907504
ACH-000238,-0.1301301573082799
ACH-000242,-0.13014465511088455
ACH-000243,-0.3852625990597804
ACH-000244,-0.10843789753438764
ACH-000246,-0.29308393088661405
ACH-000248,-0.20536992195132653
ACH-000250,-0.09954010232233944
ACH-000251,-0.17485486516484508
ACH-000252,-0.3725837209020754
ACH-000253,-0.2608319313931821
ACH-000255,-0.4119074759911376
ACH-000256,-0.30982427631229553
ACH-000257,-0.21619559829208448
ACH-000258,-0.40910562586134297
ACH-000259,-0.07316331026047372
ACH-000260,-0.13115050388245106
ACH-000261,-0.29802232567255416
ACH-000262,-0.4071557566234337
ACH-000263,-0.0931394830838149
ACH-000264,-0.2363428061810535
ACH-000265,-0.30288505477836314
ACH-000266,-0.1625141234054468
ACH-000272,-0.4047454311595677
ACH-000274,-0.16927601084089852
ACH-000277,-0.11635233644378165
ACH-000278,-0.18413613415797048
ACH-000279,-0.3243113798612283
ACH-000280,-0.1527054286991974
ACH-000281,-0.09563848119165452
ACH-000288,-0.404026705917506
ACH-000291,-0.15985990529460506
ACH-000293,-0.09969026331363412
ACH-000294,-0.2728389675384372
ACH-000295,-0.1871891152556985
ACH-000296,-0.4797549213020105
ACH-000302,-0.2300997105987821
ACH-000304,-0.07939928972917774
ACH-000307,-0.21335064534667506
ACH-000308,-0.16713429555557127
ACH-000310,-0.06859512501329032
ACH-000311,-0.027910344615668645
ACH-000312,-0.22484586629996406
ACH-000315,-0.2794713738453623
ACH-000316,-0.1638482156253885
ACH-000317,-0.31165898091318395
ACH-000318,-0.2617299260538111
ACH-000319,-0.3116504735593914
ACH-000320,-0.13535078630892955
ACH-000322,-0.14728299922276686
ACH-000323,-0.2298471926514039
ACH-000324,-0.17968818884708365
ACH-000329,-0.020785747530795783
ACH-000330,-0.18430404006844284
ACH-000331,-0.3733050890822541
ACH-000332,-0.1745909104569626
ACH-000334,-0.47681785161399604
ACH-000335,-0.2232578478364737
ACH-000336,-0.17307433479430356
ACH-000337,-0.3093532463506104
ACH-000338,-0.2656142519594619
ACH-000339,-0.0744697316932388
ACH-000341,-0.25732636286375543
ACH-000348,-0.21039091054160128
ACH-000350,-0.2606536724165036
ACH-000352,-0.25246033885561603
ACH-000356,-0.09298756731983766
ACH-000361,-0.4216157285176189
ACH-000362,-0.23074640449351985
ACH-000363,-0.1152289302850386
ACH-000364,-0.0008644597631805226
ACH-000365,-0.179662658193462
ACH-000366,-0.15699805545175166
ACH-000368,-0.3098054776691052
ACH-000374,-0.3180629307364072
ACH-000375,-0.4395003147534181
ACH-000376,-0.3289981503414001
ACH-000381,-0.34451196015754104
ACH-000383,-0.32896788319903564
