,ZYG11B (79699)
ACH-000004,-0.3477823452978153
ACH-000005,-0.06074631632267529
ACH-000007,-0.255654157653741
ACH-000009,-0.3983097553999953
ACH-000011,-0.17793885303909202
ACH-000012,-0.0635642350815281
ACH-000013,-0.14024690830923614
ACH-000014,-0.15027716247184944
ACH-000015,-0.1980502867840245
ACH-000017,-0.2024972484985409
ACH-000018,-0.041017155228217035
ACH-000019,-0.2512498280304562
ACH-000021,-0.1220161268299339
ACH-000022,-0.13737184740600086
ACH-000025,-0.18617807816624085
ACH-000028,-0.1026319252906597
ACH-000030,-0.1728634328989915
ACH-000035,-0.301543742322514
ACH-000036,-0.0726473202908739
ACH-000037,-0.14379417584042
ACH-000039,-0.08028884441361926
ACH-000040,-0.1944364618723983
ACH-000041,-0.149412200981514
ACH-000042,-0.057393425226323624
ACH-000045,-0.17901795636251588
ACH-000047,-0.1731013866162734
ACH-000052,-0.21342598454442646
ACH-000053,-0.06678425743796146
ACH-000054,-0.16338123390760548
ACH-000055,-0.1348943330467371
ACH-000060,-0.26917906333994096
ACH-000067,-0.2247460187620932
ACH-000070,-0.10733985511861914
ACH-000075,-0.3488998096222657
ACH-000078,-0.4116546834289256
ACH-000082,-0.13435064221031304
ACH-000085,-0.20618201868356265
ACH-000086,-0.11411898561200053
ACH-000087,-0.3477881614314119
ACH-000092,-0.16764787147620305
ACH-000095,-0.057856468673510415
ACH-000097,-0.18051419639475036
ACH-000098,-0.2108603039419503
ACH-000099,-0.20705241974992608
ACH-000108,-0.09473591605650124
ACH-000113,-0.07640477731645308
ACH-000116,-0.2361756005772397
ACH-000118,-0.11160437159114148
ACH-000120,-0.18895442285171274
ACH-000123,-0.07489381999646251
ACH-000127,-0.2327030947695769
ACH-000128,-0.11364074955636695
ACH-000132,-0.11484849861740985
ACH-000133,-0.04813996980047175
ACH-000137,-0.2320942908418757
ACH-000138,-0.17043033774515354
ACH-000142,-0.28115708468152323
ACH-000143,-0.19539823467732828
ACH-000146,-0.004915349021784099
ACH-000148,-0.1989470249097854
ACH-000150,-0.06622004037989235
ACH-000152,-0.3190235252484496
ACH-000153,-0.27037495736069256
ACH-000159,-0.2022809184676282
ACH-000160,-0.10297219957650593
ACH-000163,0.09693886690162244
ACH-000167,-0.336239358302576
ACH-000168,-0.2772299389077143
ACH-000169,-0.3492662006854051
ACH-000178,-0.09527587980064048
ACH-000183,0.08350906941349531
ACH-000188,-0.17207664833325395
ACH-000189,-0.365331621679642
ACH-000190,-0.23811566007236706
ACH-000198,0.11536104461639662
ACH-000203,0.04889912613100947
ACH-000204,0.07822484974773344
ACH-000206,-0.2682837643574257
ACH-000207,-0.1830679786343172
ACH-000208,-0.2176547814724321
ACH-000210,-0.06696940248732335
ACH-000211,-0.2768137727214658
ACH-000215,-0.3252192831565228
ACH-000221,-0.13027808399907864
ACH-000222,-0.07593957092868192
ACH-000223,-0.06511539855376454
ACH-000226,-0.10792724271548963
ACH-000227,-0.2020290248790334
ACH-000228,-0.21370918116147208
ACH-000231,-0.11183755262674112
ACH-000232,-0.21935337440607028
ACH-000233,0.06865308081020964
ACH-000234,-0.134797105837316
ACH-000235,-0.09939707291719853
ACH-000237,-0.16912605478776346
ACH-000238,-0.08808053073868928
ACH-000242,0.016010191085937982
ACH-000243,-0.1822385733053776
ACH-000244,-0.1690953613507922
ACH-000246,-0.209657920646649
ACH-000248,-0.1936013563786904
ACH-000250,-0.16861332147919894
ACH-000251,-0.3218048866507134
ACH-000252,-0.30514999747547256
ACH-000253,-0.20657725049128497
ACH-000255,-0.21014701076124406
ACH-000256,-0.015077318736934563
ACH-000257,-0.3274132211672505
ACH-000258,-0.13010845856040787
ACH-000259,-0.2529391795174019
ACH-000260,-0.17993286270539033
ACH-000261,-0.20206214766859495
ACH-000262,-0.28084804866088914
ACH-000263,-0.20012082519599295
ACH-000264,-0.2937283419422677
ACH-000265,-0.010563952464854046
ACH-000266,-0.12503261886728365
ACH-000272,-0.17571221881883872
ACH-000274,-0.19657618508788646
ACH-000277,-0.19991258494200406
ACH-000278,-0.08257661527595309
ACH-000279,-0.2439214192867511
ACH-000280,-0.13296542323571675
ACH-000281,0.1540988094368583
ACH-000288,-0.1752491286730006
ACH-000291,-0.15386487495650467
ACH-000293,-0.06303597698737126
ACH-000294,-0.2047529520334276
ACH-000295,0.007580911974599126
ACH-000296,-0.3237821399227667
ACH-000302,0.10768790459798272
ACH-000304,-0.2480356854835799
ACH-000307,-0.13556444093204725
ACH-000308,-0.09846255877835301
ACH-000310,-0.1690764467741453
ACH-000311,-0.13262106296827647
ACH-000312,-0.3916427166788405
ACH-000315,0.059333590561714826
ACH-000316,-0.009567668408564718
ACH-000317,0.01533415148829768
ACH-000318,-0.2093926601637532
ACH-000319,-0.11659518895723148
