,RTP3 (83597)
ACH-000004,-0.11721982918682593
ACH-000005,-0.01206063923881238
ACH-000007,-0.1227921300900709
ACH-000009,-0.14465749438308506
ACH-000011,-0.01209963662493642
ACH-000012,-0.1009818047472411
ACH-000013,-0.09658111289959974
ACH-000014,-0.0736917756141926
ACH-000015,-0.09921295912690152
ACH-000017,-0.09208017901674806
ACH-000018,-0.12086036693417992
ACH-000019,-0.08888412572133005
ACH-000021,-0.1426257212192626
ACH-000022,-0.053533440311225054
ACH-000025,-0.18645996524421507
ACH-000028,-0.028523301553126282
ACH-000030,-0.17137279157175764
ACH-000035,0.0020009687224526247
ACH-000036,-0.06201962841861696
ACH-000037,-0.29288261567025164
ACH-000039,-0.0793602014727062
ACH-000040,-0.21505270411671146
ACH-000041,-0.10591796118570243
ACH-000042,-0.1171228923889764
ACH-000045,-0.025038398652560485
ACH-000047,-0.1085163134851499
ACH-000052,-0.15984097551868034
ACH-000053,-0.0813497189288025
ACH-000054,-0.1890055341578704
ACH-000055,-0.1504048144059203
ACH-000060,-0.254526764906642
ACH-000067,-0.3200687771874526
ACH-000070,-0.04572786310899242
ACH-000075,-0.1399799028202149
ACH-000078,-0.18866724951434846
ACH-000082,-0.15099362432239108
ACH-000085,-0.1174768281798662
ACH-000086,-0.12375871988955832
ACH-000087,0.12870852092893265
ACH-000092,-0.13408082578633368
ACH-000095,-0.1270412359097952
ACH-000097,-0.06277819358724686
ACH-000098,-0.11091201795977428
ACH-000099,0.05672837479930399
ACH-000108,-0.10905708906413407
ACH-000113,-0.09253336287379348
ACH-000116,-0.20375843411656444
ACH-000118,-0.10538138685411724
ACH-000120,0.1071547158554974
ACH-000123,-0.0504486416245764
ACH-000127,-0.1681420783709584
ACH-000128,0.0008398317591207303
ACH-000132,-0.0690148316736614
ACH-000133,-0.10095384254852542
ACH-000137,-0.0418850340747844
ACH-000138,-0.15024077171675654
ACH-000142,-0.18134285974323391
ACH-000143,-0.2470324493919503
ACH-000146,-0.1503307221326839
ACH-000148,-0.09713654399041076
ACH-000150,-0.14579527775249845
ACH-000152,-0.020041752219111995
ACH-000153,0.01727693589197083
ACH-000159,-0.28622816089067604
ACH-000160,-0.2664580707352661
ACH-000163,-0.08373620982771587
ACH-000167,-0.10075142964883027
ACH-000168,-0.1409471842955308
ACH-000169,-0.1609452667392712
ACH-000178,-0.09682920404922453
ACH-000183,-0.10042932485709344
ACH-000188,-0.18007632720424938
ACH-000189,-0.13121365205954227
ACH-000190,-0.11973138165814255
ACH-000198,-0.03506052369514052
ACH-000203,-0.1498715573106238
ACH-000204,-0.21072197772013415
ACH-000206,-0.018485993105895725
ACH-000207,-0.13903548822637615
ACH-000208,-0.2674582019500825
ACH-000210,-0.13628753591264967
ACH-000211,-0.20610707958324145
ACH-000215,-0.058624621116791314
ACH-000221,-0.2414324419164921
ACH-000222,-0.13645435209561368
ACH-000223,-0.06468401135663539
ACH-000226,-0.13698025539365202
ACH-000227,-0.029249563258326075
ACH-000228,-0.1499563884580185
ACH-000231,-0.06569052600301986
ACH-000232,-0.04507008673183198
ACH-000233,-0.17090870118317728
ACH-000234,-0.18326288798606435
ACH-000235,-0.1414153995377074
ACH-000237,-0.20809117243643924
ACH-000238,-0.27399260181862994
ACH-000242,0.07346223479775295
ACH-000243,-0.07302517238228419
ACH-000244,-0.4425771531118083
ACH-000246,-0.09450950052963744
ACH-000248,0.21697209859895145
ACH-000250,-0.13231994893779073
ACH-000251,-0.05392250882241301
ACH-000252,-0.023749340486013067
ACH-000253,-0.15498866204566378
