,RIMKLB (57494)
ACH-000004,-0.18616899498059916
ACH-000005,-0.1027157181121546
ACH-000007,0.14139907358894055
ACH-000009,-0.06578278627206673
ACH-000011,-0.20322688574072814
ACH-000012,-0.09425856245709774
ACH-000013,-0.06664756431485022
ACH-000014,0.05719526065131576
ACH-000015,-0.2312806286710116
ACH-000017,-0.07595995508579059
ACH-000018,-0.3173246606174311
ACH-000019,-0.05443734327791957
ACH-000021,0.019352088471842662
ACH-000022,-0.0094550304125897
ACH-000025,-0.014656532300597129
ACH-000028,0.042064362015129135
ACH-000030,-0.021413644502641858
ACH-000035,-0.06703825377638574
ACH-000036,-0.13671308116933684
ACH-000037,-0.016835217480632287
ACH-000039,-0.24296759412027186
ACH-000040,-0.06720711833651839
ACH-000041,0.031941633400145115
ACH-000042,-0.02335204399499221
ACH-000045,-0.047156730142842385
ACH-000047,-0.10796386904124823
ACH-000052,-0.06998928805949252
ACH-000053,-0.08411876824540862
ACH-000054,-0.062236354629633936
ACH-000055,-0.3232222062824549
ACH-000060,-0.22264470331246272
ACH-000067,-0.2208098646588035
ACH-000070,0.01821916841215939
ACH-000075,0.15688864434845856
ACH-000078,-0.009178885124016907
ACH-000082,-0.014654854075874328
ACH-000085,-0.2279806664305303
ACH-000086,-0.20223517510005712
ACH-000087,0.17811520764947955
ACH-000092,-0.0940352521017739
ACH-000095,-0.021540975200305575
ACH-000097,-0.01738778013514284
ACH-000098,-0.2125063183445518
ACH-000099,-0.04166842924500554
ACH-000108,-0.09776188344311293
ACH-000113,-0.07397697282680972
ACH-000116,-0.07894725542274013
ACH-000118,0.040878346365438085
ACH-000120,-0.12423879452860355
ACH-000123,-0.12747410425488995
ACH-000127,-0.1998260460971752
ACH-000128,-0.25829710439280595
ACH-000132,-0.01690410116466861
ACH-000133,-0.06493177384123189
ACH-000137,0.13784753751519085
ACH-000138,0.02205739997875629
ACH-000142,-0.08251670476178162
ACH-000143,0.09809690683762676
ACH-000146,-0.2258098549757605
ACH-000148,-0.1816962790290572
ACH-000150,-0.08209458620676871
ACH-000152,-0.002473601675203016
ACH-000153,0.02815994241509498
ACH-000159,-0.07828721958272299
ACH-000160,-0.2133389383281454
ACH-000163,-0.004780154403506169
ACH-000167,0.10353211935804033
ACH-000168,0.012585818471250088
ACH-000169,-0.09829233848154807
ACH-000178,-0.07733349270543369
ACH-000183,0.054721230152126016
ACH-000188,-0.13286322832255454
ACH-000189,-0.27020845741212673
ACH-000190,-0.1914043943999065
ACH-000198,-0.1202872217520746
ACH-000203,0.31071903073004875
ACH-000204,0.029601304165793905
ACH-000206,-0.14529437389037034
ACH-000207,-0.13743762426349973
ACH-000208,-0.1092043080592388
ACH-000210,0.06913287143069406
ACH-000211,-0.07922329418562397
