,GRAMD1C (54762)
ACH-000004,0.12659912358790493
ACH-000005,0.40857401906564617
ACH-000007,0.16902657731062648
ACH-000009,0.0376236989859781
ACH-000011,0.1266758894065769
ACH-000012,0.18871405219417184
ACH-000013,0.1275988920858183
ACH-000014,-0.0016832801992675288
ACH-000015,0.0985868612654122
ACH-000017,0.21349755102510573
ACH-000018,0.06064961917375716
ACH-000019,0.15436595149854596
ACH-000021,0.0960501009287298
ACH-000022,0.16585061982653884
ACH-000025,0.01357676883610408
ACH-000028,0.02695465131969474
ACH-000030,0.1289833588371454
ACH-000035,0.0051738941872130784
ACH-000036,0.10792196201281096
ACH-000037,0.2550925835967164
ACH-000039,-0.02662501120513633
ACH-000040,0.08191987040616984
ACH-000041,0.18581762345186603
ACH-000042,0.0539261199935625
ACH-000045,0.13544435553482434
ACH-000047,0.11970299499115425
ACH-000052,0.2635967654976044
ACH-000053,0.08095465659618055
ACH-000054,0.23336802068268564
ACH-000055,0.16250131806728876
ACH-000060,0.11692141827771985
ACH-000067,0.12630621595751804
ACH-000070,0.004858489861017385
ACH-000075,-0.15439452052192976
ACH-000078,0.13704640114137426
ACH-000082,0.06034525680969935
ACH-000085,0.039037918478923635
ACH-000086,0.08255478945890289
ACH-000087,0.15458503120817085
ACH-000092,0.044292679552868384
ACH-000095,0.15886968007852906
ACH-000097,0.1964768235741584
ACH-000098,0.1277926724053677
ACH-000099,0.19385959995254748
ACH-000108,0.05580681055497372
ACH-000113,0.09898374107268476
ACH-000116,0.2954784685823055
ACH-000118,0.12006196619170532
ACH-000120,0.2762871374134829
ACH-000123,0.021712452648295792
ACH-000127,0.13155642888951952
ACH-000128,0.02887662657436733
ACH-000132,0.09141337409952274
ACH-000133,0.05133267284783605
ACH-000137,0.3359232527237257
ACH-000138,0.1083818096864783
ACH-000142,0.14398063502843111
ACH-000143,-0.053433464339140486
ACH-000146,0.147588650269588
ACH-000148,0.15122970353332216
ACH-000150,0.14800934183811992
ACH-000152,0.17689661777500834
ACH-000153,0.21815464073697388
ACH-000159,0.04635484029261807
ACH-000160,0.025657183478145502
ACH-000163,0.11808637855667113
ACH-000167,0.1793426465861357
ACH-000168,0.056062333127931456
ACH-000169,0.21012160429780885
ACH-000178,0.06709143318148399
ACH-000183,0.13039411110853733
ACH-000188,0.09883922781751817
ACH-000189,-0.07363272114394867
ACH-000190,0.23104073557995825
ACH-000198,0.05482816300362057
ACH-000203,0.02542246218992627
ACH-000204,0.16888325636823415
ACH-000206,0.2418844492644944
ACH-000207,0.029958607913591687
ACH-000208,0.20336231769539392
ACH-000210,0.009917404807910224
ACH-000211,0.08081763007194802
ACH-000215,0.12458637592156073
ACH-000221,0.14552687966848185
ACH-000222,0.1806391596356599
ACH-000223,0.13999939146641144
ACH-000226,0.0971384459809815
ACH-000227,0.2757155957159486
ACH-000228,0.19335016784397066
ACH-000231,0.1229376999597628
ACH-000232,0.0969970635734396
ACH-000233,0.22203407594926394
ACH-000234,0.15153204377763552
ACH-000235,0.08914699501690439
ACH-000237,0.095373140627598
ACH-000238,0.13647261514300474
ACH-000242,0.15268289406105964
ACH-000243,0.167913982882286
ACH-000244,0.0539500632232932
ACH-000246,-0.03015712351267844
ACH-000248,0.0617251589953964
ACH-000250,0.03822750757178644
ACH-000251,0.06614594681181955
ACH-000252,0.20902492636699
ACH-000253,0.15737399271893526
ACH-000255,0.1827633597646429
ACH-000256,0.2759555354560577
ACH-000257,0.10590027039612422
ACH-000258,0.07623518070756688
ACH-000259,0.2248743665033116
ACH-000260,0.12671795423226512
ACH-000261,0.07746756067302007
ACH-000262,0.010159178095214385
ACH-000263,0.08377075218015431
ACH-000264,0.11633023983159738
ACH-000265,0.1631203793820392
ACH-000266,0.1964196570284246
ACH-000272,0.08575486484631084
ACH-000274,0.0966224495187884
ACH-000277,0.14262061118798594
ACH-000278,0.10386349488051344
ACH-000279,0.07888256308896074
ACH-000280,-0.04793437343528886
ACH-000281,0.12828025836980206
ACH-000288,0.13308651721383422
ACH-000291,0.0738411137070314
ACH-000293,0.21200299946459525
ACH-000294,0.005561726210260414
ACH-000295,0.19042838549718852
ACH-000296,-0.0447230990868609
ACH-000302,0.10973344824569108
ACH-000304,0.018059134813211256
ACH-000307,0.03962304450083669
ACH-000308,0.07983479914558486
ACH-000310,0.22401910180055987
ACH-000311,0.0452456744255775
ACH-000312,0.11146188627010596
ACH-000315,0.07471585107025804
ACH-000316,0.20786475881426075
ACH-000317,-0.06029450502637891
ACH-000318,0.0999147032521964
ACH-000319,0.08147500240798504
ACH-000320,0.22360428353767514
ACH-000322,-0.03999873917868922
ACH-000323,0.06898489922686685
ACH-000324,0.09620797780960527
ACH-000329,0.04757947535422535
