,LARS (51520)
ACH-000004,-0.7397060329494294
ACH-000005,-0.4806672518880459
ACH-000007,-0.4686887537378397
ACH-000009,-0.7390446478757001
ACH-000011,-0.5082666811833901
ACH-000012,-0.7983715225337843
ACH-000013,-0.4905151564854992
ACH-000014,-0.7684548946038441
ACH-000015,-0.8206975011630234
ACH-000017,-0.5470843937546593
ACH-000018,-0.9819477196510868
ACH-000019,-0.7728433027893591
ACH-000021,-0.5860252740516108
ACH-000022,-0.7504839074328308
ACH-000025,-0.6645398135443034
ACH-000028,-0.6617586930405459
ACH-000030,-0.5853554503253586
ACH-000035,-0.7785035135203936
ACH-000036,-0.8225815321805008
ACH-000037,-0.9629928986774592
ACH-000039,-0.8227722230469304
ACH-000040,-0.7278137945796659
ACH-000041,-0.7379534347117019
ACH-000042,-0.6378539037068758
ACH-000045,-0.6801257074190419
ACH-000047,-0.5940129839594391
ACH-000052,-0.7811994051000336
ACH-000053,-0.8157797153689541
ACH-000054,-0.7242592665520067
ACH-000055,-0.6434607989193456
ACH-000060,-0.6646389608141501
ACH-000067,-0.7247756455841057
ACH-000070,-0.7390985867026093
ACH-000075,-0.7063103351985074
ACH-000078,-0.666328832617526
ACH-000082,-0.7117729824402256
ACH-000085,-0.8365645501987488
ACH-000086,-0.5874757576279911
ACH-000087,-0.9005909589520291
ACH-000092,-0.5751164458255668
ACH-000095,-0.7447836898544742
ACH-000097,-0.6871917267468804
ACH-000098,-0.7040892327037079
ACH-000099,-0.5697131158958278
ACH-000108,-0.8191347112798609
ACH-000113,-0.882188383995006
ACH-000116,-0.6192471589043264
ACH-000118,-0.7490134832528043
ACH-000120,-0.6363291340881659
ACH-000123,-0.6212869601330586
ACH-000127,-0.8387175999881576
ACH-000128,-0.5988854543055875
ACH-000132,-0.6666323137215341
ACH-000133,-0.6395274259645174
ACH-000137,-0.7663503224620473
ACH-000138,-0.5258363614672051
ACH-000142,-0.6025586417966744
ACH-000143,-0.5822916629817413
ACH-000146,-0.7583739432992929
ACH-000148,-0.7337158046275469
ACH-000150,-0.4304066651976148
ACH-000152,-0.8303259069258736
ACH-000153,-0.7779940103421944
ACH-000159,-0.7177528993090023
ACH-000160,-0.6818426397822395
ACH-000163,-0.6885181912063055
ACH-000167,-0.903043367788168
ACH-000168,-0.6885558462867835
ACH-000169,-0.7327869259782069
ACH-000178,-0.5847034092238896
ACH-000183,-0.7534500650370358
ACH-000188,-0.7297356679700608
ACH-000189,-0.5094072231983939
ACH-000190,-0.597345416618677
ACH-000198,-0.6384301267240504
ACH-000203,-0.7680650448790258
ACH-000204,-0.7093209594847506
ACH-000206,-0.5000397624603229
ACH-000207,-0.6876903910407802
ACH-000208,-0.6539709191537812
ACH-000210,-0.8275931432879283
ACH-000211,-0.6133278643017218
ACH-000215,-0.6028772728846257
ACH-000221,-0.7191367115528805
ACH-000222,-0.5939662753458232
ACH-000223,-0.7701694964380372
ACH-000226,-0.6689005337586741
ACH-000227,-0.3429415759815828
ACH-000228,-0.756096100332127
ACH-000231,-0.608064019764428
ACH-000232,-0.7099482628171436
ACH-000233,-0.5454202709000284
ACH-000234,-0.6505979168419573
ACH-000235,-0.6792704716945206
ACH-000237,-0.7930175968442725
ACH-000238,-0.4903902883310728
ACH-000242,-1.0233251012068367
ACH-000243,-0.8387335491860098
ACH-000244,-0.8829970527161435
ACH-000246,-0.6308980447919139
ACH-000248,-0.6504332494919629
ACH-000250,-0.6891817852140023
ACH-000251,-0.4876294622412925
ACH-000252,-0.6946389527700719
ACH-000253,-0.6626988650800927
ACH-000255,-0.7034595609234523
ACH-000256,-0.5766694404719594
ACH-000257,-1.0384163775345283
ACH-000258,-0.4074234248624401
ACH-000259,-0.6103941420390306
ACH-000260,-0.6331375891019247
ACH-000261,-0.622970584232816
ACH-000262,-0.6466232930502127
ACH-000263,-0.7002113758370807
ACH-000264,-0.7605493833142015
ACH-000265,-0.6403173199764517
ACH-000266,-0.7649972378100327
ACH-000272,-0.6912898972819528
ACH-000274,-0.72411380970845
ACH-000277,-0.762306446279225
ACH-000278,-0.6233393942707507
ACH-000279,-0.8762011100969866
ACH-000280,-0.6042749789226379
ACH-000281,-0.6168191316222211
ACH-000288,-0.6312550456937229
ACH-000291,-0.7472195132386598
ACH-000293,-0.6010857089541863
ACH-000294,-0.7333210969397441
ACH-000295,-0.8545563365597154
ACH-000296,-0.8066897998580601
ACH-000302,-0.7230547196560859
ACH-000304,-0.7888858739226288
ACH-000307,-0.7362776833653908
ACH-000308,-0.8261584420694191
ACH-000310,-0.5669828370084063
ACH-000311,-0.631255705619837
ACH-000312,-0.6614562396851209
ACH-000315,-0.7124982807849151
ACH-000316,-0.7048252401969916
ACH-000317,-0.5348999818105714
ACH-000318,-0.6454648726776618
ACH-000319,-0.9870444066987709
ACH-000320,-0.5966491482170214
ACH-000322,-0.9020161918096834
ACH-000323,-0.9326206382225394
ACH-000324,-0.6212916532565241
ACH-000329,-0.7114349551385746
ACH-000330,-0.8190396093276967
ACH-000331,-0.7018550525010252
ACH-000332,-0.6955543476509043
ACH-000334,-0.8001948724575509
ACH-000335,-0.7424298338925
ACH-000336,-0.8049114515626046
ACH-000337,-0.6058811269548563
ACH-000338,-0.7098826216813711
ACH-000339,-0.5925658825250858
ACH-000341,-0.5118315881726339
ACH-000348,-0.6868796962018696
ACH-000350,-0.7568818211812139
ACH-000352,-0.8967460597045329
ACH-000356,-0.5438213864369542
ACH-000361,-0.7152605755502056
ACH-000362,-0.6588874793195747
ACH-000363,-0.6114922411707483
ACH-000364,-0.7855445211139153
ACH-000365,-0.7849733104216128
ACH-000366,-0.5723532588724298
ACH-000368,-0.6265860906744587
ACH-000374,-0.7086111140036125
ACH-000375,-0.5949980570925281
ACH-000376,-0.7074440032591932
ACH-000381,-0.674994154249229
ACH-000383,-0.7045869063384643
ACH-000387,-0.8405192277285829
ACH-000389,-0.6018661250872996
ACH-000390,-0.6624058496024022
ACH-000393,-0.7855886450663367
ACH-000395,-0.850412796082528
ACH-000396,-0.6288749579041798
ACH-000397,-0.5782244401149309
ACH-000401,-0.7618186983222308
ACH-000402,-0.5192081824264043
ACH-000403,-0.8097153817715297
ACH-000404,-0.4671887026376367
ACH-000406,-0.7433435098127871
ACH-000407,-0.8894174787877944
ACH-000408,-0.6538505829782326
ACH-000410,-0.9917710306376792
ACH-000411,-0.6222911141816626
ACH-000414,-0.6122072353790394
ACH-000415,-0.5932781843528472
ACH-000416,-0.7957806109030849
ACH-000420,-0.7413031725364209
ACH-000421,-0.7123598019922536
ACH-000424,-0.7199659488853231
ACH-000425,-0.9632531905437062
ACH-000426,-0.6338358974052944
ACH-000427,-0.5984358831211145
ACH-000433,-0.846684971905404
ACH-000435,-0.5479634405013628
ACH-000436,-0.4869699800940063
ACH-000444,-0.6148531525866361
ACH-000445,-0.7479505980467279
ACH-000448,-0.6109283101421396
ACH-000450,-0.6775914962794413
ACH-000452,-0.7478598934524799
ACH-000454,-0.6199899442651053
ACH-000458,-0.5346550889109327
ACH-000459,-0.3164319956825844
ACH-000460,-0.68977925089781
ACH-000461,-0.5061741975257754
ACH-000463,-0.6522807692329524
ACH-000464,-0.6749970519885921
ACH-000466,-0.7683399622162479
ACH-000467,-0.7601953526320088
ACH-000468,-0.6922197396477471
ACH-000469,-0.654871127870027
ACH-000470,-0.7228422267979582
ACH-000471,-0.6581915955501806
ACH-000472,-0.5842616500354161
ACH-000473,-0.5637185146282856
ACH-000475,-0.7116395091637332
ACH-000476,-0.6523021446763656
ACH-000477,-0.4476372422289096
ACH-000479,-0.6148040747602378
ACH-000480,-0.7083204938293576
ACH-000481,-0.6396490602074543
ACH-000483,-0.5770992830226814
ACH-000484,-0.8226626464780349
ACH-000485,-0.6907972950988841
ACH-000486,-0.7189775752403055
ACH-000487,-0.6188096208371815
ACH-000488,-0.5926872130352151
ACH-000490,-0.5847681624219963
ACH-000491,-0.7648183426797691
ACH-000495,-0.7001821750858501
ACH-000496,-0.5503300700705996
ACH-000499,-0.6916844910909018
ACH-000500,-0.4706859853204168
ACH-000502,-0.5658840541194846
ACH-000503,-0.8953068495714218
ACH-000505,-0.7717910661174383
ACH-000507,-0.6880890654751416
ACH-000510,-0.7068420323999813
ACH-000511,-0.8374421581847692
ACH-000512,-0.8156979913640889
ACH-000516,-0.6143479887721894
ACH-000517,-0.6137271038826193
ACH-000518,-0.6437198693640517
ACH-000520,-0.7204461046786208
ACH-000521,-0.6812678525539887
ACH-000522,-0.4140073935858558
ACH-000524,-0.5247192503411907
ACH-000527,-0.6219638108343978
ACH-000528,-0.6373201399915844
ACH-000537,-0.6672114749452857
ACH-000541,-0.7987976794332354
ACH-000542,-0.6256961029721585
ACH-000544,-0.7087822647064096
ACH-000545,-0.6979638450108501
ACH-000547,-0.8597576188828291
ACH-000548,-0.7081760226492899
ACH-000549,-0.6684772918953823
ACH-000550,-0.7517190240868832
ACH-000552,-0.5896896072818464
ACH-000556,-0.6545858086491224
ACH-000557,-0.5421541077727292
ACH-000569,-0.4881019698469473
ACH-000570,-0.5651780061061074
ACH-000571,-0.6827671732973123
ACH-000573,-0.7082157565763465
ACH-000576,-0.6150595756875183
ACH-000579,-0.8735604990451672
ACH-000580,-0.7340861940543837
ACH-000584,-0.6318544377038628
ACH-000585,-0.5839134506837907
ACH-000588,-0.4935566147168949
ACH-000589,-0.6276109676631971
ACH-000591,-0.5311257657621311
ACH-000593,-0.6812928970855993
ACH-000600,-0.5834719682111474
ACH-000601,-0.5426119392739045
ACH-000605,-0.6244934375509625
ACH-000606,-0.8095161272453203
ACH-000608,-0.6714988314689476
ACH-000614,-0.9252792946178648
ACH-000616,-0.6041917843966188
ACH-000618,-0.5688356752038731
ACH-000619,-0.7692835010761792
ACH-000620,-0.6166650825569749
ACH-000621,-0.4495397449934509
ACH-000622,-0.9073245920059532
ACH-000623,-0.6667382681583783
ACH-000624,-0.7280542596689741
ACH-000627,-0.9017456901423314
ACH-000630,-0.6613244552160721
ACH-000631,-0.57674996516073
ACH-000632,-0.5495419744706174
ACH-000633,-0.5013236377687575
ACH-000637,-0.55463469542277
ACH-000638,-0.6442480259990021
ACH-000646,-0.7219131904001551
ACH-000647,-0.8338784452167821
ACH-000648,-0.4514102027555327
ACH-000649,-0.7062225271378826
ACH-000651,-0.8030174852967898
ACH-000652,-0.6562711029934757
ACH-000653,-0.6783009009673936
ACH-000657,-0.6593797363916551
ACH-000658,-0.6808836378047168
ACH-000661,-0.7192948888438252
ACH-000662,-0.7056751246433344
