,DDX5 (1655)
ACH-000004,-0.3967851633654555
ACH-000005,-0.35479289970715844
ACH-000007,-0.3496498844603947
ACH-000009,-0.2878885809882697
ACH-000011,-0.4983896618625829
ACH-000012,-0.9371549727173568
ACH-000013,-0.6381752564006169
ACH-000014,-0.4698659560226508
ACH-000015,-0.4988962449691966
ACH-000017,-0.5594126087675438
ACH-000018,-0.5483057124118316
ACH-000019,-0.9105470465762312
ACH-000021,-0.5237166021223921
ACH-000022,-0.5388572719589778
ACH-000025,-0.823196110294891
ACH-000028,-0.8145097166724191
ACH-000030,-0.18445528021857485
ACH-000035,-0.3872853617068583
ACH-000036,-0.94648827517773
ACH-000037,-0.3700801425705124
ACH-000039,-0.4673897794776473
ACH-000040,-0.511329934801158
ACH-000041,-0.4516037156652108
ACH-000042,-0.5251872729688642
ACH-000045,-0.35531795913651465
ACH-000047,-0.8407544278849477
ACH-000052,-0.41301525833036745
ACH-000053,-0.535265241407747
ACH-000054,-0.7690456445536752
ACH-000055,-0.4389707239551471
ACH-000060,-0.5750530186338172
ACH-000067,-0.5539982822807259
ACH-000070,-0.4394129744528202
ACH-000075,-0.6261032926380157
ACH-000078,-0.4431348185544062
ACH-000082,-0.4075716206024826
ACH-000085,-0.5393891546183817
ACH-000086,-0.5367851308800399
ACH-000087,-0.35417844094761824
ACH-000092,-0.4999293112091874
ACH-000095,-0.2395407050252577
ACH-000097,-0.5902569579619892
ACH-000098,-0.4736022924169839
ACH-000099,-0.5411126137983071
ACH-000108,-0.5031015460539519
ACH-000113,-0.6309744464441679
ACH-000116,-0.4435590346098491
ACH-000118,-0.6759271116510323
ACH-000120,-0.3717507755355495
ACH-000123,-0.6014921721949525
ACH-000127,-0.3198884044929716
ACH-000128,-0.5892582570766829
ACH-000132,-0.16921165560741513
ACH-000133,-0.8241795070267856
ACH-000137,-0.5537964615984698
ACH-000138,-0.6289160754618064
ACH-000142,-0.5799075411951136
ACH-000143,-0.30382014606444513
ACH-000146,-0.4954043691261106
ACH-000148,-0.5095183218057343
ACH-000150,-0.8344330960857191
ACH-000152,-0.2738413084295384
ACH-000153,-0.4302256489047129
ACH-000159,-0.33873218711573955
ACH-000160,-0.29183313063898986
ACH-000163,-0.7067690653324248
ACH-000167,0.8230732111773845
ACH-000168,-0.3896506803051144
ACH-000169,-0.4573013353475057
ACH-000178,-0.4963778862301778
ACH-000183,-0.6330449608212455
ACH-000188,-0.5969287399002255
ACH-000189,-0.4277611615776668
ACH-000190,-0.24331053936639965
ACH-000198,-0.10168337474145732
ACH-000203,-0.6121973607317944
ACH-000204,-0.3482143421386115
ACH-000206,-0.5231068717302282
ACH-000207,-0.3721310527860397
ACH-000208,-0.4632177159401739
ACH-000210,-0.3199265376560694
ACH-000211,-0.4334804421209441
ACH-000215,-0.4740888787508847
ACH-000221,-0.6883470717311335
ACH-000222,-0.35766221904098816
ACH-000223,-0.5122625801391466
ACH-000226,-0.7385722409734329
ACH-000227,-0.4499136387732489
ACH-000228,-0.4201805750437919
ACH-000231,-0.38846174279910417
ACH-000232,-0.09176364984914487
ACH-000233,-0.4856323415764167
ACH-000234,-0.4466378255054602
ACH-000235,-0.5012888084575567
ACH-000237,-0.5448191446801027
ACH-000238,-0.7152669953898192
ACH-000242,-0.5076639040211444
ACH-000243,-0.5365650009908428
ACH-000244,-0.8804247897963502
ACH-000246,-0.5433470778387226
ACH-000248,-0.5709244756746291
ACH-000250,-0.5649633971389667
ACH-000251,-0.7312839281091433
ACH-000252,-0.5151709593151156
ACH-000253,-0.3069477813110019
ACH-000255,-0.4560244482973053
ACH-000256,-0.6948109937921422
ACH-000257,-0.7615868877106138
ACH-000258,-0.6038999009902327
ACH-000259,-0.406763544005145
ACH-000260,-0.7472636566859976
ACH-000261,-0.4774309267358302
ACH-000262,-0.37059444898577343
ACH-000263,-0.5388774860516655
ACH-000264,-0.4602127818278798
ACH-000265,-0.6108042977748963
ACH-000266,-0.3186471370684926
ACH-000272,-0.2956692721636938
ACH-000274,-0.6435118990491553
ACH-000277,-0.5030229435322368
ACH-000278,-0.6244344850505742
ACH-000279,-0.5312362507489717
ACH-000280,-0.6083134585755531
ACH-000281,-0.1995716659278208
ACH-000288,-0.4708617695089046
ACH-000291,-0.7089045096292306
ACH-000293,-0.6326633107405121
ACH-000294,-0.06872680340972158
ACH-000295,-0.4946007505955272
ACH-000296,-0.7025166270830747
ACH-000302,-0.8737712669052313
ACH-000304,-0.35630004821608063
ACH-000307,-0.4822254368581786
ACH-000308,-0.26540179511938033
ACH-000310,-0.31011144175047417
ACH-000311,-0.4133581655235055
ACH-000312,-0.14979508396367733
ACH-000315,-0.4040524251940572
ACH-000316,-0.6150677030201549
ACH-000317,-0.6256429587608924
ACH-000318,-0.4160884127293624
ACH-000319,-0.5348726008684541
ACH-000320,-0.7464074360276332
ACH-000322,-0.4707184801950588
ACH-000323,-0.5075392307457018
ACH-000324,-0.28834476707173884
ACH-000329,-0.5078168893486185
ACH-000330,-0.3860462714258458
ACH-000331,-0.8119816042357808
ACH-000332,-0.4905725501737016
ACH-000334,-0.06205731523005231
ACH-000335,-0.925708588125122
ACH-000336,-0.6847868540698274
ACH-000337,-0.6601503295430335
ACH-000338,-0.7361376762979415
ACH-000339,-0.7777983521204387
ACH-000341,-0.496386006541921
ACH-000348,-0.3845481730430586
ACH-000350,-0.5564082969807727
ACH-000352,-0.6804550044239303
ACH-000356,-0.6208506183733056
ACH-000361,-0.5254758803960456
ACH-000362,-0.2773185777618635
ACH-000363,-0.228760342834488
ACH-000364,-0.31302803392793016
ACH-000365,-0.5275297518971194
ACH-000366,-0.15789639714612752
ACH-000368,-0.5046980563625943
ACH-000374,-0.4744136215607663
ACH-000375,-0.4661447038176686
ACH-000376,-0.311759909161091
ACH-000381,-0.5367495646581866
ACH-000383,-0.5606364553990497
ACH-000387,-0.5860593995413376
ACH-000389,-0.7680279336187636
ACH-000390,-0.5230507372384801
ACH-000393,-0.2753242362115188
ACH-000395,-0.4927454510309391
ACH-000396,-0.5519128432128452
ACH-000397,-0.9381884994267904
ACH-000401,-0.4077184502242179
