,EBNA1BP2 (10969)
ACH-000004,-0.7677551154952263
ACH-000005,-0.7918647838157978
ACH-000007,-0.9725466922765044
ACH-000009,-0.9244282103675484
ACH-000011,-0.9801915376661418
ACH-000012,-0.9453362336986558
ACH-000013,-0.8995095154994603
ACH-000014,-0.7774296186011357
ACH-000015,-0.7300338823442805
ACH-000017,-0.7984886127299468
ACH-000018,-0.8105786947240936
ACH-000019,-0.8010782673256589
ACH-000021,-0.9175058048519236
ACH-000022,-0.9399459357282955
ACH-000025,-0.7160994609407972
ACH-000028,-0.8898458832960232
ACH-000030,-0.8005147085795431
ACH-000035,-0.9540070900598104
ACH-000036,-0.8941416593511173
ACH-000037,-0.9582535637927436
ACH-000039,-0.9197212606883509
ACH-000040,-0.9707412976421934
ACH-000041,-0.8030487008102096
ACH-000042,-0.8907775950333902
ACH-000045,-0.8629112670247322
ACH-000047,-0.7916091694399746
ACH-000052,-0.8520282887429467
ACH-000053,-0.9423905177265908
ACH-000054,-0.7809746454872983
ACH-000055,-0.9388436917800524
ACH-000060,-0.9289063321791392
ACH-000067,-0.8829314689118227
ACH-000070,-0.9521074759095728
ACH-000075,-0.9479834502910592
ACH-000078,-0.6516461968074222
ACH-000082,-0.9338204174157484
ACH-000085,-0.9040434453042742
ACH-000086,-0.9048171114514948
ACH-000087,-0.7085871107196291
ACH-000092,-0.8986939629342447
ACH-000095,-0.7861607617376056
ACH-000097,-0.9727784849802292
ACH-000098,-0.8461331582015846
ACH-000099,-0.8628050504408655
ACH-000108,-0.9420869041587764
ACH-000113,-0.8200321159963153
ACH-000116,-0.8555420493679071
ACH-000118,-0.8782131347025549
ACH-000120,-0.9994246368718236
ACH-000123,-0.8538091187805202
ACH-000127,-0.9328321161740271
ACH-000128,-0.8729195081005563
ACH-000132,-1.072231219041848
ACH-000133,-0.8224215167352854
ACH-000137,-0.8945788482525096
ACH-000138,-0.7477647345300497
ACH-000142,-0.7874259309136149
ACH-000143,-0.9031805487877452
ACH-000146,-0.7051454040583351
ACH-000148,-0.8256716366227811
ACH-000150,-0.9532387742508632
ACH-000152,-0.8250210068529806
ACH-000153,-0.9405307662479431
ACH-000159,-0.7548403810115197
ACH-000160,-0.9140579601881048
ACH-000163,-0.6706929704752304
ACH-000167,-1.294839873115398
ACH-000168,-0.7701920952562171
ACH-000169,-0.8480277963731946
ACH-000178,-0.9029232386737466
ACH-000183,-0.7508022531311427
ACH-000188,-0.8071713120792704
ACH-000189,-1.0720044694352329
ACH-000190,-0.7141380001681079
ACH-000198,-0.8558595020264249
ACH-000203,-1.0868520145022995
ACH-000204,-0.6793752796763299
ACH-000206,-0.9965441928109744
ACH-000207,-0.9915218128923348
ACH-000208,-0.7121355381430864
ACH-000210,-0.7044807266358686
ACH-000211,-0.7345578546917719
ACH-000215,-0.7675263008542428
ACH-000221,-0.7106340347043919
ACH-000222,-0.9736213598840288
ACH-000223,-0.9562341235444928
ACH-000226,-0.7876402128504146
ACH-000227,-1.0787515928474012
ACH-000228,-0.8980002428617565
ACH-000231,-0.8775334896477894
ACH-000232,-0.8960082700954471
ACH-000233,-0.7606187744556911
ACH-000234,-0.8684534822647162
ACH-000235,-0.8558395986802011
