,RPS15A (6210)
ACH-000004,-1.1098434367041392
ACH-000005,-0.7116450856530722
ACH-000007,-1.251581887231738
ACH-000009,-1.0085729082194346
ACH-000011,-0.8538940398931097
ACH-000012,-1.1478410592331871
ACH-000013,-1.234023901570548
ACH-000014,-1.3146930791817255
ACH-000015,-1.2469558922034747
ACH-000017,-0.942613975158216
ACH-000018,-1.2767856319905144
ACH-000019,-1.2965010216468569
ACH-000021,-1.0358716655860625
ACH-000022,-1.129388105487538
ACH-000025,-1.3253729774903407
ACH-000028,-1.1568111975372681
ACH-000030,-1.2220690438414288
ACH-000035,-1.080537421469837
ACH-000036,-1.020357187699631
ACH-000037,-1.4155766443919662
ACH-000039,-1.2328419756398148
ACH-000040,-1.1754387784159102
ACH-000041,-1.2155141039024269
ACH-000042,-1.165128430972321
ACH-000045,-1.168046967219876
ACH-000047,-0.9667869630110127
ACH-000052,-1.058407601124454
ACH-000053,-1.1174377340640536
ACH-000054,-1.0348033776436387
ACH-000055,-1.1768769004148545
ACH-000060,-1.2713216622163708
ACH-000067,-1.1953205447956607
ACH-000070,-1.1791163486791851
ACH-000075,-1.3668839199014882
ACH-000078,-1.2782533451007259
ACH-000082,-1.331109493966366
ACH-000085,-1.129639051746642
ACH-000086,-1.27798801346417
ACH-000087,-1.1600229607829529
ACH-000092,-1.3404940384468194
ACH-000095,-1.1903433358149484
ACH-000097,-1.3380191896058204
ACH-000098,-1.282746232457698
ACH-000099,-1.151319841436346
ACH-000108,-0.9426965346829984
ACH-000113,-1.0508818271874292
ACH-000116,-1.0010602345870625
ACH-000118,-1.1925120672353493
ACH-000120,-1.3583599410681475
ACH-000123,-1.1203619001014578
ACH-000127,-0.9601609622379592
ACH-000128,-1.1410447404419901
ACH-000132,-1.3623020796558891
ACH-000133,-0.9711383135968468
ACH-000137,-1.238861729345102
ACH-000138,-1.2791019809194693
ACH-000142,-1.4768486607979414
ACH-000143,-1.2295272548200726
ACH-000146,-1.0332224088018744
ACH-000148,-1.4361177592767052
ACH-000150,-1.424264409504313
ACH-000152,-0.9832961993204352
ACH-000153,-1.2581540738933894
ACH-000159,-1.0354034090822344
ACH-000160,-1.002435206722273
ACH-000163,-1.2413069144644169
ACH-000167,0.7888989407326378
ACH-000168,-1.413673065574922
ACH-000169,-1.3242400196012976
ACH-000178,-1.1449732287755168
ACH-000183,-1.3404076588534195
ACH-000188,-0.9867135424981082
ACH-000189,-1.4038113987011778
ACH-000190,-1.4464719007990152
ACH-000198,-1.2438459399851989
ACH-000203,-1.1229854162089443
ACH-000204,-1.3016311693369291
ACH-000206,-1.5938167114734427
ACH-000207,-1.0134281664268954
ACH-000208,-1.5760965319650022
ACH-000210,-1.6004595027853243
ACH-000211,-1.1010427292971163
ACH-000215,-1.3189202009543404
ACH-000221,-1.092964949747856
ACH-000222,-1.1802404464521628
ACH-000223,-1.0320549342406458
ACH-000226,-1.2345385191714735
ACH-000227,-1.1380430758034283
ACH-000228,-0.8569780804491788
ACH-000231,-1.2424833386802299
ACH-000232,-1.3116620018477232
ACH-000233,-1.0004351427275913
ACH-000234,-1.2690305424229589
ACH-000235,-1.121516451750043
ACH-000237,-1.1324508801354498
ACH-000238,-0.9428667262716776
ACH-000242,-0.8444294984099796
ACH-000243,-1.219623974339126
ACH-000244,-1.3905811238473742
ACH-000246,-0.784907875834208
