,CACNB3 (784)
ACH-000004,-0.2972679712558093
ACH-000005,-0.15785889448679416
ACH-000007,-0.37088424538881737
ACH-000009,-0.5064663041419076
ACH-000011,-0.6051528670107306
ACH-000012,-0.439441364792139
ACH-000013,-0.3963053027805717
ACH-000014,-0.4760974150808554
ACH-000015,-0.6377265601538414
ACH-000017,-0.5336915218301777
ACH-000018,-0.5722058748564283
ACH-000019,-0.5280319252262006
ACH-000021,-0.5790747644008958
ACH-000022,-0.3301717708199525
ACH-000025,-0.7741041221164406
ACH-000028,-0.4633559950056175
ACH-000030,-0.4756374115852649
ACH-000035,-0.4571971211946597
ACH-000036,-0.5357185857449402
ACH-000037,-0.6047496627609866
ACH-000039,-0.21279336880813507
ACH-000040,-0.3833332971423179
ACH-000041,-0.5498237515239572
ACH-000042,-0.3397928300627885
ACH-000045,-0.5518665971533018
ACH-000047,-0.3824541776571605
ACH-000052,-0.6465645909691105
ACH-000053,-0.41059401410261936
ACH-000054,-0.4560140603482152
ACH-000055,-0.21047778754265226
ACH-000060,-0.2295369981472607
ACH-000067,-0.6043129137686862
ACH-000070,-0.4078847267275144
ACH-000075,-0.3221871986596659
ACH-000078,-0.6103368052093875
ACH-000082,-0.4548677764520978
ACH-000085,-0.34201936049985443
ACH-000086,-0.6610269473922432
ACH-000087,-0.5616596377394235
ACH-000092,-0.4254260789082169
ACH-000095,-0.6075796227348289
ACH-000097,-0.4278326711152167
ACH-000098,-0.22915418074756325
ACH-000099,-0.3747784266681308
ACH-000108,-0.5205814592798429
ACH-000113,-0.5962351747962221
ACH-000116,-0.3987548039096677
ACH-000118,-0.3407052068728292
ACH-000120,-0.325458567665441
ACH-000123,-0.5119245148677762
ACH-000127,-0.34750083674679755
ACH-000128,-0.4830532244218255
ACH-000132,-0.3574919328995912
ACH-000133,-0.5919314253199933
ACH-000137,-0.4453501460047575
ACH-000138,-0.4321909784568121
ACH-000142,-0.5373282335880782
ACH-000143,-0.3522192334402019
ACH-000146,-0.3883906958511129
ACH-000148,-0.4981724774990542
ACH-000150,-0.6013206783555467
ACH-000152,-0.643578301695334
ACH-000153,-0.4145487372015504
ACH-000159,-0.5274565712484108
ACH-000160,-0.4728510064154895
ACH-000163,-0.44816167216356734
ACH-000167,-0.32863814826607396
ACH-000168,-0.7492173889789315
ACH-000169,-0.5236506194286502
ACH-000178,-0.5041467226415263
ACH-000183,-0.4870354895956817
ACH-000188,-0.5223833746145286
ACH-000189,-0.39564622731789184
ACH-000190,-0.3172805589139125
ACH-000198,-0.6386119785050839
ACH-000203,-0.6022313729901168
ACH-000204,-0.17049906736859874
ACH-000206,-0.5247191311414661
ACH-000207,-0.5214630292876304
ACH-000208,-0.7284447060169732
ACH-000210,-0.3301554838013669
ACH-000211,-0.4343968452485616
ACH-000215,-0.4404100807368054
ACH-000221,-0.422285257246006
ACH-000222,-0.5660496383178384
ACH-000223,-0.4633928544190396
ACH-000226,-0.41741876223827706
ACH-000227,-0.7102601728175642
ACH-000228,-0.5443272593944679
ACH-000231,-0.503507888409341
ACH-000232,-0.3490974026698601
ACH-000233,-0.31645716386300765
ACH-000234,-0.3554100541130349
ACH-000235,-0.4082010605724976
ACH-000237,-0.484319758311227
ACH-000238,-0.5683683614940235
ACH-000242,-0.2248236638082076
ACH-000243,-0.3867672199326877
ACH-000244,-0.6977599232993826
ACH-000246,-0.3593778928319266
ACH-000248,-0.5045513262402979
