,RCSD1 (92241)
ACH-000004,-0.1727288272901185
ACH-000005,0.061024429963649374
ACH-000007,-0.26521808285371035
ACH-000009,-0.2746607000059135
ACH-000011,-0.10156361671975828
ACH-000012,-0.10437550905514836
ACH-000013,-0.16611427266755052
ACH-000014,-0.1861633310353969
ACH-000015,-0.16602161578649127
ACH-000017,-0.010236384925117884
ACH-000018,-0.10096022641596676
ACH-000019,-0.001026940560906306
ACH-000021,-0.0876892945826835
ACH-000022,-0.00395417797356339
ACH-000025,-0.12300555690733955
ACH-000028,0.08207586055005006
ACH-000030,-0.05024788307406962
ACH-000035,-0.07330361455050376
ACH-000036,0.084101184994155
ACH-000037,-0.028173728036908617
ACH-000039,-0.423680489204043
ACH-000040,-0.17121806845407134
ACH-000041,-0.17303368566679125
ACH-000042,0.026875326359902186
ACH-000045,-0.13667294621496826
ACH-000047,-0.13598817718228445
ACH-000052,-0.07385775590118505
ACH-000053,-0.2273202135602892
ACH-000054,-0.07258649225385137
ACH-000055,-0.022943588254068416
ACH-000060,0.11932152299092955
ACH-000067,0.008330691071395167
ACH-000070,0.0003565592203863541
ACH-000075,-0.11879851181096868
ACH-000078,-0.043970733780578725
ACH-000082,-0.09873384969824947
ACH-000085,-0.3377503592128142
ACH-000086,-0.3416081088358602
ACH-000087,-0.09013024963655164
ACH-000092,-0.12051398130345847
ACH-000095,-0.15665583781383752
ACH-000097,-0.19926994350363006
ACH-000098,-0.16324985489616156
ACH-000099,-0.18898882092841185
ACH-000108,-0.08431438955216909
ACH-000113,-0.1734785953300067
ACH-000116,-0.14812509617449676
ACH-000118,-0.011795391092228146
ACH-000120,-0.278635786819545
ACH-000123,-0.13254473439640724
ACH-000127,-0.09623835200841016
ACH-000128,-0.1051780393041413
ACH-000132,-0.13870983864155492
ACH-000133,-0.17939632663498592
ACH-000137,0.06968231603003894
ACH-000138,-0.07633445818297302
ACH-000142,-0.2189497114225756
ACH-000143,-0.0032268788981403354
ACH-000146,-0.06950438059303196
ACH-000148,-0.25411866911084224
ACH-000150,-0.05599158984273172
ACH-000152,-0.06767878823798132
ACH-000153,-0.0943702405846638
ACH-000159,-0.21505009885508747
ACH-000160,-0.01745376852989744
ACH-000163,-0.3229649884437313
ACH-000167,-0.1950767588505835
ACH-000168,-0.04250353921458912
ACH-000169,-0.020640472972506502
ACH-000178,-0.06971997663710336
ACH-000183,-0.09523853395136657
ACH-000188,-0.20639993849775432
ACH-000189,-0.24752744329060825
ACH-000190,-0.14902980209526207
ACH-000198,-0.05792853557321526
ACH-000203,-0.3455647982671107
ACH-000204,-0.4099002182177613
ACH-000206,0.1016618094444248
ACH-000207,0.16843670726074536
ACH-000208,0.4193647398078554
ACH-000210,-0.3761372929690977
ACH-000211,-0.2299721384417181
ACH-000215,-0.16672779863335044
ACH-000221,-0.19194440292969064
ACH-000222,0.0935915805052076
ACH-000223,-0.14579704258976134
ACH-000226,-0.1949045541479394
ACH-000227,-0.04555606524422499
ACH-000228,0.04090037312647367
ACH-000231,-0.05735810012829574
ACH-000232,0.024596790379366826
ACH-000233,-0.1418506149381859
ACH-000234,-0.04463474235139702
ACH-000235,-0.08421055132443926
ACH-000237,-0.03188712680066408
ACH-000238,-0.12252465684230325
ACH-000242,-0.06110760650335124
ACH-000243,-0.07623950951591438
ACH-000244,-0.2870232679684909
ACH-000246,-0.09775440815994596
ACH-000248,-0.1652482576980196
ACH-000250,-0.12655562658852815
ACH-000251,-0.2396906700506199
ACH-000252,-0.15357756038875356
ACH-000253,-0.1374638618378221
ACH-000255,0.04195315503084676
ACH-000256,-0.08912642659404398
ACH-000257,-0.27355726713709666
ACH-000258,0.27134718700119875
ACH-000259,-0.11629469774083193
ACH-000260,-0.09516332331164408
ACH-000261,-0.021109828707571943
ACH-000262,-0.029033547036196407
ACH-000263,-0.6183218747382816
ACH-000264,-0.15779344671674614
ACH-000265,-0.029135722238288038
ACH-000266,-0.052381962222815937
ACH-000272,-0.04261116091148568
ACH-000274,0.008721451199529013
ACH-000277,-0.03978322279612368
ACH-000278,0.05472190683890769
ACH-000279,-0.035260149845721386
ACH-000280,-0.14567619093439638
ACH-000281,-0.2358666088553557
