,MAPRE1 (22919)
ACH-000004,-0.3843036346337753
ACH-000005,-0.20564861789209465
ACH-000007,-0.33321686062214706
ACH-000009,-0.4084927300870079
ACH-000011,-0.4050209398321602
ACH-000012,-0.2313618220243536
ACH-000013,-0.060901812335737264
ACH-000014,-0.20333306741930365
ACH-000015,-0.17755551597084582
ACH-000017,-0.225520897872264
ACH-000018,-0.4204737956881219
ACH-000019,-0.22892537918626066
ACH-000021,-0.17678410420099586
ACH-000022,-0.3053378636988142
ACH-000025,-0.4847930082666495
ACH-000028,-0.3891969967645248
ACH-000030,-0.3584975467135369
ACH-000035,-0.2668244073387993
ACH-000036,-0.2637384194515269
ACH-000037,-0.1327850540766704
ACH-000039,-0.4292681692892925
ACH-000040,-0.4211003150563239
ACH-000041,-0.3461257676762516
ACH-000042,-0.2954943930548209
ACH-000045,-0.22328060554476944
ACH-000047,-0.6570210587863154
ACH-000052,-0.2434924031198635
ACH-000053,-0.21515485678639992
ACH-000054,-0.4264522324010079
ACH-000055,-0.7338243414610308
ACH-000060,-0.2699207070162545
ACH-000067,-0.2978789237437106
ACH-000070,-0.2922417429535651
ACH-000075,-0.5371895692294738
ACH-000078,-0.2757275217107955
ACH-000082,-0.22246890752790394
ACH-000085,-0.2895627884759707
ACH-000086,-0.3996059013402665
ACH-000087,-0.23161475627146674
ACH-000092,-0.5344246958653059
ACH-000095,-0.42768325143171854
ACH-000097,-0.4642295924072491
ACH-000098,-0.12899823770946886
ACH-000099,-0.21215814295941546
ACH-000108,-0.3596804652729121
ACH-000113,-0.29954516394047986
ACH-000116,-0.320679176548372
ACH-000118,-0.33500563356904817
ACH-000120,-0.4044626251320607
ACH-000123,-0.31242709255172924
ACH-000127,-0.1804299426013648
ACH-000128,-0.27935501107771504
ACH-000132,-0.5073420775755793
ACH-000133,-0.4760591633220592
ACH-000137,-0.20290797746342065
ACH-000138,-0.2718038746083904
ACH-000142,-0.1286557926185638
ACH-000143,-0.333817395591128
ACH-000146,-0.3990166665859449
ACH-000148,-0.23481605317268955
ACH-000150,-0.3166996292172929
ACH-000152,-0.31318086072197576
ACH-000153,-0.5567089334046866
ACH-000159,-0.3053331095174837
ACH-000160,-0.25803183357998105
ACH-000163,-0.36717298661980097
ACH-000167,-0.17024042866055575
ACH-000168,-0.18180608099811485
ACH-000169,-0.1557965600949971
ACH-000178,-0.3174611379836321
ACH-000183,-0.22550357621460101
ACH-000188,-0.1496038009408187
ACH-000189,-0.534289988482425
ACH-000190,-0.5248866371166331
ACH-000198,-0.4820735183428357
ACH-000203,-0.6268986407293695
ACH-000204,-0.2843516688901989
ACH-000206,-0.1471791642347739
ACH-000207,-0.3152473651416122
ACH-000208,-0.3107390863712132
ACH-000210,-0.009098190312301949
ACH-000211,-0.6168295227222306
ACH-000215,-0.3755913997690906
ACH-000221,-0.08336623249516513
ACH-000222,-0.23750479543798414
ACH-000223,-0.351909710018813
ACH-000226,-0.4106247984377209
ACH-000227,-0.4933494398014168
ACH-000228,-0.26113634228175314
ACH-000231,-0.3556833662276407
ACH-000232,-0.28382343393416554
ACH-000233,-0.30005429612257845
ACH-000234,-0.3599350516621536
ACH-000235,-0.15187399534533313
ACH-000237,-0.2648920530410616
ACH-000238,-0.23767639938050636
ACH-000242,-0.08095285656422528
ACH-000243,-0.35813912678207777
ACH-000244,-0.627530487673384
ACH-000246,-0.2738872830835536
ACH-000248,-0.32367764375682906
ACH-000250,-0.23493804113252725
ACH-000251,-0.060527662301265224
ACH-000252,-0.3157656254661593
ACH-000253,-0.16223641111075635
ACH-000255,-0.4570138556343026
ACH-000256,-0.4730501251798361
ACH-000257,-0.4792116988390389
ACH-000258,-0.18013123358755356
ACH-000259,-0.215219986655758
ACH-000260,-0.1009797553016334
ACH-000261,-0.31465203468875746
ACH-000262,-0.18386888589691533
ACH-000263,-0.22418375369608465
ACH-000264,-0.40382078594626375
ACH-000265,-0.25580917255107805
ACH-000266,-0.3412279861551745
ACH-000272,-0.29003760045810123
ACH-000274,-0.26498556947865776
ACH-000277,-0.33346133890984003
ACH-000278,-0.4055158740397215
ACH-000279,-0.5563373938936212
ACH-000280,-0.16557401022788149
ACH-000281,-0.32394472473618435
ACH-000288,-0.123574708811265
ACH-000291,-0.4391362769508271
ACH-000293,-0.17631291723161224
ACH-000294,-0.4466324293605305
ACH-000295,-0.3186748752994284
ACH-000296,-0.28284367536426275
ACH-000302,-0.3214673767355648
ACH-000304,-0.29414940688770186
ACH-000307,-0.2561576102746276
ACH-000308,-0.33390143896950425
ACH-000310,-0.2693041112566203
ACH-000311,-0.04050950871935767
ACH-000312,-0.2088310557444004
ACH-000315,-0.28809536020390153
ACH-000316,-0.08096912776135391
ACH-000317,-0.3463728917157106
ACH-000318,-0.2684251236804777
ACH-000319,-0.1011854998577034
ACH-000320,0.00776825222481237
ACH-000322,-0.28262963910738925
ACH-000323,-0.1698265317955517
ACH-000324,-0.3694318994512505
ACH-000329,-0.3821995798235071
ACH-000330,-0.36264276139107743
ACH-000331,-0.2943061271230857
ACH-000332,-0.2560844330109916
ACH-000334,-0.29286277092535673
ACH-000335,-0.3662864563993882
ACH-000336,-0.299508226374689
ACH-000337,-0.469277736241197
ACH-000338,0.03915137090177382
ACH-000339,-0.1826375260130317
ACH-000341,-0.23468850589810036
ACH-000348,-0.4878127566637465
ACH-000350,-0.444906186758174
ACH-000352,-0.22496778345571228
ACH-000356,-0.2078556513326683
ACH-000361,-0.5388404954488507
ACH-000362,-0.20424748613213184
ACH-000363,-0.2610481865964881
ACH-000364,-0.2894400473117897
ACH-000365,-0.2375979865007651
ACH-000366,-0.2643069857622273
ACH-000368,-0.22340486896155454
ACH-000374,-0.37439124600659496
ACH-000375,-0.2540896045070544
ACH-000376,-0.22935897997748003
ACH-000381,-0.39072175847037344
ACH-000383,-0.1614056510883106
ACH-000387,-0.4783420700188857
ACH-000389,-0.26127138693517515
ACH-000390,-0.2300597233047781
ACH-000393,-0.26155542584674163
ACH-000395,-0.1838247568336752
ACH-000396,-0.8498960662901281
