,CNEP1R1 (255919)
ACH-000004,-0.2532192302150315
ACH-000005,-0.15302658332193805
ACH-000007,-0.04568591276687061
ACH-000009,-0.2886442099293469
ACH-000011,-0.12314159291729285
ACH-000012,-0.24113159156913855
ACH-000013,-0.26993051736277524
ACH-000014,-0.4752118143802099
ACH-000015,-0.16285876768257898
ACH-000017,-0.42718978636592253
ACH-000018,-0.37149229439039017
ACH-000019,-0.2523108209125737
ACH-000021,-0.4395770191555549
ACH-000022,-0.06622178477025446
ACH-000025,0.15299280725377
ACH-000028,-0.1222032263402742
ACH-000030,-0.3236768607560048
ACH-000035,-0.32551378644470025
ACH-000036,-0.4869600599865175
ACH-000037,-0.26727391891610186
ACH-000039,-0.4692878725335506
ACH-000040,-0.059438511505447975
ACH-000041,-0.33955897665774265
ACH-000042,-0.1789434567720445
ACH-000045,-0.5126337050409031
ACH-000047,-0.15060760630426384
ACH-000052,-0.29276027150290235
ACH-000053,-0.1363061033107258
ACH-000054,-0.2730560571429084
ACH-000055,-0.09854064402110946
ACH-000060,-0.15311252124871788
ACH-000067,-0.8682944962064159
ACH-000070,-0.17326708478855915
ACH-000075,-0.3221981189735166
ACH-000078,0.02333611100814717
ACH-000082,-0.27435494683905964
ACH-000085,-0.16730572592637866
ACH-000086,-0.2208549627221587
ACH-000087,-0.41547396694059796
ACH-000092,-0.2017877156865174
ACH-000095,-0.01899350222290411
ACH-000097,-0.2473478274518353
ACH-000098,-0.4329059577624408
ACH-000099,-0.033059020585532485
ACH-000108,-0.21176688078584693
ACH-000113,-0.1760288625148453
ACH-000116,-0.18905192452632347
ACH-000118,-0.2948621519752192
ACH-000120,-0.3385498009192521
ACH-000123,-0.31751940615655994
ACH-000127,-0.11262404767863055
ACH-000128,-0.4488267507008377
ACH-000132,-0.16674605611017784
ACH-000133,-0.3369360616075329
ACH-000137,-0.17837153291630042
ACH-000138,-0.12938958562932135
ACH-000142,-0.5526519375847032
ACH-000143,-0.324660444739789
ACH-000146,-0.6225017383863586
ACH-000148,-0.3239914692341775
ACH-000150,-0.3566475697850998
ACH-000152,-0.5225631240191932
ACH-000153,-0.2075362067574045
ACH-000159,-0.16200053415427215
ACH-000160,-0.08224296014749552
ACH-000163,-0.40690266081911
ACH-000167,-0.43202727309183503
ACH-000168,-0.3214596802205701
ACH-000169,-0.3295725655597765
ACH-000178,-0.36336093982279416
ACH-000183,-0.4527809177924426
ACH-000188,-0.2987632381217201
ACH-000189,-0.1488641473663816
ACH-000190,-0.16751419898321146
ACH-000198,-0.2058584664072157
ACH-000203,-0.36137743076075496
ACH-000204,-0.32216740226263946
ACH-000206,-0.3828358702116183
ACH-000207,0.03161913362121328
ACH-000208,-0.2872853867327617
ACH-000210,-0.2671404147611938
ACH-000211,-0.06294330353507051
ACH-000215,-0.3441180706120193
ACH-000221,-0.011081021981977544
ACH-000222,-0.06190658944415092
ACH-000223,-0.14763135525167986
ACH-000226,-0.15828330781121205
ACH-000227,-0.2571319748873043
ACH-000228,-0.3714084575919301
ACH-000231,-0.28099964105526976
ACH-000232,0.0007503034746917728
ACH-000233,-0.02370554578622465
ACH-000234,-0.005715535866424008
ACH-000235,-0.3044166168103073
ACH-000237,-0.5925582096838148
ACH-000238,-0.1743520144961221
ACH-000242,-0.06659118027050623
ACH-000243,-0.2026008046119289
ACH-000244,-0.5057412811281873
ACH-000246,-0.032866751790677114
ACH-000248,-0.4677448443600368
ACH-000250,-0.0175821458373142
ACH-000251,-0.18540269725375652
ACH-000252,-0.13557368850697096
ACH-000253,0.1383017715720997
ACH-000255,-0.06411588739727803
ACH-000256,-0.2380617236657081
ACH-000257,-0.12837178747409989
ACH-000258,-0.3516685093128495
ACH-000259,-0.012744628700946094
ACH-000260,-0.09566543630004133
ACH-000261,-0.28443486384218764
ACH-000262,-0.22602508814341665
ACH-000263,-0.02776972257800953
ACH-000264,-0.08609808202421737
ACH-000265,-0.20211165603122705
ACH-000266,-0.20753420348283835
ACH-000272,-0.08714386143887193
ACH-000274,-0.052181209248932166
ACH-000277,-0.3196266187690833
ACH-000278,-0.2612151255440659
ACH-000279,-0.1615219588139949
ACH-000280,-0.2648383633742337
ACH-000281,-0.5536256281453817
ACH-000288,-0.2927368127306214
ACH-000291,-0.2255448192206617
ACH-000293,-0.43722097091650464
ACH-000294,-0.4854091872139875
ACH-000295,-0.10608668201705984
ACH-000296,-0.1865798717055921
ACH-000302,-0.036039204709334624
ACH-000304,-0.0014358667782996598
ACH-000307,-0.1390921564614468
ACH-000308,-0.12118614918597767
ACH-000310,-0.2614664559605405
ACH-000311,-0.23974809994102386
ACH-000312,-0.013093899690336487
ACH-000315,-0.37824168103419936
ACH-000316,-0.4974886610826658
ACH-000317,-0.19989340833614985
ACH-000318,-0.25689894434273497
ACH-000319,-0.7264989621264042
ACH-000320,-0.15695751385001727
ACH-000322,-0.24952224325639985
ACH-000323,-0.6895444616019973
ACH-000324,-0.15680638132324634
ACH-000329,-0.3078980769127289
ACH-000330,-0.09288506361753256
ACH-000331,-0.08522633481520814
ACH-000332,-0.06824978698263992
ACH-000334,-0.0484677856557486
ACH-000335,-0.4124695648588891
ACH-000336,-0.19874992876896413
ACH-000337,-0.20979057345593
ACH-000338,0.08629088627778485
ACH-000339,-0.5911372205477613
ACH-000341,-0.12211743473494426
ACH-000348,-0.2336924811527297
ACH-000350,-0.0984098963736052
ACH-000352,-0.11474590540172085
ACH-000356,-0.19936994081575565
ACH-000361,-0.2806314537709991
ACH-000362,-0.5439582081133733
ACH-000363,-0.015502547565722613
ACH-000364,-0.2027099102890392
ACH-000365,-0.11559220856979414
ACH-000366,0.008267675941782585
ACH-000368,-0.5122915333791297
ACH-000374,-0.2606628786322113
ACH-000375,-0.19424056712262208
ACH-000376,-0.3139189080152908
ACH-000381,0.03480940891337495
ACH-000383,-0.21424410376857905
ACH-000387,-0.5504874683279685
ACH-000389,-0.2668548268534369
ACH-000390,-0.12531251839551022
ACH-000393,-0.19816720579134905
ACH-000395,-0.10036914973101932
ACH-000396,-0.3580669442245483
ACH-000397,-0.4382199739451168
ACH-000401,-0.2616395862374029
ACH-000402,-0.457708475199793
ACH-000403,-0.09808302171424912
ACH-000404,-0.3751053695280971
ACH-000406,-0.1485355371985525
ACH-000407,-0.1989734347549177
ACH-000408,-0.2881645357334693
ACH-000410,-0.4460356135810797
ACH-000411,-0.056214400037292514
ACH-000414,-0.015235406016997419
ACH-000415,-0.2605629757457778
ACH-000416,-0.4268893304367661
ACH-000420,-0.4110334982344935
ACH-000421,-0.4830469263316814
ACH-000424,-0.4460341368604718
ACH-000425,-0.31233677361744205
ACH-000426,-0.334155115959667
ACH-000427,-0.20504594900501905
ACH-000433,-0.32144766131885794
ACH-000435,-0.2232950853718024
ACH-000436,0.013001543832582332
ACH-000444,-0.023582861285177798
ACH-000445,-0.4863197168125069
ACH-000448,-0.2590962668031417
ACH-000450,-0.2769891275216229
ACH-000452,-0.16887149890350467
ACH-000454,-0.3789871104547548
ACH-000458,-0.14570146708027265
ACH-000459,-0.0701148499428293
ACH-000460,-0.5049647042578612
ACH-000461,-0.13622471228165944
ACH-000463,-0.14257893921677192
ACH-000464,-0.4572348247101172
ACH-000466,-0.051450000486299885
ACH-000467,-0.2468218821864009
ACH-000468,-0.28725196871116565
ACH-000469,-0.5217258913355378
ACH-000470,0.07616902377463658
ACH-000471,-0.3954175453459863
ACH-000472,-0.10031260869652438
ACH-000473,-0.3427016241637344
ACH-000475,-0.25941530759242737
ACH-000476,-0.5227813187434664
ACH-000477,-0.007673579988388255
ACH-000479,-0.16940337812684905
ACH-000480,-0.3616304595725328
ACH-000481,-0.2696071854018735
ACH-000483,-0.5215152723798627
ACH-000484,-0.2164131522472724
ACH-000485,-0.2867842425058106
ACH-000486,-0.1865302954032858
ACH-000487,-0.14609388728845096
ACH-000488,-0.10915808601481404
ACH-000490,-0.2582039229464499
ACH-000491,0.01392171160414362
ACH-000495,0.12199524585369187
ACH-000496,-0.3948441286058944
ACH-000499,-0.255797321866416
ACH-000500,-0.012750072643245043
ACH-000502,-0.04586727273024056
ACH-000503,-0.7000560723862739
ACH-000505,-0.041511506078911665
ACH-000507,-0.4149828298267447
ACH-000510,0.004831277509801799
ACH-000511,-0.3728276899681727
ACH-000512,-0.0850410170592086
ACH-000516,-0.224272712368606
ACH-000517,-0.027797316479507613
ACH-000518,0.01598602172350505
ACH-000520,-0.3735602466660799
ACH-000521,-0.2271017920231451
ACH-000522,-0.13840742486217394
ACH-000524,-0.3735805988978079
ACH-000527,-0.07541215519318009
ACH-000528,-0.20063133804870684
ACH-000537,-0.7462256422649544
ACH-000541,-0.4136883951319589
ACH-000542,-0.08063068440474293
ACH-000544,-0.4967590162106838
ACH-000545,-0.12885342013483236
ACH-000547,-0.2282061736089908
ACH-000548,-0.25089984891529543
ACH-000549,-0.33066969135519736
ACH-000550,-0.2491328111238371
ACH-000552,0.020631808424966716
ACH-000556,-0.2933160828589588
ACH-000557,-0.0010217803454981957
ACH-000569,-0.13911922259002535
ACH-000570,-0.3596563437867535
ACH-000571,-0.2192418265405056
ACH-000573,-0.13445095882880373
ACH-000576,-0.41871431594671776
ACH-000579,-0.2597234511534739
