,PXN (5829)
ACH-000004,-0.24992683030631402
ACH-000005,-0.1872433711959161
ACH-000007,-0.4331973361188789
ACH-000009,-0.4939538486762761
ACH-000011,-0.7744233661322808
ACH-000012,-0.4691017324537224
ACH-000013,-0.3215919814628343
ACH-000014,-0.3447655236530169
ACH-000015,-0.3549333459873861
ACH-000017,-0.4399266481161008
ACH-000018,-0.6399919103932826
ACH-000019,-0.2674740615433266
ACH-000021,-0.44582279626430255
ACH-000022,-0.1942828510886426
ACH-000025,-0.4904636810367979
ACH-000028,-0.2572334878262917
ACH-000030,-0.4799134697105775
ACH-000035,-0.3754866927293498
ACH-000036,-0.4342608183407445
ACH-000037,-0.3805118775022721
ACH-000039,-0.4845376371138402
ACH-000040,-0.4482558661360175
ACH-000041,-0.1813778642720276
ACH-000042,-0.3244167654195669
ACH-000045,-0.4532801128906875
ACH-000047,-0.4867708968696258
ACH-000052,-0.19690974663756894
ACH-000053,-0.114370863648608
ACH-000054,-0.4676978660278415
ACH-000055,-0.17520282177445048
ACH-000060,-0.7635317275521616
ACH-000067,-0.4539075826230655
ACH-000070,-0.4239134399568304
ACH-000075,-0.3670165023820803
ACH-000078,-0.19632995112721466
ACH-000082,-0.5171708788105461
ACH-000085,-0.2793654850809204
ACH-000086,-0.3450183320037042
ACH-000087,-0.14559432884681064
ACH-000092,-0.3462757742458791
ACH-000095,-0.12937643708899618
ACH-000097,-0.5520194058853631
ACH-000098,-0.35789513765849784
ACH-000099,-0.2595030287076124
ACH-000108,-0.5364064691571883
ACH-000113,-0.1908298815144466
ACH-000116,-0.4538100860798958
ACH-000118,-0.8114136398812944
ACH-000120,-0.366150739889802
ACH-000123,-0.3703935191081752
ACH-000127,-0.4050276836478769
ACH-000128,-0.3842666187302721
ACH-000132,-0.4371007602263158
ACH-000133,-0.3897446263040729
ACH-000137,-0.5485172140485506
ACH-000138,-0.5229036079867513
ACH-000142,-0.5402570573349911
ACH-000143,-0.35135662917529514
ACH-000146,-0.1563495334904811
ACH-000148,-0.3928871303428548
ACH-000150,-0.6997439119442491
ACH-000152,-0.5494335881835187
ACH-000153,-0.4079323954002956
ACH-000159,-0.17142305749117132
ACH-000160,-0.09024092137534068
ACH-000163,-0.10874318547367944
ACH-000167,-0.7402048364153537
ACH-000168,-0.2792126494447885
ACH-000169,-0.3861083422123277
ACH-000178,-0.6090480457135339
ACH-000183,-0.35498638630852497
ACH-000188,-0.17001295672258818
ACH-000189,-0.28160261952947097
ACH-000190,0.006379399128996497
ACH-000198,-0.061190028732692026
ACH-000203,0.15580336252252994
ACH-000204,-0.07920641758012764
ACH-000206,-0.10141013950207066
ACH-000207,-0.15138288670615566
ACH-000208,-0.23941635327049396
ACH-000210,-0.4206320135936912
ACH-000211,-0.3134330211905492
ACH-000215,-0.3263330632994996
ACH-000221,-0.2792069679724374
ACH-000222,-0.3116306689980705
ACH-000223,-0.4462210557294086
ACH-000226,-0.1252991494514057
ACH-000227,-0.2641987603205409
ACH-000228,-0.3319357911497369
ACH-000231,-0.19252959891354132
ACH-000232,-0.5912954735166269
ACH-000233,-0.02719071233489116
ACH-000234,-0.3938483706353577
ACH-000235,-0.4279313038022513
ACH-000237,-0.5453697428043054
ACH-000238,-0.4658294541192637
ACH-000242,-0.3805487474091702
ACH-000243,-0.14146783047062214
ACH-000244,-0.5976339650053816
ACH-000246,-0.6904352326584322
ACH-000248,-0.6260277061972456
ACH-000250,-0.4387330885693925
ACH-000251,-0.40387198349275466
ACH-000252,-0.5407161366555571
ACH-000253,-0.1692484804695248
ACH-000255,-0.21974133067447651
ACH-000256,-0.3115092508659513
ACH-000257,-0.4729360342023909
ACH-000258,-0.18099089810763352
ACH-000259,-0.3576923314865262
ACH-000260,-0.4995058018710536
ACH-000261,-0.4161145005635332
ACH-000262,-0.3744163262662812
ACH-000263,-0.3385920210629804
ACH-000264,-0.2252289910197205
ACH-000265,-0.4842292337512645
ACH-000266,-0.4270888094852291
ACH-000272,-0.2610139772120296
ACH-000274,-0.4386577911549335
ACH-000277,-0.2521046715643579
ACH-000278,-0.6159773097520701
ACH-000279,-0.2367128792050819
ACH-000280,-0.3865455365612926
ACH-000281,-0.7655877421157137
ACH-000288,-0.498073864793346
ACH-000291,-0.4566278914491165
ACH-000293,-0.4495951945952359
ACH-000294,-0.27480931582281765
ACH-000295,-0.37657016936827264
ACH-000296,-0.5656696801894909
ACH-000302,-0.372751137778492
ACH-000304,-0.4595853709669573
ACH-000307,-0.4082733113481489
ACH-000308,-0.29169595803962783
ACH-000310,-0.17695950282825462
ACH-000311,-0.34131403379064895
ACH-000312,-0.28923264067601256
ACH-000315,-0.13988651937456245
ACH-000316,-0.353838726272381
ACH-000317,-0.04048319413379423
ACH-000318,-0.4138833816115745
ACH-000319,-0.2933897390866655
ACH-000320,-0.25860372758349365
