,HN1L (90861)
ACH-000004,-0.0062411832092507035
ACH-000005,-0.060899475857047275
ACH-000007,-0.11007552447990934
ACH-000009,-0.05472509781301649
ACH-000011,-0.16441161680624564
ACH-000012,-0.1984390349235764
ACH-000013,-0.14411884436005634
ACH-000014,-0.030182369668851895
ACH-000015,-0.21744796698836846
ACH-000017,-0.3245244432003914
ACH-000018,-0.0962928459904125
ACH-000019,-0.14320075083228634
ACH-000021,-0.031974871047120525
ACH-000022,-0.1950581105060311
ACH-000025,-0.07682468727509092
ACH-000028,-0.1794425418658908
ACH-000030,-0.0011814725648721886
ACH-000035,-0.08412751236011902
ACH-000036,-0.10550465168340853
ACH-000037,-0.16012279211981878
ACH-000039,-0.030391686900497542
ACH-000040,-0.1243569003748766
ACH-000041,-0.05542451511806844
ACH-000042,-0.1160513998152226
ACH-000045,-0.10654214181317004
ACH-000047,-0.2943395772139137
ACH-000052,-0.16359944559176035
ACH-000053,-0.10933587892126513
ACH-000054,-0.032424082243404866
ACH-000055,-0.2206319920484498
ACH-000060,-0.21963288034682985
ACH-000067,-0.20000785084957248
ACH-000070,-0.19452139100646626
ACH-000075,-0.11770343500804367
ACH-000078,-0.1548476016225117
ACH-000082,-0.15300863931324454
ACH-000085,-0.2907562269399914
ACH-000086,-0.07466795282420957
ACH-000087,0.05280387275116854
ACH-000092,-0.17164904214077925
ACH-000095,-0.14442009326547675
ACH-000097,-0.2064367622312781
ACH-000098,-0.2127952686637964
ACH-000099,-0.19107020788786336
ACH-000108,-0.14860235397408406
ACH-000113,-0.1339583904786227
ACH-000116,-0.17936979396994085
ACH-000118,-0.10747855953931716
ACH-000120,-0.17740955234314207
ACH-000123,-0.1517132618487872
ACH-000127,-0.03400099730319627
ACH-000128,-0.1904113976083249
ACH-000132,-0.012077040732440151
ACH-000133,-0.30380979942483444
ACH-000137,-0.14134778684961102
ACH-000138,-0.057434088034271885
ACH-000142,0.042211089450172976
ACH-000143,-0.2823683232296396
ACH-000146,-0.1514069837477099
ACH-000148,-0.1258527009324069
ACH-000150,0.01200849484672866
ACH-000152,-0.18632127318703434
ACH-000153,-0.013983000388495934
ACH-000159,-0.2981264973788597
ACH-000160,-0.02385934707217704
ACH-000163,-0.2571832745583987
ACH-000167,0.11701694163997055
ACH-000168,-0.09885642761710177
ACH-000169,-0.07657734831753918
ACH-000178,-0.14597605939381642
ACH-000183,-0.02561642669372217
ACH-000188,0.04732491008431477
ACH-000189,-0.2923262272661139
ACH-000190,0.11236077822695337
ACH-000198,-0.13468487386271388
ACH-000203,-0.21506601816046025
ACH-000204,-0.2387664772848627
ACH-000206,-0.17671282808208694
ACH-000207,-0.14852747725564233
ACH-000208,-0.02412341515674048
ACH-000210,-0.20589104739031125
ACH-000211,-0.1323587839762246
ACH-000215,-0.13222467353875045
ACH-000221,-0.12875022741160055
ACH-000222,-0.2178682063252478
ACH-000223,-0.05517140860619082
ACH-000226,-0.16390725896700342
ACH-000227,-0.3227877867243845
ACH-000228,0.12906998039686052
ACH-000231,-0.19776389698359265
ACH-000232,-0.07790922058124722
ACH-000233,-0.12525327970691902
ACH-000234,-0.2056946008861844
ACH-000235,-0.13014255596538066
ACH-000237,-0.08890208300160216
ACH-000238,-0.13119280151529855
ACH-000242,0.1229924810352827
ACH-000243,0.009582327327245859
ACH-000244,-0.13672455934076355
ACH-000246,-0.20565103316980105
ACH-000248,-0.14871296949500054
ACH-000250,-0.15508914457387593
ACH-000251,0.06707935128816225
ACH-000252,-0.2270603442091206
ACH-000253,-0.21031168832626929
ACH-000255,-0.02505652761281218
ACH-000256,-0.3318808875564013
ACH-000257,-0.0019665446113104825
ACH-000258,-0.03145361937143664
ACH-000259,-0.1714224669926763
ACH-000260,-0.1795120742617503
ACH-000261,-0.2197820628215656
ACH-000262,-0.1959132186696372
ACH-000263,-0.10269885366769428
ACH-000264,-0.1634390868712181
ACH-000265,-0.1092240079300762
ACH-000266,-0.12531793991988432
ACH-000272,-0.11240509196456536
ACH-000274,-0.1921451383239942
ACH-000277,-0.1852178775212501
ACH-000278,-0.05889958102085381
ACH-000279,-0.13028748201899013
ACH-000280,-0.2664642584321256
ACH-000281,-0.15292670534950442
ACH-000288,-0.23586588971469855
ACH-000291,-0.1874353552641209
ACH-000293,0.007267187024427569
ACH-000294,0.011081734985659055
ACH-000295,0.0026252957900098533
ACH-000296,-0.00929504373546851
ACH-000302,-0.1159484101444559
ACH-000304,-0.19952946714890504
ACH-000307,-0.1095703466771871
ACH-000308,-0.0992024622968945
ACH-000310,-0.06730834011982932
ACH-000311,-0.12248606619873452
ACH-000312,-0.23413689502228366
ACH-000315,-0.18897506993143715
ACH-000316,0.03242484333622773
ACH-000317,-0.1880615627343173
ACH-000318,-0.12266137252437168
ACH-000319,-0.20766467758902715
ACH-000320,-0.2142271950979264
ACH-000322,-0.33507390511177176
ACH-000323,-0.13791829858803947
ACH-000324,-0.31303437277319546
ACH-000329,-0.1731478640691675
ACH-000330,-0.14425484267080044
ACH-000331,-0.12701447051531334
ACH-000332,-0.1669942262413813
ACH-000334,-0.3767052723188591
ACH-000335,-0.3064070731379826
ACH-000336,0.034689236629334916
ACH-000337,-0.2730551089670938
ACH-000338,-0.17913832010250896
ACH-000339,-0.068034377907706
ACH-000341,-0.08437732995719499
ACH-000348,-0.07070148138229818
ACH-000350,-0.19120438047738428
ACH-000352,-0.2660138326062253
ACH-000356,-0.14259804401256834
ACH-000361,-0.13376467193045666
ACH-000362,-0.21266926728872965
ACH-000363,-0.18532107430250325
ACH-000364,-0.2544214145590914
ACH-000365,0.0012628995732702685
ACH-000366,-0.19456606645319816
ACH-000368,-0.16513975197942393
ACH-000374,0.002176859045796997
ACH-000375,-0.06863287386098127
ACH-000376,-0.04774074311757953
ACH-000381,-0.02431951393901842
ACH-000383,-0.14883717294294208
ACH-000387,-0.14022772415061865
ACH-000389,-0.0921077653954806
ACH-000390,-0.08165700509545011
ACH-000393,-0.15385624213362006
ACH-000395,-0.08023895349214265
ACH-000396,-0.07247309776763998
ACH-000397,-0.06684153032616763
ACH-000401,-0.1990748375970585
ACH-000402,-0.17150943600998886
ACH-000403,-0.13789087793881885
