,LIX1L (128077)
ACH-000004,-0.16802234140654865
ACH-000005,-0.008547730484842524
ACH-000007,-0.11960807365359626
ACH-000009,-0.34192596847174506
ACH-000011,-0.07661402999080348
ACH-000012,-0.2890647780872116
ACH-000013,-0.14850539640477453
ACH-000014,-0.16945855470427276
ACH-000015,-0.16911096588512178
ACH-000017,-0.1421978766351141
ACH-000018,-0.29168991663305965
ACH-000019,-0.2492297784933839
ACH-000021,-0.15843242795112752
ACH-000022,-0.10297318645137438
ACH-000025,-0.15638295142970704
ACH-000028,-0.19543281730609535
ACH-000030,-0.19684834891659048
ACH-000035,-0.1790490271197533
ACH-000036,-0.23799652497181675
ACH-000037,-0.09598651710975052
ACH-000039,-0.12652032729914747
ACH-000040,-0.23794262306195746
ACH-000041,-0.156354924455505
ACH-000042,-0.16002334960948109
ACH-000045,-0.01798886306362172
ACH-000047,-0.09166683774945786
ACH-000052,-0.048263194702177
ACH-000053,-0.3018958212520199
ACH-000054,-0.05805912209068687
ACH-000055,-0.11859933057183325
ACH-000060,-0.14146080116021315
ACH-000067,0.08188757574434054
ACH-000070,-0.13896672286417325
ACH-000075,-0.2816294533068052
ACH-000078,-0.13231053929447578
ACH-000082,-0.2226116813124162
ACH-000085,-0.2988786833115447
ACH-000086,-0.3180347014598631
ACH-000087,-0.19503207592863456
ACH-000092,-0.2116363293367348
ACH-000095,-0.08472283073092618
ACH-000097,-0.1355483139036641
ACH-000098,-0.24490737601899976
ACH-000099,-0.0965228197606682
ACH-000108,0.004363191426563045
ACH-000113,-0.13319808987035892
ACH-000116,-0.13368602572622607
ACH-000118,-0.1363754243195987
ACH-000120,-0.06210361826092368
ACH-000123,-0.1270867697783415
ACH-000127,-0.1758790612655001
ACH-000128,-0.11422282817723575
ACH-000132,-0.10242099173630148
ACH-000133,-0.31748862303937464
ACH-000137,-0.11065613567605312
ACH-000138,-0.06861220218149397
ACH-000142,-0.2952629416916073
ACH-000143,-0.10217697631169402
ACH-000146,-0.2057097418562543
ACH-000148,-0.12060678068651493
ACH-000150,-0.18958839633619876
ACH-000152,-0.2823870608767301
ACH-000153,-0.12208575196113625
ACH-000159,-0.11548722781758294
ACH-000160,-0.11100883949497886
ACH-000163,-0.23338106665095
ACH-000167,-0.34629492866914396
ACH-000168,-0.19861467707844188
ACH-000169,-0.22181247670119006
ACH-000178,-0.06850890349165834
ACH-000183,0.0568315097609345
ACH-000188,-0.19710762732017345
ACH-000189,-0.11548293013884348
ACH-000190,-0.259225126689424
ACH-000198,-0.2192622090566806
ACH-000203,-0.2716510481368234
ACH-000204,-0.4539245340430239
ACH-000206,-0.04231050913590245
ACH-000207,-0.2497508440860046
ACH-000208,-0.07579157523690437
ACH-000210,-0.05208186339066119
ACH-000211,-0.07660374572174232
ACH-000215,-0.2210894160873195
ACH-000221,-0.13738000921216378
ACH-000222,-0.15810525650308602
ACH-000223,-0.35539546237332936
ACH-000226,-0.19666107190646206
ACH-000227,-0.04763723140460623
ACH-000228,-0.0980089700484661
ACH-000231,-0.1693095708304564
ACH-000232,-0.2236686943335207
ACH-000233,-0.12459974029319253
ACH-000234,-0.08596331857850956
ACH-000235,-0.17699728087863126
ACH-000237,-0.10152393567481224
ACH-000238,-0.14311464637471366
ACH-000242,-0.4179422630765221
ACH-000243,-0.1547669884099684
ACH-000244,-0.30541194704667457
ACH-000246,-0.1839706143778779
ACH-000248,-0.2192651330493852
ACH-000250,-0.1418482473760496
ACH-000251,-0.13330134187606654
ACH-000252,-0.05054800019386622
ACH-000253,-0.2833499989452955
ACH-000255,-0.11848454538159195
ACH-000256,-0.17571862483959633
ACH-000257,-0.0013162128230525352
ACH-000258,-0.016819986060864912
ACH-000259,0.04918293642673452
ACH-000260,-0.2019315043787899
ACH-000261,-0.07257303450169639
ACH-000262,-0.1200071989699009
ACH-000263,-0.052880762981086016
ACH-000264,-0.21324737553756976
ACH-000265,-0.02727232501493232
ACH-000266,-0.1919076360837469
ACH-000272,-0.14569158066923954
ACH-000274,-0.10364237236953416
ACH-000277,-0.15281204637441573
ACH-000278,-0.015938050462881874
ACH-000279,-0.07622064745004742
ACH-000280,-0.2769504334126338
ACH-000281,-0.18325844945222794
ACH-000288,-0.22540572950597046
ACH-000291,-0.09642572978006554
ACH-000293,-0.17892352181018908
ACH-000294,-0.0179476934518475
ACH-000295,-0.15260840535554482
ACH-000296,-0.19515132573380084
ACH-000302,-0.18301750197132285
ACH-000304,-0.07895295088968451
ACH-000307,-0.10114801565525317
ACH-000308,-0.08627265492035867
ACH-000310,-0.18668871922033609
ACH-000311,-0.2115036970958273
ACH-000312,-0.13298263792695295
ACH-000315,-0.03740732468699315
ACH-000316,-0.13642315753656398
ACH-000317,-0.05967738265295847
ACH-000318,-0.09119214528112693
ACH-000319,-0.31701001609814394
ACH-000320,-0.11418789642906975
ACH-000322,-0.11323871259167652
ACH-000323,-0.14293604869916549
ACH-000324,-0.20329300939901154
ACH-000329,-0.3803986606547745
ACH-000330,-0.23125552207877534
ACH-000331,-0.16282368307769132
ACH-000332,-0.20743931211991296
ACH-000334,-0.36622979016433904
ACH-000335,-0.28598297734541245
ACH-000336,-0.3332977384564601
ACH-000337,-0.37587983998521696
ACH-000338,-0.3101255265170265
ACH-000339,-0.10900840794003476
ACH-000341,-0.2992199822426881
ACH-000348,-0.1254006858940575
ACH-000350,-0.14384507641534744
ACH-000352,-0.11609717582798
ACH-000356,-0.23675968592307065
ACH-000361,-0.22390238977808552
ACH-000362,-0.1528585990480331
ACH-000363,-0.2542508693315057
ACH-000364,-0.3007548417028387
ACH-000365,-0.11116308351961296
ACH-000366,-0.11996607255285001
ACH-000368,-0.15004186718582194
ACH-000374,-0.27296766412153284
ACH-000375,-0.08060826782618251
ACH-000376,-0.22200982418591445
ACH-000381,-0.259897775740084
ACH-000383,-0.20949249947186604
ACH-000387,-0.1395484036820055
ACH-000389,-0.11084009678298894
ACH-000390,-0.3528374327699272
ACH-000393,-0.05172619838927822
ACH-000395,0.05334716260330829
ACH-000396,-0.09590614236181293
ACH-000397,0.012851931583713934
ACH-000401,-0.2688088363982314
ACH-000402,-0.20774852464117735
ACH-000403,-0.2265936401111981
ACH-000404,-0.15798864321537726
ACH-000406,-0.22016771496237705
ACH-000407,-0.05552401752221272
ACH-000408,-0.18572398518557096
ACH-000410,-0.2715990503233933
ACH-000411,-0.2009251071847072
ACH-000414,-0.1354047582151661
ACH-000415,-0.1007003431433089
ACH-000416,-0.15704826128849114
ACH-000420,-0.00855923712131795
ACH-000421,-0.16265028200871925
ACH-000424,-0.30684537593184313
ACH-000425,-0.22673314140262854
ACH-000426,-0.2565193627730302
ACH-000427,-0.2681736683493876
ACH-000433,-0.3652955670130396
ACH-000435,-0.21805758158181465
ACH-000436,-0.13911777174857184
ACH-000444,-0.08169919506334263
ACH-000445,-0.17629464746313542
ACH-000448,-0.11411610458827702
ACH-000450,-0.09841325972468984
