,DGKE (8526)
ACH-000004,-0.3684700578906029
ACH-000005,-0.22693149894784936
ACH-000007,-0.2638938933821361
ACH-000009,-0.2873340636090834
ACH-000011,-0.21963447867449695
ACH-000012,-0.10503492378488156
ACH-000013,-0.17267907411265068
ACH-000014,-0.3017041731301193
ACH-000015,-0.09300985035237593
ACH-000017,-0.16386406057334868
ACH-000018,-0.4772101042004434
ACH-000019,-0.515783595902575
ACH-000021,-0.19350862849633013
ACH-000022,-0.23128475526804704
ACH-000025,-0.05062705153030693
ACH-000028,-0.3177529308609941
ACH-000030,-0.12140827473630307
ACH-000035,-0.3310152804348733
ACH-000036,-0.25591639026140434
ACH-000037,-0.029504326882389475
ACH-000039,-0.28555124676927884
ACH-000040,-0.3143789521518172
ACH-000041,-0.2031130637496543
ACH-000042,-0.123581277691235
ACH-000045,-0.2054491917967073
ACH-000047,-0.15848960502120035
ACH-000052,-0.027098556426837228
ACH-000053,-0.21868775011787828
ACH-000054,-0.419238045011956
ACH-000055,-0.4871833740965192
ACH-000060,-0.19818096945473115
ACH-000067,-0.3736280650648992
ACH-000070,-0.36762725607298186
ACH-000075,-0.3015826332155569
ACH-000078,-0.4645872233147158
ACH-000082,-0.18284982642790112
ACH-000085,0.056902097544754886
ACH-000086,-0.2383480001961388
ACH-000087,-0.0770573583316834
ACH-000092,-0.2710691120816792
ACH-000095,-0.336788138640498
ACH-000097,-0.1948768425564932
ACH-000098,-0.12010450314703752
ACH-000099,-0.3313597824904831
ACH-000108,-0.03888048084744989
ACH-000113,-0.2904978496969911
ACH-000116,-0.2932404451545997
ACH-000118,-0.08840734536851462
ACH-000120,-0.4109033875763524
ACH-000123,-0.12529646088729868
ACH-000127,-0.18738612161135595
ACH-000128,-0.24762684337896426
ACH-000132,-0.22264424075594152
ACH-000133,-0.08027221998018952
ACH-000137,-0.21859014858304535
ACH-000138,-0.3570248417152975
ACH-000142,-0.14024636892626338
ACH-000143,-0.1565786329646251
ACH-000146,-0.19672105176742627
ACH-000148,-0.2455585174709526
ACH-000150,-0.2918392321072353
ACH-000152,-0.4871840622931032
ACH-000153,-0.2944061577630921
ACH-000159,-0.1447768849826561
ACH-000160,-0.08438502208041551
ACH-000163,-0.1812118357565875
ACH-000167,0.16180004472086035
ACH-000168,-0.13540835445075475
ACH-000169,-0.1839559430363792
ACH-000178,-0.22100688982643468
ACH-000183,-0.2855886199579729
ACH-000188,-0.23917366006524005
ACH-000189,-0.448104640722151
ACH-000190,-0.6084986168471938
ACH-000198,-0.14969944869838958
ACH-000203,-0.3484561993910055
ACH-000204,-0.323214423239245
ACH-000206,-0.2661540043906362
ACH-000207,-0.1759177216901103
ACH-000208,-0.12951569526733572
ACH-000210,0.06192544464961493
ACH-000211,-0.15515179689312605
ACH-000215,-0.3570416335137574
ACH-000221,-0.025124949037207408
ACH-000222,-0.256533617557823
ACH-000223,-0.2740017703827838
ACH-000226,-0.36999073770884333
ACH-000227,-0.1935274460249124
ACH-000228,-0.2949855995090037
ACH-000231,-0.3346367435534431
ACH-000232,-0.23285571217611065
ACH-000233,-0.27412257913943083
ACH-000234,-0.2162219070467897
ACH-000235,-0.20899447794370526
ACH-000237,-0.19739445427689065
ACH-000238,-0.4586568848916976
ACH-000242,-0.33446544974889697
ACH-000243,-0.25911778807028546
ACH-000244,-0.3651097793396192
ACH-000246,-0.2567578376305085
ACH-000248,-0.4125717035828141
ACH-000250,-0.3677144253495797
ACH-000251,-0.3319309497373449
ACH-000252,-0.2506761592053013
ACH-000253,-0.1841267944698252
ACH-000255,-0.17534301827141058
ACH-000256,-0.4424374713563725
ACH-000257,-0.08100787002455176
ACH-000258,-0.4027062330717253
ACH-000259,-0.3096307936622532
ACH-000260,-0.18139183358245928
ACH-000261,-0.2006493783779236
ACH-000262,-0.3936435455033637
ACH-000263,-0.2365978687952416
ACH-000264,-0.24636373373611245
ACH-000265,-0.3507066096034855
ACH-000266,-0.23233392704567635
ACH-000272,-0.14322813684796268
ACH-000274,-0.36001788342416663
ACH-000277,-0.3322091301955992
ACH-000278,-0.22099306229232726
ACH-000279,-0.3340839184920279
ACH-000280,-0.1900713460710847
ACH-000281,-0.24122204185195845
ACH-000288,-0.2200758677082775
ACH-000291,0.010523132027997359
ACH-000293,-0.4425927823749449
ACH-000294,-0.2491886451139565
ACH-000295,-0.1429023810428879
ACH-000296,-0.2638342883033651
ACH-000302,-0.1300246145375852
ACH-000304,-0.41865368924905705
ACH-000307,-0.1716835974413895
ACH-000308,-0.10572948183155123
ACH-000310,-0.4270739904497772
ACH-000311,-0.14941714340676532
ACH-000312,-0.22528343907596676
ACH-000315,-0.31304910238210604
ACH-000316,-0.3818335828726928
ACH-000317,-0.006594907739861518
ACH-000318,-0.20468806189449895
ACH-000319,-0.222626578186149
ACH-000320,-0.31047605979323384
ACH-000322,-0.10730924048594824
ACH-000323,-0.4373620288711131
ACH-000324,-0.27238091974021644
ACH-000329,-0.17122448461371587
ACH-000330,-0.25914843630063805
ACH-000331,-0.2778514914285912
ACH-000332,-0.2129124959239596
ACH-000334,-0.1104794841753194
ACH-000335,-0.3356070091418392
ACH-000336,-0.1988390995154005
ACH-000337,-0.3975653795839019
ACH-000338,-0.5691368352037047
ACH-000339,-0.1972346142292148
ACH-000341,-0.006812926178916771
ACH-000348,-0.2821132001184093
ACH-000350,-0.11634901577404225
ACH-000352,-0.21265815785328687
ACH-000356,-0.06469606931069861
ACH-000361,-0.2809403950951714
ACH-000362,-0.26853179818032497
ACH-000363,-0.2298977515139033
ACH-000364,-0.2493511335057189
ACH-000365,-0.036213470035287625
ACH-000366,-0.1917474343364683
ACH-000368,0.09168976060058684
ACH-000374,-0.22991306762747565
ACH-000375,-0.2418864554535819
ACH-000376,-0.1234455915888527
ACH-000381,-0.10256347484384498
ACH-000383,-0.19354564293385884
ACH-000387,-0.16290844778845165
ACH-000389,-0.4931816815483155
ACH-000390,-0.2407155160383137
ACH-000393,-0.20448037800062085
ACH-000395,-0.3691991825367815
ACH-000396,-0.09572525655878446
ACH-000397,-0.2755152421176836
ACH-000401,-0.005257175721597205
ACH-000402,-0.4369982811377187
ACH-000403,-0.2450202112070101
ACH-000404,0.01632418632267527
ACH-000406,-0.2052885865005472
ACH-000407,-0.4302248303007193
ACH-000408,-0.2729282021280402
ACH-000410,-0.3824079759997017
ACH-000411,-0.2577584314421825
ACH-000414,-0.2845464942239516
ACH-000415,-0.2494156493804133
ACH-000416,-0.32157977359615475
ACH-000420,-0.299994942839152
ACH-000421,-0.1677134019244039
ACH-000424,-0.05010850434099618
ACH-000425,-0.297449634179382
ACH-000426,-0.08819158953638973
ACH-000427,-0.21990917936468166
ACH-000433,-0.32479136367763145
ACH-000435,-0.18981108184719575
ACH-000436,-0.3423413752084953
ACH-000444,-0.3645849537836322
ACH-000445,-0.3658102039106677
ACH-000448,-0.19588560989086615
ACH-000450,-0.2587604202560297
ACH-000452,-0.16188692850776132
ACH-000454,0.10668565632391236
ACH-000458,-0.3619053975261503
ACH-000459,-0.2879712616996793
ACH-000460,-0.2509147938080732
ACH-000461,-0.2361985855520573
ACH-000463,-0.18688657422604746
ACH-000464,-0.3820485010834975
ACH-000466,-0.4003018620079832
ACH-000467,-0.4474563507811232
ACH-000468,-0.1688386103024722
ACH-000469,-0.0981224454532509
ACH-000470,-0.3098825797689428
ACH-000471,-0.1924052232315288
ACH-000472,-0.3393984329584147
ACH-000473,-0.3003462365428331
ACH-000475,-0.23832690384491864
ACH-000476,-0.21828234882091926
ACH-000477,-0.21511251329568853
ACH-000479,-0.3613263914948366
ACH-000480,-0.2284013464995608
ACH-000481,-0.22453998023193356
ACH-000483,-0.02210294762749126
ACH-000484,-0.08154739379928345
ACH-000485,-0.2044350306511125
ACH-000486,-0.09784486537045947
ACH-000487,-0.3408869341038963
ACH-000488,-0.14970934363275326
ACH-000490,-0.2609961531136317
ACH-000491,-0.20268818109451864
ACH-000495,-0.0910498678438007
