,MGST2 (4258)
ACH-000004,0.03236590425984626
ACH-000005,-0.08058956225046733
ACH-000007,-0.028236326403755625
ACH-000009,-0.012345929778081329
ACH-000011,0.05365508121816994
ACH-000012,-0.1432438655449567
ACH-000013,-0.06274408769500242
ACH-000014,-0.05811319565134593
ACH-000015,-0.04537487598343812
ACH-000017,-0.038925200116034585
ACH-000018,-0.08627990014954501
ACH-000019,-0.1089295792710977
ACH-000021,0.007297475415049413
ACH-000022,0.08318216250637757
ACH-000025,-0.02887671618759505
ACH-000028,-0.046311124484669806
ACH-000030,0.04863439277398991
ACH-000035,0.05437620467043533
ACH-000036,-0.08250010940573535
ACH-000037,0.026720945601765068
ACH-000039,-0.09514731627494552
ACH-000040,-0.07938062933063182
ACH-000041,-0.08878241619595298
ACH-000042,-0.016968176768593225
ACH-000045,-0.0132331236979496
ACH-000047,0.04175466479649992
ACH-000052,-0.22156578095865107
ACH-000053,0.03805626972297139
ACH-000054,-0.014524589748106324
ACH-000055,-0.09243250386972716
ACH-000060,0.024148549809972053
ACH-000067,-0.1566590207269741
ACH-000070,0.005814691150704935
ACH-000075,-0.0471617679761615
ACH-000078,-0.12525152255966526
ACH-000082,0.013320664662858195
ACH-000085,-0.20582931054123813
ACH-000086,-0.06403555657912746
ACH-000087,0.1613639919903444
ACH-000092,-0.1852514236939508
ACH-000095,-0.12992567754228748
ACH-000097,0.003038559710741593
ACH-000098,-0.029724136661683782
ACH-000099,-0.12636865102443046
ACH-000108,-0.12803362474271493
ACH-000113,-0.09734764975968384
ACH-000116,0.007357599546516866
ACH-000118,0.08788542621055995
ACH-000120,-0.0438905949198829
ACH-000123,0.09154568210702736
ACH-000127,-0.06621952759312254
ACH-000128,0.07345028388466286
ACH-000132,-0.07327931194434194
ACH-000133,0.06406694057080592
ACH-000137,-0.07925478586468336
ACH-000138,0.050110056921440466
ACH-000142,-0.2256692576201296
ACH-000143,-0.23064168367322135
ACH-000146,-0.0659420560272758
ACH-000148,-0.056690228550557276
ACH-000150,-0.08636096140931387
ACH-000152,-0.07104998083847651
ACH-000153,-0.1416017347170786
ACH-000159,-0.05029924755681119
ACH-000160,-0.09817886253008924
ACH-000163,-0.03790517001337198
ACH-000167,0.016770136720783074
ACH-000168,-0.01450639212255253
ACH-000169,0.01703153926248635
ACH-000178,-0.026186214686432268
ACH-000183,0.06288315231364355
ACH-000188,-0.04547523580485461
ACH-000189,-0.12665213895548794
ACH-000190,0.006034868258987939
ACH-000198,-0.08271522114851762
ACH-000203,0.31283463880021073
ACH-000204,-0.1727092462851878
ACH-000206,0.05469735088295818
ACH-000207,0.03590310044619121
ACH-000208,-0.31368886687691405
ACH-000210,0.5291029839469629
ACH-000211,-0.16558022438948738
ACH-000215,-0.037438821960841175
ACH-000221,0.062193951362021466
ACH-000222,0.1491093419997978
ACH-000223,-0.06048166220685431
ACH-000226,-0.0675238379343466
ACH-000227,-0.10509260159409818
ACH-000228,-0.043502896146260385
ACH-000231,-0.07245790200632891
ACH-000232,-0.021061074532341968
ACH-000233,-0.016302088629506984
ACH-000234,-0.084814501714954
ACH-000235,-0.03484535657413821
ACH-000237,-0.10355054073772473
ACH-000238,-0.011739518598997968
ACH-000242,-0.17774279903358492
ACH-000243,-0.03267634978076865
ACH-000244,-0.15539527177347226
ACH-000246,-0.008541309574974617
ACH-000248,-0.061017288567654225
ACH-000250,-0.06257097162156497
ACH-000251,-0.10603386919405086
ACH-000252,0.18896529073722573
