,TBC1D3H (729877)
ACH-000004,-1.1804494112026391
ACH-000005,-0.9295747291824517
ACH-000007,-1.3650551983169936
ACH-000009,-1.2677537795863367
ACH-000011,-1.2649652522058288
ACH-000012,-1.0268894118430854
ACH-000013,-1.1676932718898776
ACH-000014,-1.3294792084559433
ACH-000015,-1.12633101986693
ACH-000017,-1.1696113401960664
ACH-000018,-1.1694036369511986
ACH-000019,-1.1058365485969228
ACH-000021,-1.2266248171743013
ACH-000022,-1.2352541225948732
ACH-000025,-1.0689716004836745
ACH-000028,-1.0572829120956055
ACH-000030,-1.2326294882147468
ACH-000035,-1.1580486216118222
ACH-000036,-1.2753980206614774
ACH-000037,-1.077410860179496
ACH-000039,-1.2006843210666809
ACH-000040,-1.1562972804102687
ACH-000041,-1.2895989432106398
ACH-000042,-1.197158386225124
ACH-000045,-1.175066831698234
ACH-000047,-1.0597762351720241
ACH-000052,-0.9329082877276628
ACH-000053,-1.100238579540364
ACH-000054,-1.1101197251117634
ACH-000055,-1.4716109406859097
ACH-000060,-1.1006374874231593
ACH-000067,-1.0838416485868043
ACH-000070,-1.2422261335600528
ACH-000075,-1.0287791607781849
ACH-000078,-1.102839280536388
ACH-000082,-1.1582561367472295
ACH-000085,-1.2621834056402017
ACH-000086,-1.2269853576953702
ACH-000087,-1.3531014310391092
ACH-000092,-1.109741249017096
ACH-000095,-1.027689820901181
ACH-000097,-1.1210454527304956
ACH-000098,-1.3000999036847711
ACH-000099,-1.1323698994218458
ACH-000108,-1.135803421527215
ACH-000113,-1.2882924162625806
ACH-000116,-1.0769565873907283
ACH-000118,-1.0780361373061125
ACH-000120,-1.281276380679501
ACH-000123,-1.1961550717209521
ACH-000127,-1.1635841993182336
ACH-000128,-1.015622476054105
ACH-000132,-1.1460952396403312
ACH-000133,-1.044704066018287
ACH-000137,-1.0122560289527456
ACH-000138,-1.160542430237029
ACH-000142,-1.3097388685229816
ACH-000143,-1.0221326465769431
ACH-000146,-1.2799915796850074
ACH-000148,-1.1990596134474232
ACH-000150,-1.08894957623196
ACH-000152,-1.1019606871618837
ACH-000153,-1.2435132426705546
ACH-000159,-1.0717279781849822
ACH-000160,-1.4859894407115857
ACH-000163,-1.1459473677039491
ACH-000167,0.14718760062371886
ACH-000168,-1.112265188047851
ACH-000169,-1.201563106401676
ACH-000178,-1.0930376157532506
ACH-000183,-0.8258456895552657
ACH-000188,-1.0272476683346476
ACH-000189,-1.252306948595809
ACH-000190,-1.2661022444382055
