,RIPK2 (8767)
ACH-000323,0.032974737602523785
ACH-000324,-0.13457740951634833
ACH-000329,-0.14274858255190093
ACH-000330,-0.11396424477449073
ACH-000331,-0.10222228331257872
ACH-000332,-0.052751207393156974
ACH-000334,0.004819525705234261
ACH-000335,0.06272475679480677
ACH-000336,0.1659790215641459
ACH-000337,0.0314159371781169
ACH-000338,-0.1294574881026654
ACH-000339,0.004280664005392461
ACH-000341,0.010019596044380978
ACH-000348,0.04394494014643688
ACH-000350,0.03656794367388013
ACH-000352,-0.07976190401764276
ACH-000356,0.11116210942576622
ACH-000361,-0.014842651885087729
ACH-000362,-0.035794364376101014
ACH-000363,-0.07948068616235962
ACH-000364,-0.13681749245672434
ACH-000365,0.03175717423235749
ACH-000366,0.011885105874998605
ACH-000368,-0.0736137683539224
ACH-000374,0.15326440119990115
ACH-000375,-0.09395805993395916
ACH-000376,-0.02740806127805901
ACH-000381,0.012332056996149643
ACH-000383,-0.008929329033620068
ACH-000387,-0.1148548474642973
ACH-000389,-0.1892172369522299
ACH-000390,0.052032040971794064
ACH-000393,-0.03620392878387575
ACH-000395,-0.0808148844473736
ACH-000396,-0.19630722997763145
ACH-000397,0.0002139890939200629
ACH-000401,-0.15898546428378274
ACH-000402,-0.016073987402979502
ACH-000403,-0.02636608654553989
ACH-000404,-0.18431999409790786
ACH-000406,0.036967662403006134
ACH-000407,0.11102124300904896
ACH-000408,0.048005972196533686
ACH-000410,0.01376682160464349
ACH-000411,-0.00850289526940594
ACH-000414,-0.060524014254230915
ACH-000415,-0.006217565540587554
ACH-000416,-0.015806933527990164
ACH-000420,0.1459488158787452
ACH-000421,-0.023811025422382018
ACH-000424,0.01915435017329244
ACH-000425,-0.137696573421326
ACH-000426,-0.17548211293788998
ACH-000427,-0.14332767019839535
ACH-000433,0.035493085808845484
ACH-000435,-0.2649645886100232
ACH-000436,-0.13890916455414162
ACH-000444,-0.009886453998642452
ACH-000445,-0.1742182855494045
ACH-000448,-0.14985517834664233
ACH-000450,0.1125751184338488
ACH-000452,0.04187062035836524
ACH-000454,0.01350745694475644
ACH-000458,-0.08096184566991768
ACH-000459,0.1355540785180299
ACH-000460,-0.11502182529437925
ACH-000461,-0.10223707230328574
ACH-000463,-0.12396880168548152
ACH-000464,0.005866771874942144
ACH-000466,-0.06783913246476829
ACH-000467,0.08991327812532159
ACH-000468,0.008767825181413806
ACH-000469,-0.006827645974126538
ACH-000470,-0.09396996592978528
ACH-000471,-0.08074803066147741
ACH-000472,-0.13016100284218868
ACH-000473,-0.037149040097807486
ACH-000475,0.0704689452309147
ACH-000476,-0.13505242127209108
ACH-000477,0.17278554466998194
ACH-000479,0.13075324966857654
ACH-000480,-0.15253402452820167
ACH-000481,0.06361391385570489
ACH-000483,-0.08745181096879426
ACH-000484,-0.2125657728393798
ACH-000485,0.01438849852622922
ACH-000486,-0.03281842179400253
ACH-000487,0.052185223010014464
ACH-000488,0.035607023020639235
ACH-000490,0.012294543309366277
ACH-000491,0.035334439419780664
ACH-000495,-0.09397647433258248
ACH-000496,0.03922603181874956
ACH-000499,-0.10013171281069808
ACH-000500,-0.012402379843060429
ACH-000502,0.05470786352617135
ACH-000503,-0.2824693448704965
ACH-000505,-0.08022926804286418
ACH-000507,-0.051233923669114806
ACH-000510,-0.0332231547123082
ACH-000511,-0.002987250305901564
ACH-000512,0.052225129637337886
ACH-000516,-0.07701029632049848
ACH-000517,0.030180997910168164
ACH-000518,-0.01424375802643166
ACH-000520,0.017276862091909883
ACH-000521,0.06961981048194127
ACH-000522,-0.033346313820844097
ACH-000524,-0.0272693142540233
ACH-000527,0.052356743690490835
ACH-000528,-0.0612540109965295
ACH-000537,-0.042338303029270816
ACH-000541,0.05343386096362408
ACH-000542,-0.14403155789934968
ACH-000544,0.2014711333689993
ACH-000545,-0.06021397246259734
ACH-000547,-0.029531116336146163
ACH-000548,-0.05231034789426227
ACH-000549,-0.05352217759544502
ACH-000550,0.06681246101627036
ACH-000552,-0.13877458398176465
ACH-000556,-0.0729619681428691
ACH-000557,-0.04849362958386978
ACH-000569,-0.01723331915873759
ACH-000570,-0.01815705891799763
ACH-000571,-0.0454459177168797
ACH-000573,-0.10299610615299136
ACH-000576,-0.03118345023534815
ACH-000579,-0.0059588570829739096
