,NOXO1 (124056)
ACH-000004,0.031169488924913762
ACH-000005,0.02882100815214292
ACH-000007,-0.0929896424134893
ACH-000009,0.06814221501781
ACH-000011,-0.17568818706480924
ACH-000012,-0.13247758922174946
ACH-000013,-0.05059280620646165
ACH-000014,-0.11509582876866885
ACH-000015,-0.3025313541316599
ACH-000017,-0.04255410473584785
ACH-000018,0.0229486672065238
ACH-000019,-0.03713572467192208
ACH-000021,-0.19102359886795048
ACH-000022,-0.10583386260648553
ACH-000025,-0.21490880334289997
ACH-000028,-0.05165865707270202
ACH-000030,0.0253431610992722
ACH-000035,0.014079025147707588
ACH-000036,-0.3828415545805876
ACH-000037,-0.04828313173884235
ACH-000039,-0.07813798705243423
ACH-000040,-0.04874440438791642
ACH-000041,0.015212326652569491
ACH-000042,0.08113870964361013
ACH-000045,0.0135366413411675
ACH-000047,-0.22267161278766626
ACH-000052,-0.2304167590991001
ACH-000053,-0.15828545736127425
ACH-000054,-0.1424657033111154
ACH-000055,0.1497594066651853
ACH-000060,-0.18173444712716266
ACH-000067,-0.20205324802289354
ACH-000070,-0.1422131197442848
ACH-000075,-0.08881485665532098
ACH-000078,-0.12717435825654405
ACH-000082,-0.07026727101554994
ACH-000085,0.04662646088002444
ACH-000086,-0.09194405184684948
ACH-000087,0.04491439726853085
ACH-000092,-0.07602628875065337
ACH-000095,-0.17422337451102374
ACH-000097,-0.08410756810289964
ACH-000098,-0.042727065411117454
ACH-000099,-0.13677298663595006
ACH-000108,-0.19769025214971284
ACH-000113,0.012737502395727051
ACH-000116,-0.0909695492572444
ACH-000118,-0.14539297303075244
ACH-000120,-0.1689449923342476
ACH-000123,-0.2499690803225956
ACH-000127,-0.06828799649197526
ACH-000128,-0.04299473234045125
ACH-000132,-0.10266349800870647
ACH-000133,-0.15900149212615727
ACH-000137,-0.2446777712781737
ACH-000138,-0.10255178931106672
ACH-000142,0.0474568753711264
ACH-000143,0.1507996711978868
ACH-000146,-0.13468417806739014
ACH-000148,-0.21796725466295908
ACH-000150,-0.21720609506360866
ACH-000152,-0.1428885133968323
ACH-000153,-0.08007006981436413
ACH-000159,-0.07137921383293239
ACH-000160,-0.02380147809976997
ACH-000163,0.008871546994721619
ACH-000167,0.16912086048488967
ACH-000168,-0.06693449844475867
ACH-000169,-0.15631850176671594
ACH-000178,-0.06200496680642033
ACH-000183,-0.05925358119205295
ACH-000188,-0.0388576783310951
ACH-000189,-0.3091854518536666
ACH-000190,0.02530480534303276
ACH-000198,-0.09309122106746393
ACH-000203,-0.13956220371978476
ACH-000204,0.06342668589615047
ACH-000206,-0.2153722171191952
ACH-000207,-0.15394712984219033
ACH-000208,0.056852296801251735
ACH-000210,-0.4338940964026164
ACH-000211,-0.06366714324409486
ACH-000215,-0.08320409412302411
ACH-000221,0.015741662768651767
ACH-000222,-0.014668859186865831
ACH-000223,-0.01723897874043584
ACH-000226,-0.008506476530266054
ACH-000227,-0.09222734023913104
ACH-000228,-0.04036661941997868
ACH-000231,-0.019383125649704944
ACH-000232,-0.13265224537755618
ACH-000233,-0.021841681258802648
ACH-000234,0.009446610901070095
ACH-000235,-0.1230567528582093
ACH-000237,0.0053999740757324
ACH-000238,-0.15717857819416425
ACH-000242,0.2678323927934121
ACH-000243,0.03370903431240372
ACH-000244,-0.20109397911777405
ACH-000246,-0.11005854253499953
ACH-000248,-0.07193614112917203
ACH-000250,-0.1069333608725997
ACH-000251,0.1524862809101882
ACH-000252,-0.16690801382126955
ACH-000253,-0.17475456410601703
ACH-000255,0.1299528610071905
ACH-000256,0.014813255221477962
ACH-000257,-0.10311845082205223
ACH-000258,-0.3250580163553893
ACH-000259,-0.04678768835068529
ACH-000260,-0.2401565946721063
ACH-000261,-0.02748373700606992
ACH-000262,-0.2654707850496002
ACH-000263,0.02906913122088698
ACH-000264,-0.1353055796414842
ACH-000265,-0.011332704448601984
ACH-000266,-0.03514480515644807
ACH-000272,-0.05190762113598574
ACH-000274,-0.14457551182993136
ACH-000277,-0.054799579900833874
ACH-000278,-0.0231827603049864
ACH-000279,0.0010406028695967328
ACH-000280,-0.18513611475613134
ACH-000281,-0.06646946444441848
ACH-000288,-0.35695897412654176
ACH-000291,-0.11228998468521276
ACH-000293,-0.011152687941175342
ACH-000294,0.05157448852345086
ACH-000295,0.10100835127367999
ACH-000296,-0.34750721302142473
ACH-000302,0.01269776339294222
ACH-000304,0.045057990195985664
ACH-000307,-0.07963029926080807
ACH-000308,-0.07552265541867259
ACH-000310,-0.14398736878102464
ACH-000311,-0.08907920397766228
ACH-000312,-0.009363172035592292
ACH-000315,0.009879704100488895
ACH-000316,-0.16843015489877958
ACH-000317,0.1450003163268726
ACH-000318,-0.11436728065184724
ACH-000319,-0.16112834752509392
ACH-000320,0.12547987057856827
ACH-000322,-0.31791187268783105
ACH-000323,-0.031466124614277904
ACH-000324,-0.06699031127954287
ACH-000329,-0.09863046711004338
ACH-000330,-0.0914277034777732
ACH-000331,-0.1444913311932806
ACH-000332,-0.08680021702082713
ACH-000334,-0.21144755696129727
ACH-000335,-0.24815441974010066
ACH-000336,0.20366206248762936
ACH-000337,-0.21316519231791814
ACH-000338,0.10025157382655406
ACH-000339,-0.10382509428982034
ACH-000341,0.12835876744328553
ACH-000348,-0.09319292188601297
ACH-000350,-0.02426859255049594
ACH-000352,-0.025116915206369984
ACH-000356,-0.0017054039209073466
ACH-000361,-0.2733859572101105
ACH-000362,-0.16978003011489035
ACH-000363,-0.07582223568161937
