,SUPT5H (6829)
ACH-000004,-1.2265451843334945
ACH-000005,-1.5043591509495755
ACH-000007,-1.0716447753628733
ACH-000009,-1.0668639703724252
ACH-000011,-1.1302392815066953
ACH-000012,-1.1672631566024658
ACH-000013,-1.2761622535983714
ACH-000014,-1.0748419559704654
ACH-000015,-1.2253072250505763
ACH-000017,-0.9542289656502844
ACH-000018,-0.7774255476407647
ACH-000019,-1.1573180451956786
ACH-000021,-1.0289981857699766
ACH-000022,-1.243259030428712
ACH-000025,-1.0880002921608884
ACH-000028,-1.029059674594875
ACH-000030,-1.014910612447684
ACH-000035,-1.1157186952735028
ACH-000036,-0.961512929567754
ACH-000037,-1.2790446651961107
ACH-000039,-0.9912273505945476
ACH-000040,-1.0687671743576197
ACH-000041,-0.9086824042222892
ACH-000042,-0.9842603083451996
ACH-000045,-1.0939375679622545
ACH-000047,-0.9566875125339852
ACH-000052,-1.2227190657168636
ACH-000053,-1.0838320538814086
ACH-000054,-1.1087008935568403
ACH-000055,-1.066181718783754
ACH-000060,-0.8850926167211149
ACH-000067,-0.943552361103716
ACH-000070,-1.0335196033748826
ACH-000075,-0.9573903919020696
ACH-000078,-0.9201129963043604
ACH-000082,-1.028391807724192
ACH-000085,-1.171538194791454
ACH-000086,-0.9752217972270251
ACH-000087,-0.9694464740644324
ACH-000092,-1.197653796848127
ACH-000095,-0.9203058235804288
ACH-000097,-0.9780531080887984
ACH-000098,-1.0089752882494416
ACH-000099,-1.1718663286438804
ACH-000108,-1.2860300982054378
ACH-000113,-1.1354420304358337
ACH-000116,-1.228300928135306
ACH-000118,-1.232735666133123
ACH-000120,-1.0903766460061322
ACH-000123,-1.2064581378375578
ACH-000127,-0.9303197202087471
ACH-000128,-1.2604917184764
ACH-000132,-1.152379940355276
ACH-000133,-1.0433465314070105
ACH-000137,-1.2978002850261532
ACH-000138,-1.1946194160646202
ACH-000142,-1.2110789130320836
ACH-000143,-1.0159308396503886
ACH-000146,-1.1386933209959569
ACH-000148,-1.1292044696453354
ACH-000150,-1.0647746744583586
ACH-000152,-0.9582170849634478
ACH-000153,-1.3484387425829685
ACH-000159,-1.0215928717660006
ACH-000160,-0.8013300452548051
ACH-000163,-0.8811575194600705
ACH-000167,-1.3242834667148822
ACH-000168,-1.1246724549553857
ACH-000169,-1.0564967538041508
ACH-000178,-1.1904135108793092
ACH-000183,-1.2141747540725971
ACH-000188,-1.149610067137194
ACH-000189,-1.0899971935314066
ACH-000190,-0.9027331032187408
ACH-000198,-1.0392153482713544
ACH-000203,-1.4193866524831098
ACH-000204,-0.9395653334575438
ACH-000206,-1.010399086223623
ACH-000207,-1.2671725897643196
ACH-000208,-0.9159835414692292
ACH-000210,-1.010766007309446
ACH-000211,-1.119441991239878
ACH-000215,-0.8774621585730145
ACH-000221,-0.910612593693494
ACH-000222,-1.0031993144487847
ACH-000223,-0.9363624896335828
ACH-000226,-0.9294678669307906
ACH-000227,-0.9632391647997136
ACH-000228,-1.284272971007724
ACH-000231,-0.7518220703596301
ACH-000232,-1.0897547708415245
ACH-000233,-1.2929223483532497
ACH-000234,-0.9668467733171746
ACH-000235,-1.0121487451874445
ACH-000237,-0.9803784136344312
ACH-000238,-1.0957982251747784
ACH-000242,-1.2547416056391252
ACH-000243,-1.0463167432861071
ACH-000244,-1.2579987761129463
ACH-000246,-1.0653782502404656
ACH-000248,-0.9790138901761398
ACH-000250,-0.8906242861566843
ACH-000251,-0.7921518016014122
ACH-000252,-0.9716254715394782
ACH-000253,-1.0732155959420122
ACH-000255,-1.1553262600858019
ACH-000256,-0.7702335338072496
ACH-000257,-0.9205024021961292
ACH-000258,-1.1781788696889888
ACH-000259,-1.0878918018105217
ACH-000260,-1.1109522142467705
ACH-000261,-1.0559623828119584
ACH-000262,-1.0227191588072069
ACH-000263,-0.6772583018261764
ACH-000264,-0.9026181178396548
