,UCP2 (7351)
ACH-000004,-0.05016977632192021
ACH-000005,-0.2072537301484046
ACH-000007,0.054729505114907685
ACH-000009,-0.044826731949193004
ACH-000011,0.1039580489339399
ACH-000012,-0.10507775054302146
ACH-000013,-0.06677064845025853
ACH-000014,-0.08064078809813649
ACH-000015,-0.05212437458277689
ACH-000017,-0.02404070938996158
ACH-000018,0.043212438996111546
ACH-000019,0.13217681128606412
ACH-000021,-0.04209818584875339
ACH-000022,0.06498740683453755
ACH-000025,-0.032856229017971146
ACH-000028,0.0914478573689463
ACH-000030,-0.10424547955793018
ACH-000035,-0.05109328123075811
ACH-000036,-0.07111711997556411
ACH-000037,0.036323986820393
ACH-000039,-0.2333839580098093
ACH-000040,0.005702919663881391
ACH-000041,0.01967247646969542
ACH-000042,-0.06818019739450629
ACH-000045,-0.06538836769865394
ACH-000047,-0.18755153267585428
ACH-000052,0.11719988450952047
ACH-000053,-0.13459478858156929
ACH-000054,-0.07085587580466349
ACH-000055,-0.17388052841938792
ACH-000060,0.13252999565323245
ACH-000067,0.06841124092123525
ACH-000070,-0.08736116710952939
ACH-000075,0.0774942943243574
ACH-000078,0.0700860493944365
ACH-000082,0.01987940257392444
ACH-000085,-0.0717405395545513
ACH-000086,-0.023494678083937008
ACH-000087,0.09702684172644334
ACH-000092,-0.06705446399548856
ACH-000095,-0.008221096767673667
ACH-000097,0.12286208322699667
ACH-000098,0.08793613393943164
ACH-000099,0.008246614041077559
ACH-000108,-0.08695767208155085
ACH-000113,0.011974206873289149
ACH-000116,0.033526340183657626
ACH-000118,-0.07455050428853559
ACH-000120,-0.08635107447466316
ACH-000123,-0.12286583547240106
ACH-000127,0.016748361747000298
ACH-000128,0.059016684884995965
ACH-000132,0.05888806125315495
ACH-000133,-0.00633556386457893
ACH-000137,-0.08256119768909663
ACH-000138,-0.19779523382639688
ACH-000142,-0.09780025521632603
ACH-000143,-0.150728334349624
ACH-000146,0.008250745784669588
ACH-000148,-0.07023233433438432
ACH-000150,-0.15555462802506628
ACH-000152,0.01975394525519613
ACH-000153,-0.16638006286854362
ACH-000159,0.0570184813354469
ACH-000160,-0.0540481761140024
ACH-000163,0.031566441993417925
ACH-000167,0.19579029809351955
ACH-000168,0.22659354887790015
ACH-000169,0.10401402305753776
ACH-000178,-0.0028976727375357105
ACH-000183,-0.030233923300822464
ACH-000188,-0.1252018502529042
ACH-000189,0.01563151092672674
ACH-000190,-0.1163681991062849
ACH-000198,-0.038891092265996026
ACH-000203,-0.2275306208085597
ACH-000204,-0.025638373241596246
ACH-000206,-0.1432227803759809
ACH-000207,-0.11006158829018196
ACH-000208,-0.058591889583044274
ACH-000210,0.06371172602508436
ACH-000211,0.05517910994623319
ACH-000215,0.0042756347976545105
ACH-000221,-0.07798122486711656
ACH-000222,-0.04353551357714314
ACH-000223,-0.029223062974069958
ACH-000226,-0.06155995109396599
ACH-000227,-0.13256648963911394
ACH-000228,-0.21795016448079285
ACH-000231,-0.02868487505298753
ACH-000232,-0.058316928856600114
ACH-000233,0.12258903897061475
ACH-000234,0.19747412371216555
ACH-000235,-0.018265514922589647
ACH-000237,-0.012814381319540857
ACH-000238,-0.10038247188405454
ACH-000242,0.4070473656671625
ACH-000243,-0.026992208614937983
ACH-000244,0.1086915804186981
ACH-000246,-0.0009353344090162828
ACH-000248,0.18138904325998487
ACH-000250,-0.0719874005721638
ACH-000251,-0.06925616278552985
ACH-000252,-0.07481826299639924
ACH-000253,0.02040444433184984
ACH-000255,-0.034044008879930615
ACH-000256,-0.15920101493317107
ACH-000257,-0.028698805955227325
ACH-000258,-0.08846986336148653
ACH-000259,-0.149784518848375
ACH-000260,0.006704149679510773
ACH-000261,0.055342257475251885
ACH-000262,-0.004580495716378503
ACH-000263,-0.031749903595340065
ACH-000264,-0.1564875246005565
ACH-000265,0.004711524433295228
ACH-000266,-0.0553808399952699
ACH-000272,0.0538365454802865
ACH-000274,-0.011957034408988487
ACH-000277,-0.02568408406602803
ACH-000278,-0.12921305638971384
ACH-000279,0.06500185374489867
ACH-000280,-0.10391969347552353
ACH-000281,-0.12779432976194768
ACH-000288,-0.051298565093811914
ACH-000291,-0.04165864068109097
ACH-000293,-0.16572253993141473
ACH-000294,-0.05500322107107922
ACH-000295,0.08154761910516473
ACH-000296,0.11736322162209425
ACH-000302,0.003456064659285473
ACH-000304,0.12352985840845825
ACH-000307,-0.13056682475863096
ACH-000308,-0.005006848062260705
ACH-000310,0.11161823363816922
ACH-000311,0.10399086828286663
ACH-000312,-0.013551593131969285
ACH-000315,-0.08115696308703099
ACH-000316,-0.12572864799774922
ACH-000317,-0.0531979207576922
ACH-000318,-0.047121588811155184
ACH-000319,-0.028532918663451163
ACH-000320,-0.03728737265040979
ACH-000322,0.2426815577955216
ACH-000323,-0.06541332649349997
ACH-000324,-0.05615395089294432
ACH-000329,0.06449473059929514
ACH-000330,0.003970649475517956
ACH-000331,-0.036600531950432544
ACH-000332,-0.041929913951583804
ACH-000334,0.05236099739366537
