,AHSA1 (10598)
ACH-000004,-0.20454095186016846
ACH-000005,0.035340701132613346
ACH-000007,-0.017398911029400648
ACH-000009,-0.13967429518739707
ACH-000011,0.14892492773040958
ACH-000012,-0.3257513956893994
ACH-000013,-0.17678784984827078
ACH-000014,-0.4605699354922012
ACH-000015,-0.09207448753396118
ACH-000017,-0.44040932986495934
ACH-000018,0.0123239905561339
ACH-000019,-0.0925561809280946
ACH-000021,-0.06936196506763981
ACH-000022,-0.07524796382581074
ACH-000025,-0.08717541629780581
ACH-000028,-0.2115171677716236
ACH-000030,-0.04685821650800832
ACH-000035,-0.13922332041632707
ACH-000036,-0.21727339018765512
ACH-000037,-0.23639236747949835
ACH-000039,-0.2033364519159585
ACH-000040,-0.020860912231686957
ACH-000041,-0.16492592498351627
ACH-000042,-0.064148352674554
ACH-000045,0.07442155291592352
ACH-000047,-0.2257847217749671
ACH-000052,-0.031101056287396976
ACH-000053,-0.3152485797729861
ACH-000054,-0.1486733963717918
ACH-000055,0.05604256370346785
ACH-000060,-0.31417386259660635
ACH-000067,0.024106539675043004
ACH-000070,-0.22241353648663367
ACH-000075,-0.07462252886542442
ACH-000078,-0.2853525674149177
ACH-000082,-0.16969732060757384
ACH-000085,-0.2799089466973317
ACH-000086,-0.17636950689110004
ACH-000087,0.0242722000062508
ACH-000092,-0.21994117344090894
ACH-000095,-0.17198663474056852
ACH-000097,-0.1656934898734754
ACH-000098,-0.12733985937706435
ACH-000099,-0.2708411790525677
ACH-000108,-0.03636898516493485
ACH-000113,-0.7166208934567879
ACH-000116,-0.2410019055003292
ACH-000118,-0.22585031506618194
ACH-000120,-0.006587727127236711
ACH-000123,-0.10384971505792882
ACH-000127,-0.07627619297917737
ACH-000128,-0.11630234534964305
ACH-000132,-0.19836148848885296
ACH-000133,-0.2623966419007886
ACH-000137,-0.10380831262200896
ACH-000138,-0.09520809614138752
ACH-000142,-0.07287363217060508
ACH-000143,0.09120675430976084
ACH-000146,-0.10977784843003782
ACH-000148,-0.229296260022608
ACH-000150,0.0023059028973563193
ACH-000152,-0.08162196477437836
ACH-000153,0.13750660941218465
ACH-000159,-0.17418773379606156
ACH-000160,-0.2352912565498977
ACH-000163,-0.18428937849001464
ACH-000167,-0.14535863700624554
ACH-000168,-0.06563113214024321
ACH-000169,-0.2459892799759764
ACH-000178,0.028038218784768844
ACH-000183,-0.015916843619314617
ACH-000188,-0.07951864543625277
ACH-000189,-0.1203853891831451
