,UTP3 (57050)
ACH-000004,-0.7325215918355967
ACH-000005,-0.8995283653778107
ACH-000007,-0.5441752247187914
ACH-000009,-0.8616331656963148
ACH-000011,-0.8922143912894408
ACH-000012,-0.9616119675709692
ACH-000013,-0.7729523622554811
ACH-000014,-0.8934329367878168
ACH-000015,-0.7465422374959445
ACH-000017,-0.6299756074242925
ACH-000018,-0.9264467909663494
ACH-000019,-0.8939959959848741
ACH-000021,-0.9136308724442156
ACH-000022,-0.8223168036109394
ACH-000025,-0.7055154306705299
ACH-000028,-0.7000816624352797
ACH-000030,-0.902987150439868
ACH-000035,-0.7274869732968939
ACH-000036,-0.8889440638369208
ACH-000037,-0.8740037352441602
ACH-000039,-0.708888822128225
ACH-000040,-0.8507082141869284
ACH-000041,-0.7085945458005051
ACH-000042,-0.7926957730165354
ACH-000045,-0.8844489403627501
ACH-000047,-1.0844515429740955
ACH-000052,-0.9999853431915882
ACH-000053,-0.9782113720564186
ACH-000054,-0.8187777549990171
ACH-000055,-0.9618302447443492
ACH-000060,-0.8937573908520899
ACH-000067,-0.7700701627743459
ACH-000070,-0.5005718478716635
ACH-000075,-1.0850589471473764
ACH-000078,-0.7684110290362282
ACH-000082,-0.7980062582588391
ACH-000085,-0.7497107503389936
ACH-000086,-0.8313879071301737
ACH-000087,-1.1704796663291883
ACH-000092,-0.946336514463569
ACH-000095,-0.7727852848449895
ACH-000097,-0.7922139156927529
ACH-000098,-0.8026308578350897
ACH-000099,-0.6746081533735057
ACH-000108,-1.0526201548459293
ACH-000113,-0.8447455232347213
ACH-000116,-1.0769272944406736
ACH-000118,-0.8503426968327293
ACH-000120,-1.0348523480383984
ACH-000123,-0.5823116734567182
ACH-000127,-0.6502324210368393
ACH-000128,-0.9407137967763948
ACH-000132,-0.6916280599854328
ACH-000133,-0.5835845397757171
ACH-000137,-0.7053463939461924
ACH-000138,-0.7864899713437198
ACH-000142,-0.8241565930117766
ACH-000143,-0.9771697145389142
ACH-000146,-0.9154427968203857
ACH-000148,-0.8116812936424805
ACH-000150,-0.9304508856382748
ACH-000152,-0.88355568665787
ACH-000153,-0.7921619384567236
ACH-000159,-0.9166138120618892
ACH-000160,-0.4079291924439458
ACH-000163,-0.8302452296700132
ACH-000167,-0.7514003898985864
ACH-000168,-1.0013287549990817
ACH-000169,-0.7425526821482987
ACH-000178,-0.7577332460676353
ACH-000183,-0.9230008501255212
ACH-000188,-0.7432203269808632
ACH-000189,-0.678139619575009
ACH-000190,-0.6603663986126791
ACH-000198,-0.6257078461621374
