,SPINK13 (153218)
ACH-000004,-0.04654978936505679
ACH-000005,0.10654597061923897
ACH-000007,-0.24611232042689765
ACH-000009,-0.041385746810888066
ACH-000011,-0.04748764990755091
ACH-000012,-0.09105849965235276
ACH-000013,0.004804768486834084
ACH-000014,-0.049668244841238544
ACH-000015,-0.1336678150906874
ACH-000017,-0.010929185684440013
ACH-000018,-0.08891617382013359
ACH-000019,-0.11208385464213272
ACH-000021,-0.0662474984377695
ACH-000022,0.028039560874973248
ACH-000025,0.05299097647115801
ACH-000028,-0.05002297506894373
ACH-000030,-0.02079911614522172
ACH-000035,-0.03165000164562972
ACH-000036,0.051100302677052435
ACH-000037,-0.08190389394775067
ACH-000039,0.16850954117921807
ACH-000040,-0.04476172874590117
ACH-000041,0.004152263342730661
ACH-000042,-0.06175958890428256
ACH-000045,-0.05373331880661061
ACH-000047,-0.029050514770045336
ACH-000052,-0.1603657385086317
ACH-000053,-0.020467259038404517
ACH-000054,-0.07517625928750135
ACH-000055,-0.20719098645894196
ACH-000060,-0.025801135810211283
ACH-000067,-0.018114602883915108
ACH-000070,-0.00493167236145589
ACH-000075,-0.03434147690368211
ACH-000078,-0.014088988158713338
ACH-000082,0.012190790159741132
ACH-000085,-0.003731136185809829
ACH-000086,-0.03132905707168203
ACH-000087,-0.1417004273999574
ACH-000092,-0.00020965004857907232
ACH-000095,0.009876949494777458
ACH-000097,0.03596220077845003
ACH-000098,0.06255752898223241
ACH-000099,-0.14746387088026713
ACH-000108,-0.08792677263989446
ACH-000113,-0.15845672757300033
ACH-000116,-0.02108776596551586
ACH-000118,0.004927311686704688
ACH-000120,-0.11838924366338492
ACH-000123,0.04357169063976253
ACH-000127,-0.04151080482743325
ACH-000128,-0.15879237304369612
ACH-000132,0.013061879609561695
ACH-000133,0.048053555840729255
ACH-000137,-0.08588156946117168
ACH-000138,-0.07044482235179171
ACH-000142,-0.004853939733257345
ACH-000143,-0.08949772436364782
ACH-000146,-0.0075724680549519785
ACH-000148,0.007477908574145711
ACH-000150,-0.26038128865621324
ACH-000152,-0.03920314407331835
ACH-000153,-0.04687298181498503
ACH-000159,-0.036086053340760295
ACH-000160,0.04282655551161505
ACH-000163,-0.11695935961282587
ACH-000167,-0.1039734342668972
ACH-000168,0.07092583215103512
ACH-000169,-0.040586524132074066
ACH-000178,-0.06667471452618512
ACH-000183,-0.10591208783425382
ACH-000188,-0.08056560541983869
ACH-000189,-0.08974056799697526
ACH-000190,-0.1393739463513751
ACH-000198,-0.0018424079806031446
ACH-000203,0.386490996991344
ACH-000204,0.04674565875673037
ACH-000206,0.07781301010339456
ACH-000207,0.054601828039480785
