,LOXL3 (84695)
ACH-000004,-0.2829467366585232
ACH-000005,-0.11583250098481193
ACH-000007,-0.2394109882172647
ACH-000009,-0.15182479847211347
ACH-000011,-0.3409185247583401
ACH-000012,-0.18794866241520894
ACH-000013,-0.13591853541262414
ACH-000014,-0.1344829481696481
ACH-000015,-0.1608830536343231
ACH-000017,-0.21970386323842836
ACH-000018,-0.13900461168298378
ACH-000019,-0.277791483008647
ACH-000021,-0.25128498444190994
ACH-000022,-0.26907252188085456
ACH-000025,-0.08483924154537548
ACH-000028,-0.221774512873642
ACH-000030,-0.2032997749340701
ACH-000035,-0.3017010513340139
ACH-000036,-0.17459244597110707
ACH-000037,-0.18743714018087115
ACH-000039,-0.20755893474757414
ACH-000040,-0.16341769630114514
ACH-000041,-0.028103670697151476
ACH-000042,-0.3229234858015753
ACH-000045,-0.1497114829905043
ACH-000047,-0.0985070938887085
ACH-000052,-0.196163400301788
ACH-000053,-0.11982426390466284
ACH-000054,-0.11266580408125733
ACH-000055,-0.2507392103431634
ACH-000060,-0.1506766155360182
ACH-000067,-0.07027859026200102
ACH-000070,-0.2046461397931812
ACH-000075,-0.20302971214320592
ACH-000078,-0.20524117757262925
ACH-000082,-0.09671675226312616
ACH-000085,-0.1992402095945488
ACH-000086,-0.16238941317094754
ACH-000087,-0.10290467111484944
ACH-000092,-0.3819247199985175
ACH-000095,-0.11764039251073333
ACH-000097,-0.12293287514851654
ACH-000098,-0.05731378498163635
ACH-000099,-0.19206286291584646
ACH-000108,-0.04885715047112781
ACH-000113,-0.10249544492284224
ACH-000116,-0.2621282565699919
ACH-000118,-0.16740663234933856
ACH-000120,-0.17254833035542075
ACH-000123,-0.136363014302068
ACH-000127,-0.2197866691469129
ACH-000128,-0.23947234269632844
ACH-000132,-0.13184433403102694
ACH-000133,-0.2250482061485206
ACH-000137,-0.2802946097509681
ACH-000138,-0.10079718625318937
ACH-000142,-0.2528221502533955
ACH-000143,-0.09704401499368856
ACH-000146,-0.19093891825599416
ACH-000148,0.015013536649150791
ACH-000150,-0.1315188134969577
ACH-000152,-0.15799873444031814
ACH-000153,-0.005302617637010465
ACH-000159,-0.27425408887292
ACH-000160,-0.14227219658835938
ACH-000163,-0.1681064183508209
ACH-000167,-0.09729923549362274
ACH-000168,-0.09980968418127056
ACH-000169,-0.2120906598392383
ACH-000178,-0.14861610503255784
ACH-000183,-0.11695724300152607
ACH-000188,-0.17781847665791078
ACH-000189,-0.0330125698321353
ACH-000190,-0.2642197861783451
ACH-000198,-0.17403287906438186
ACH-000203,-0.3682513777726752
ACH-000204,-0.303989018249146
ACH-000206,-0.12783067783371474
ACH-000207,-0.3197667974889448
ACH-000208,-0.3363497415292797
ACH-000210,-0.12269419507001852
ACH-000211,-0.17661665780231442
ACH-000215,-0.238422079008604
ACH-000221,-0.0920510689672282
ACH-000222,-0.17163888863594806
