,PFKFB4 (5210)
ACH-000004,-0.1649249793016186
ACH-000005,-0.14105844459058595
ACH-000007,-0.02822166716991349
ACH-000009,-0.23673424105706564
ACH-000011,-0.16734822890053047
ACH-000012,-0.1495065312678864
ACH-000013,-0.1256200135760557
ACH-000014,-0.13693777499088336
ACH-000015,-0.3357299596751461
ACH-000017,-0.16874629327642132
ACH-000018,-0.3614603841379413
ACH-000019,-0.19540084247035625
ACH-000021,-0.22279231637410812
ACH-000022,-0.1936653512040735
ACH-000025,-0.14973869898159187
ACH-000028,-0.1372843254158281
ACH-000030,-0.13236941156176935
ACH-000035,-0.0987184223301189
ACH-000036,-0.23379751632564605
ACH-000037,-0.1452957649424183
ACH-000039,-0.1010758962785244
ACH-000040,-0.2403644308195257
ACH-000041,-0.1277594871607466
ACH-000042,-0.2525550586554315
ACH-000045,-0.4000735794555057
ACH-000047,-0.06565828760221687
ACH-000052,-0.1717904597560715
ACH-000053,-0.26069307638350386
ACH-000054,-0.38467938744238056
ACH-000055,-0.0414398764163723
ACH-000060,-0.18470976581328447
ACH-000067,-0.18591815901351166
ACH-000070,-0.3257903423718188
ACH-000075,-0.27632813033979525
ACH-000078,-0.32071391836271085
ACH-000082,-0.12436127827075462
ACH-000085,-0.1261706760076091
ACH-000086,-0.3203274781717611
ACH-000087,0.04276771135207806
ACH-000092,-0.19224828699914856
ACH-000095,-0.08070229075044005
ACH-000097,-0.17640191723363158
ACH-000098,-0.27786959998385685
ACH-000099,-0.2792577871572954
ACH-000108,-0.18023613083225493
ACH-000113,-0.17139700232653146
ACH-000116,-0.3399405118697319
ACH-000118,-0.2474325997990745
ACH-000120,-0.2345788139582784
ACH-000123,-0.18705428623462486
ACH-000127,-0.2731131287170624
ACH-000128,-0.3891849465121932
ACH-000132,-0.14992474796216354
ACH-000133,-0.048327400535002035
ACH-000137,-0.27215621891424235
ACH-000138,-0.2243879531131189
ACH-000142,-0.24437215932571915
ACH-000143,-0.17439628076758198
ACH-000146,-0.2206697243483485
ACH-000148,-0.16708435031156468
ACH-000150,-0.4792135316484254
ACH-000152,-0.22837545952868096
ACH-000153,-0.21422100963354784
ACH-000159,-0.2284624950266491
ACH-000160,-0.19555302780331604
ACH-000163,-0.2297908932068465
ACH-000167,-0.5469421449475987
ACH-000168,-0.254177451892121
ACH-000169,-0.19699070628759524
ACH-000178,-0.1614894267510388
ACH-000183,-0.10577606991439137
ACH-000188,-0.10838694033340887
ACH-000189,-0.31011524294055964
ACH-000190,-0.0614073369341357
ACH-000198,-0.21178682454343534
ACH-000203,-0.3733809362562584
ACH-000204,-0.3742228024746563
ACH-000206,-0.008588444312195888
ACH-000207,-0.42840926891434417
ACH-000208,-0.1315172974829103
ACH-000210,-0.2793833984117869
ACH-000211,-0.2643913607699552
ACH-000215,-0.20669560717041285
ACH-000221,-0.2701402742085709
ACH-000222,-0.18315804454692236
ACH-000223,-0.23758982206888135
ACH-000226,-0.15881922503944884
ACH-000227,-0.309392910868923
ACH-000228,-0.20584606161237765
ACH-000231,-0.2846709176005284
ACH-000232,-0.27753872081741865
ACH-000233,-0.3131605312864742
ACH-000234,-0.4338316159756645
ACH-000235,-0.16832279727305807
ACH-000237,-0.241976210337278
ACH-000238,-0.1999523827655986
ACH-000242,-0.19193522942879246
ACH-000243,-0.20907104791363887
ACH-000244,-0.31841706994333563
ACH-000246,-0.1687396569317994
ACH-000248,-0.1387312572450162
ACH-000250,-0.17424949459269592
ACH-000251,-0.2856917918646293
ACH-000252,-0.28154684130521146
ACH-000253,-0.14744363960723836
ACH-000255,-0.2539526555370717
ACH-000256,-0.1503619594252875
ACH-000257,-0.2250268552836928
ACH-000258,-0.31384345437600786
ACH-000259,-0.2206419216998956
ACH-000260,-0.20662621607676449
ACH-000261,-0.2976286107040672
ACH-000262,-0.31365904636593545
ACH-000263,-0.4662590055751761
ACH-000264,-0.27262652394338466
ACH-000265,-0.2889021902210072
ACH-000266,-0.2331076976488191
ACH-000272,-0.2746612639547224
ACH-000274,-0.2756309743503552
ACH-000277,-0.2268819882810971
ACH-000278,-0.2395997379339312
ACH-000279,-0.3064475339791395
ACH-000280,-0.2871412933258881
ACH-000281,-0.2478668057295614
ACH-000288,-0.23735525248982106
ACH-000291,-0.15266793962902414
ACH-000293,-0.15703420020679976
ACH-000294,-0.19787781770392607
ACH-000295,-0.4905006916181582
ACH-000296,-0.1230221554945216
ACH-000302,-0.07543000522590816
ACH-000304,-0.27268209633320084
ACH-000307,-0.27495242718731755
ACH-000308,-0.1902722607256125
ACH-000310,-0.15441121965569388
ACH-000311,-0.2660473873601084
ACH-000312,-0.1406720079866275
ACH-000315,-0.08170916764210176
ACH-000316,-0.3081759701498819
ACH-000317,-0.35239396162449593
ACH-000318,-0.13438760742680828
ACH-000319,-0.24364095471746525
ACH-000320,-0.1284949355714069
ACH-000322,-0.2253727258338718
ACH-000323,-0.3110476508545273
ACH-000324,-0.06574786171521947
ACH-000329,-0.24348735199164875
ACH-000330,-0.13879662910863622
ACH-000331,-0.10542784782216524
ACH-000332,-0.2389861536221141
ACH-000334,0.06748566628752259
ACH-000335,0.044973089030909116
ACH-000336,-0.2795267673430347
ACH-000337,-0.2948031489280847
ACH-000338,-0.038481505849179344
ACH-000339,-0.16164875252433225
ACH-000341,-0.3477187325156568
ACH-000348,-0.25963485637666883
ACH-000350,-0.19648937479849374
ACH-000352,-0.16666802589119392
ACH-000356,-0.10162708016742432
ACH-000361,-0.6753563173482834
ACH-000362,-0.3645201177001983
ACH-000363,-0.19396199044982165
ACH-000364,-0.32230070868464555
ACH-000365,-0.3044173264532696
ACH-000366,-0.2943673269523617
ACH-000368,-0.14202962963246782
ACH-000374,-0.18241566967279632
ACH-000375,-0.09519498442878747
ACH-000376,-0.2308886118452892
ACH-000381,-0.3298928965325029
ACH-000383,-0.2641749826259151
ACH-000387,-0.20816175492183195
ACH-000389,-0.27805024534821265
ACH-000390,-0.2281986735239345
ACH-000393,-0.43586283773488
ACH-000395,-0.4859392048178525
ACH-000396,0.03264555079801503
ACH-000397,-0.1703136108379974
ACH-000401,-0.3255805423089178
ACH-000402,-0.00040216135589378986
ACH-000403,-0.27895419393572746
ACH-000404,-0.22396685487392087
ACH-000406,-0.2848161643698279
ACH-000407,-0.2686116702587065
ACH-000408,-0.3801871172037029
ACH-000410,-0.20622943575104047
ACH-000411,-0.18524738044127886
ACH-000414,-0.194194677953837
ACH-000415,-0.3350673059426271
ACH-000416,-0.21367398009119826
ACH-000420,-0.2894002219211603
ACH-000421,-0.1693075413711871
ACH-000424,-0.21390355445427248
ACH-000425,-0.24469889592588845
ACH-000426,-0.1462483984985143
ACH-000427,-0.0961213911146919
ACH-000433,-0.3597954702924001
ACH-000435,-0.19812338092611104
ACH-000436,-0.23791217882606716
ACH-000444,-0.2630805899890387
ACH-000445,-0.2576399684776792
ACH-000448,-0.1605063534746282
ACH-000450,-0.17792132913636768
ACH-000452,-0.20902811526557447
ACH-000454,-0.22922945772460146
ACH-000458,-0.17477664736065512
ACH-000459,-0.025606271424596014
ACH-000460,-0.16084980691487136
ACH-000461,-0.13781030969215202
ACH-000463,-0.1875938820741356
ACH-000464,-0.3697955851113094
ACH-000466,-0.2290722742707429
ACH-000467,-0.2545694716978892
ACH-000468,-0.11605795480727253
ACH-000469,-0.20335763688446493
ACH-000470,-0.20080312027498848
ACH-000471,-0.2981946599255984
ACH-000472,-0.18507733295538345
ACH-000473,-0.017956250991996603
ACH-000475,-0.2720778460081866
ACH-000476,-0.12977142865034294
