,ACP6 (51205)
ACH-000004,-0.12374123818275468
ACH-000005,0.1494408596658666
ACH-000007,-0.07680306732002168
ACH-000009,-0.15334900031087362
ACH-000011,-0.14467433150544556
ACH-000012,-0.1251404969674929
ACH-000013,-0.04373200530381525
ACH-000014,-0.14790722611791549
ACH-000015,-0.15983418206919828
ACH-000017,-0.040331908966265526
ACH-000018,-0.029860774231947232
ACH-000019,-0.29302425292191026
ACH-000021,-0.14541665883118296
ACH-000022,-0.03209064053406155
ACH-000025,-0.14931225764763098
ACH-000028,-0.2741236443562721
ACH-000030,-0.06202207296031365
ACH-000035,-0.15676697607471585
ACH-000036,-0.2265627186698028
ACH-000037,-0.07077239481040999
ACH-000039,-0.14164832099628766
ACH-000040,-0.03188194168890724
ACH-000041,-0.15133845208777696
ACH-000042,-0.031011722054138168
ACH-000045,-0.04183095038932359
ACH-000047,-0.2867059481090739
ACH-000052,-0.10196912067043136
ACH-000053,-0.1533463517633613
ACH-000054,-0.167240846367534
ACH-000055,-0.2157101074287593
ACH-000060,0.01511440235192079
ACH-000067,-0.10337185768157532
ACH-000070,-0.12539131909404594
ACH-000075,-0.10358406046482184
ACH-000078,-0.0565527250859672
ACH-000082,-0.09214635544083254
ACH-000085,-0.285466586284834
ACH-000086,-0.11970759891958906
ACH-000087,-0.09715693200063504
ACH-000092,-0.05954606213550381
ACH-000095,-0.09204927130821157
ACH-000097,-0.2496879177633301
ACH-000098,-0.14938133894249495
ACH-000099,-0.01858529700144376
ACH-000108,-0.10763507606065473
ACH-000113,-0.08881128270977598
ACH-000116,-0.19018474768043608
ACH-000118,-0.117309202555185
ACH-000120,0.04352285774399685
ACH-000123,-0.11361986285910712
ACH-000127,-0.17557340428643786
ACH-000128,-0.09720166638272383
ACH-000132,-0.11602701989236534
ACH-000133,-0.057835180867242236
ACH-000137,-0.19148662268452515
ACH-000138,-0.09235328892924316
ACH-000142,-0.16182409682164695
ACH-000143,-0.0447550600002166
ACH-000146,-0.012979970890784032
ACH-000148,-0.14214133857688066
ACH-000150,-0.10989277720245216
ACH-000152,-0.1713563935589499
ACH-000153,-0.17697229107160264
ACH-000159,-0.18378908423643084
ACH-000160,-0.0251613868429478
ACH-000163,-0.14675018754940616
ACH-000167,0.15899614999388173
ACH-000168,0.04928892655893415
ACH-000169,-0.10860176211539996
