,CYB561 (1534)
ACH-000004,-0.3498903783710531
ACH-000005,-0.0569760842824857
ACH-000007,-0.2922869548240838
ACH-000009,-0.1197414722423285
ACH-000011,-0.034632128953560784
ACH-000012,-0.301908929947358
ACH-000013,-0.1912230064896891
ACH-000014,-0.2754084661701527
ACH-000015,-0.1378539757256039
ACH-000017,-0.2755467768113613
ACH-000018,-0.2811872601124301
ACH-000019,-0.4086022558079298
ACH-000021,-0.1608697851710431
ACH-000022,-0.2729743665988563
ACH-000025,-0.18239967703261084
ACH-000028,-0.20160643455781824
ACH-000030,-0.17534890030932276
ACH-000035,-0.4096175582523828
ACH-000036,-0.1631085016644356
ACH-000037,-0.09932413768863044
ACH-000039,-0.18289939527659974
ACH-000040,-0.2830275826341657
ACH-000041,-0.18216174548899888
ACH-000042,-0.1419650601025942
ACH-000045,-0.2080261214337329
ACH-000047,-0.1887316596279704
ACH-000052,0.014943005084382885
ACH-000053,-0.2288113227244032
ACH-000054,-0.2748879115941693
ACH-000055,-0.27845658515528243
ACH-000060,-0.17183556269661054
ACH-000067,-0.27944843291254745
ACH-000070,0.06386727205931562
ACH-000075,-0.08848451487893237
ACH-000078,-0.32951758530215297
ACH-000082,-0.279292014949148
ACH-000085,-0.1727497585273089
ACH-000086,-0.1961798512970888
ACH-000087,-0.39160541296543055
ACH-000092,-0.07981101488767657
ACH-000095,-0.2505536708443811
ACH-000097,-0.19565341318757776
ACH-000098,-0.21758709960920386
ACH-000099,-0.2495103405665906
ACH-000108,-0.20295892208867294
ACH-000113,-0.2009556958322125
ACH-000116,-0.20219650596131367
ACH-000118,-0.22515580306065835
ACH-000120,-0.4964686724103846
ACH-000123,-0.07313794915895303
ACH-000127,-0.1705077252659063
ACH-000128,-0.1371182381086183
ACH-000132,-0.11069355739074703
ACH-000133,-0.1168090347726656
ACH-000137,-0.17140814123367107
ACH-000138,-0.12855400774157685
ACH-000142,-0.32572923543700605
ACH-000143,-0.1118720240762248
ACH-000146,-0.2057517609428656
ACH-000148,-0.2764559254732258
