,MDM2 (4193)
ACH-000004,-0.06365507875382934
ACH-000005,-0.2458922105062222
ACH-000007,-0.7820084710170734
ACH-000009,-0.11415036785649835
ACH-000011,-1.0310735948103025
ACH-000012,-0.0917841064568786
ACH-000013,-0.10210385443836792
ACH-000014,-1.0634030239076095
ACH-000015,-0.1503635322945547
ACH-000017,-0.25586892883183904
ACH-000018,-0.0777912695441011
ACH-000019,-0.7341120158702258
ACH-000021,-0.1819404404432782
ACH-000022,-0.17249228591339694
ACH-000025,-0.121766179809463
ACH-000028,-0.6879864620708976
ACH-000030,-0.1271852724330769
ACH-000035,0.009273838683415563
ACH-000036,-0.8845434130067144
ACH-000037,-0.35695716704917274
ACH-000039,-0.1656073273512269
ACH-000040,-0.3089562822059149
ACH-000041,-0.050647126951015614
ACH-000042,-0.038469105372239465
ACH-000045,-0.7806280304401422
ACH-000047,0.007071024150125313
ACH-000052,-0.4378099992128908
ACH-000053,-0.24306037585971624
ACH-000054,-0.851213484995256
ACH-000055,-0.09004732862837593
ACH-000060,-0.17662350538691965
ACH-000067,-0.2902543367491661
ACH-000070,-0.9004136749978227
ACH-000075,-0.9164366510488682
ACH-000078,-0.6265297754974589
ACH-000082,-0.3133704504755952
ACH-000085,-0.10821735545869446
ACH-000086,-0.35192821662184665
ACH-000087,-0.2149821147458174
ACH-000092,-0.2657289013414892
ACH-000095,-0.8782278131163381
ACH-000097,-1.177839013932843
ACH-000098,-0.282283433936336
ACH-000099,-0.7904459505504334
ACH-000108,-0.08562312225612978
ACH-000113,-0.7119986152905992
ACH-000116,-0.27742116029759784
ACH-000118,-0.13602570644070205
ACH-000120,-0.7294679209278011
ACH-000123,-0.6823943981528462
ACH-000127,-0.16651931723708174
ACH-000128,-0.1633012194478103
ACH-000132,-0.22216388608401474
ACH-000133,-0.4307055141782388
ACH-000137,-0.3368791162467895
ACH-000138,-0.2130925051604134
ACH-000142,-0.184298674407252
ACH-000143,-0.24580101750747502
ACH-000146,-0.27662888640741434
ACH-000148,-0.4590701955989535
ACH-000150,0.0067644253969876686
ACH-000152,-0.43370626314879707
ACH-000153,-1.2252808151714225
ACH-000159,-1.2358102524583596
ACH-000160,-0.15173019105648566
ACH-000163,-0.2221966672417947
ACH-000167,-0.2628137181571316
ACH-000168,-0.20876501273711684
ACH-000169,-0.2255883154749068
ACH-000178,-0.20613744009150112
ACH-000183,-0.21796013363346486
ACH-000188,-0.12424654048521845
ACH-000189,-0.8367772236102845
ACH-000190,-0.04304964500643056
ACH-000198,-0.9925295853860806
ACH-000203,-0.6908748486466018
ACH-000204,0.05937476056409013
ACH-000206,-0.4610502595171584
ACH-000207,-0.15305525044846302
ACH-000208,-0.3965381415120831
ACH-000210,-0.7195245119188994
ACH-000211,-0.1945012528792873
ACH-000215,-0.3811027315067049
ACH-000221,0.1136243036377676
ACH-000222,-0.3034453515248909
ACH-000223,-0.2676706690190393
ACH-000226,-0.7066716278908909
ACH-000227,-0.3495519685762658
ACH-000228,-0.13457210999212169
ACH-000231,-0.3179867359357585
ACH-000232,-0.19104477136220605
ACH-000233,-0.13199293135263632
ACH-000234,-1.0168997637747723
ACH-000235,-0.29223256240836576
ACH-000237,-0.334875814148458
ACH-000238,-0.2120607788187008
ACH-000242,-0.18741396281520104
ACH-000243,-0.2140508253310224
ACH-000244,-0.7537106877202984
ACH-000246,-1.1328531445103622
ACH-000248,-0.2814036871541796
ACH-000250,-0.2580933260075834
ACH-000251,-0.017106289001618133
ACH-000252,-0.2548318951966579
ACH-000253,-0.14585841641788036
ACH-000255,-0.03978752382775892
