,GJD3 (125111)
ACH-000004,-0.27948620430612603
ACH-000005,0.2137172651194484
ACH-000007,-0.09568968207061307
ACH-000009,-0.3614837065750738
ACH-000011,-0.17107758226883768
ACH-000012,-0.3658530380294097
ACH-000013,-0.16154231405393826
ACH-000014,-0.08758523228679463
ACH-000015,-0.0717417485144536
ACH-000017,-0.38660392612392463
ACH-000018,-0.17319974127431267
ACH-000019,-0.2131279376422341
ACH-000021,-0.057564523327094975
ACH-000022,-0.17210344875883413
ACH-000025,-0.19134077337873887
ACH-000028,-0.12869262474126233
ACH-000030,-0.1841414490900196
ACH-000035,-0.1860139955513846
ACH-000036,-0.20398694691683086
ACH-000037,-0.029933644271178395
ACH-000039,-0.2862630804012427
ACH-000040,-0.12290539918327907
ACH-000041,-0.300512921019197
ACH-000042,-0.060193360843985175
ACH-000045,-0.20171397149137146
ACH-000047,-0.1155709279925338
ACH-000052,0.008405936507448877
ACH-000053,-0.20543631690677094
ACH-000054,-0.09442521554783166
ACH-000055,-0.3170358868961373
ACH-000060,-0.18286636874394296
ACH-000067,-0.3058759046134335
ACH-000070,-0.26868167995900993
ACH-000075,-0.15200554766411706
ACH-000078,-0.2850728798248694
ACH-000082,-0.17090715115658905
ACH-000085,-0.02396241583410454
ACH-000086,-0.2709451729320045
ACH-000087,-0.01845084357627055
ACH-000092,-0.20444150150056775
ACH-000095,-0.23931766219946796
ACH-000097,-0.28662305668608845
ACH-000098,-0.2674111456202656
ACH-000099,-0.12903929863798566
ACH-000108,-0.1266398195926937
ACH-000113,-0.07102775458730609
ACH-000116,-0.3062460702165219
ACH-000118,-0.25835517978444883
ACH-000120,-0.29733382118130924
ACH-000123,-0.04342148520980282
ACH-000127,-0.10011524894339872
ACH-000128,-0.21608788128225087
ACH-000132,-0.17826039464941892
ACH-000133,-0.17797520566287325
ACH-000137,-0.05645352852794165
ACH-000138,-0.2857160492052829
ACH-000142,-0.2412706301381276
ACH-000143,-0.2670537303297422
ACH-000146,-0.2017878144977307
ACH-000148,-0.2077168973228484
ACH-000150,-0.23177667029571056
ACH-000152,-0.18298194332780648
ACH-000153,0.08413367881024593
ACH-000159,-0.2505331564053846
ACH-000160,-0.4100516810989346
ACH-000163,-0.17216986995756267
ACH-000167,-0.06465001852903626
ACH-000168,-0.13150369661946162
ACH-000169,-0.11343523150369653
ACH-000178,-0.2041084311774305
ACH-000183,-0.11715504139184592
ACH-000188,-0.30213914680328663
ACH-000189,-0.4583681483511774
ACH-000190,-0.042804358684177
ACH-000198,-0.16645610192000335
ACH-000203,-0.08727972264605187
ACH-000204,0.02704952409079717
ACH-000206,-0.20680876712387106
ACH-000207,0.006497691429475795
ACH-000208,0.000316562829995236
ACH-000210,-0.5483079060579462
ACH-000211,-0.21766348551340808
ACH-000215,-0.08919394985542681
ACH-000221,-0.2360990300385373
ACH-000222,-0.21125958031554445
ACH-000223,-0.16578089870152746
ACH-000226,-0.2365884947101697
ACH-000227,-0.31715320620252363
ACH-000228,-0.22477707046410292
ACH-000231,-0.16292535507085193
ACH-000232,-0.16041606249472198
ACH-000233,-0.08140727552544487
ACH-000234,-0.2153091335248953
ACH-000235,-0.18765879598479576
ACH-000237,-0.13622534190527813
ACH-000238,-0.4959089048270472
ACH-000242,0.4109694308466669
ACH-000243,-0.383320182965798
ACH-000244,0.04205889512613961
ACH-000246,-0.10651308170735332
ACH-000248,-0.4521772800343252
ACH-000250,-0.15126228609767073
ACH-000251,-0.07265956948844317
ACH-000252,-0.17772142152898365
ACH-000253,-0.2456849351825968
ACH-000255,-0.24237202089237725
ACH-000256,-0.3016154545219549
ACH-000257,-0.2162064445747554
ACH-000258,-0.3631299601371986
ACH-000259,-0.0757356848661596
ACH-000260,-0.11556662966752662
ACH-000261,-0.20392909779341967
ACH-000262,-0.4783330901518032
ACH-000263,-0.04804091824902715
ACH-000264,-0.2478356789528267
ACH-000265,-0.08947295640999522
ACH-000266,-0.14192682074880636
ACH-000272,-0.08933929758048709
ACH-000274,-0.4075460845765709
ACH-000277,0.01654000706606005
ACH-000278,-0.10945459276119623
ACH-000279,-0.26576883113650834
ACH-000280,-0.18056984473983315
ACH-000281,-0.019740929977263462
ACH-000288,-0.24528604753995004
ACH-000291,-0.31226968926810666
ACH-000293,-0.3448170502914549
ACH-000294,-0.18618833881235386
ACH-000295,-0.13180797480833706
ACH-000296,-0.04679729500864361
ACH-000302,-0.16892530749146925
ACH-000304,-0.3990983458785247
ACH-000307,-0.23850134680670734
ACH-000308,-0.11532247432120615
ACH-000310,-0.2371122169322833
ACH-000311,-0.13996217594376034
ACH-000312,-0.14080613791830704
ACH-000315,-0.11635606150196615
ACH-000316,-0.23802533455578725
ACH-000317,-0.16561490542672416
ACH-000318,-0.3980590922379553
ACH-000319,-0.31491339409960983
ACH-000320,-0.15869190396268287
ACH-000322,-0.07781447084315049
ACH-000323,-0.4124981364883446
ACH-000324,-0.22864596260006706
ACH-000329,-0.08340753728499374
ACH-000330,-0.18906939765936484
ACH-000331,-0.24287858326200304
ACH-000332,-0.22479998487127575
ACH-000334,-0.04751409780740835
ACH-000335,-0.023380430505525088
ACH-000336,-0.11031921774528512
ACH-000337,-0.4383553774898313
ACH-000338,0.21283472868515954
ACH-000339,-0.2393233696093648
ACH-000341,-0.2621705879343267
ACH-000348,-0.1767173675763206
ACH-000350,-0.15634418183412332
ACH-000352,0.007165069834234848
ACH-000356,-0.4434679448871667
ACH-000361,-0.16695246365634026
ACH-000362,-0.1400289830204438
ACH-000363,-0.11701550994894434
ACH-000364,0.05122015426048094
ACH-000365,-0.16679715114473367
ACH-000366,-0.17428884141751153
ACH-000368,-0.17214772011240867
ACH-000374,-0.16906397517764618
ACH-000375,-0.07652174592240424
ACH-000376,-0.091200165269438
ACH-000381,-0.21228519230237294
ACH-000383,-0.10372115838832567
ACH-000387,-0.13805349410557788
ACH-000389,0.12623164129019124
ACH-000390,-0.13352303460301862
ACH-000393,-0.08348921943889917
ACH-000395,-0.15147472850414048
