,MAG (4099)
ACH-000004,-0.2342937463960646
ACH-000005,-0.2832911099871584
ACH-000007,-0.10391636045763317
ACH-000009,-0.13181062385109354
ACH-000011,-0.07365017262157261
ACH-000012,-0.19640484839761504
ACH-000013,-0.41104012290934
ACH-000014,-0.26628142603005617
ACH-000015,-0.3247758520397431
ACH-000017,-0.08948515839644257
ACH-000018,-0.12621453708017755
ACH-000019,-0.112614720373384
ACH-000021,-0.2944345329948833
ACH-000022,-0.32507938829703026
ACH-000025,-0.11507748879286295
ACH-000028,-0.18845990224939702
ACH-000030,-0.2250007909461186
ACH-000035,-0.2274997556836971
ACH-000036,-0.24469770446524744
ACH-000037,-0.11361133728948784
ACH-000039,-0.2896083442048167
ACH-000040,-0.08575314324133365
ACH-000041,-0.25909836193716396
ACH-000042,-0.1957962000399383
ACH-000045,-0.2074216721584144
ACH-000047,-0.1671284120632332
ACH-000052,-0.2314710128894789
ACH-000053,-0.2176571623728027
ACH-000054,-0.10667767947164558
ACH-000055,-0.2650648882847888
ACH-000060,-0.06958826631793391
ACH-000067,-0.1650229387739268
ACH-000070,-0.14600576355804942
ACH-000075,-0.2134709968297001
ACH-000078,-0.2278188392498456
ACH-000082,-0.09144252329387197
ACH-000085,-0.059262575062471685
ACH-000086,-0.2184351572055805
ACH-000087,-0.12063905825599205
ACH-000092,-0.29898144682332284
ACH-000095,-0.17154319553837674
ACH-000097,-0.3409043466618084
ACH-000098,-0.27730134496233244
ACH-000099,-0.16503136936730564
ACH-000108,-0.1872802936790522
ACH-000113,-0.2415946176892011
ACH-000116,-0.08171731152971977
ACH-000118,-0.26093629361694165
ACH-000120,-0.117315935763059
ACH-000123,-0.2438067964022681
ACH-000127,-0.11800140253623034
ACH-000128,-0.1419419746802768
ACH-000132,-0.1146776862479224
ACH-000133,-0.1827341506767573
ACH-000137,-0.3795049835657506
ACH-000138,-0.3426775014124871
ACH-000142,-0.2692274607495839
ACH-000143,-0.28856793684906323
ACH-000146,-0.020650479733904104
ACH-000148,-0.1056870668901963
ACH-000150,-0.18589543443120998
ACH-000152,-0.2416121032894958
ACH-000153,-0.4481381872334264
ACH-000159,-0.3399645743804294
ACH-000160,-0.13238865936782118
ACH-000163,-0.21550318163370866
ACH-000167,-0.2952875093213493
ACH-000168,-0.2881318778741265
ACH-000169,0.07490611438854597
ACH-000178,-0.16805364340812726
ACH-000183,-0.2054919038317484
ACH-000188,-0.2504398480310226
ACH-000189,-0.16971647827521666
ACH-000190,-0.16164949401483214
