,UBR4 (23352)
ACH-000004,-0.8065223632031757
ACH-000005,-0.5601964929869119
ACH-000007,-0.989766348342648
ACH-000009,-0.9851761480657996
ACH-000011,-0.27090919887998943
ACH-000012,-1.0768022255831011
ACH-000013,-0.986335491870396
ACH-000014,-1.169268576104744
ACH-000015,-0.8609141142848776
ACH-000017,-1.0723401706227067
ACH-000018,-1.1071723018559712
ACH-000019,-0.8278639409051946
ACH-000021,-0.8131145455021641
ACH-000022,-1.023684551525691
ACH-000025,-1.0342780955203963
ACH-000028,-1.1748675865096607
ACH-000030,-1.0900793401961122
ACH-000035,-0.967004596788388
ACH-000036,-1.0280533621709094
ACH-000037,-0.9850583192897456
ACH-000039,-0.707862275128707
ACH-000040,-1.12822504411824
ACH-000041,-0.6809394649011334
ACH-000042,-0.9887834693950802
ACH-000045,-0.2483093485254718
ACH-000047,-0.9645985772887774
ACH-000052,-0.8727619362328626
ACH-000053,-0.6436913430503906
ACH-000054,-0.8901505084844855
ACH-000055,-0.8166647722520829
ACH-000060,-1.2850978722515614
ACH-000067,-1.1313551736794871
ACH-000070,-0.3758912336621124
ACH-000075,-0.8487822515471111
ACH-000078,-0.6559473097571041
ACH-000082,-0.9682015228947928
ACH-000085,-0.9051391827178268
ACH-000086,-0.8585834911077367
ACH-000087,-0.9532359423240916
ACH-000092,-1.153509570780197
ACH-000095,-0.8628931621648853
ACH-000097,-1.2757722373460187
ACH-000098,-1.0500556402018055
ACH-000099,-0.5972285061290741
ACH-000108,-0.8626394534901942
ACH-000113,-1.0238590980990552
ACH-000116,-1.096904647873234
ACH-000118,-1.0177606848097065
ACH-000120,-0.8707473715538213
ACH-000123,-1.1057046093119016
ACH-000127,-1.0590762186904348
ACH-000128,-0.5840766375214623
ACH-000132,-1.007090124887891
ACH-000133,-0.9943126962203112
ACH-000137,-0.7421985892947808
ACH-000138,-0.6649583456324922
ACH-000142,-1.0521605006280812
ACH-000143,-1.0253104261243289
ACH-000146,-0.5664764153222186
ACH-000148,-0.9374548840523068
ACH-000150,-1.3213641482907987
ACH-000152,-0.9482313849861376
ACH-000153,-0.9364984288553324
ACH-000159,-0.3789617584109939
ACH-000160,-1.0369808826473417
ACH-000163,-1.027914721881191
ACH-000167,-0.5505621946727799
ACH-000168,-0.3479324662927735
ACH-000169,-0.9001212389596209
ACH-000178,-0.5392586116973592
ACH-000183,-1.1330917805015872
ACH-000188,-1.154659941448952
ACH-000189,-0.6577057644014946
ACH-000190,-1.1982195105239692
ACH-000198,-1.0451566071540934
ACH-000203,-1.2560856557030609
ACH-000204,-1.1474190464356748
ACH-000206,-0.8336648461688221
ACH-000207,-1.0308237176754058
ACH-000208,-1.278665708588432
ACH-000210,-0.7875799826591765
ACH-000211,-0.7331939423276348
ACH-000215,-1.1238207844928765
ACH-000221,-0.8688794693170768
ACH-000222,-1.1085795613505918
ACH-000223,-1.109623398800777
ACH-000226,-0.754361565017568
ACH-000227,-0.6648928543391595
ACH-000228,-1.0971398046225078
ACH-000231,-0.8329729380778809
ACH-000232,-0.723342226962495
ACH-000233,-0.7003817034381582
ACH-000234,-0.6612714089458663
ACH-000235,-0.7076935834822038
ACH-000237,-1.059718677523699
ACH-000238,-1.1966561191725371
ACH-000242,-1.121910980508759
ACH-000243,-1.0719378404283828
ACH-000244,-1.068136241121341
ACH-000246,-0.9791021675334386
ACH-000248,-1.0311860778378028
ACH-000250,-0.7600339534963862
ACH-000251,-0.9307668478148128
ACH-000252,-1.0545630406370732
ACH-000253,-0.5789339475959521
ACH-000255,-0.8616604892086522
ACH-000256,-0.8616082044312264
ACH-000257,-0.7981124671872677
ACH-000258,-0.7816467284011334
ACH-000259,-0.6877005282900571
ACH-000260,-1.0855400858861144
ACH-000261,-0.9027972740718812
ACH-000262,-0.949006540691246
ACH-000263,-0.9201443406479932
ACH-000264,-0.5044499273776861
ACH-000265,-0.7616356898290172
ACH-000266,-0.7702197013803554
ACH-000272,-0.6733008642071754
ACH-000274,-0.833810942246258
ACH-000277,-1.3257295717381157
ACH-000278,-0.9731412877458248
ACH-000279,-0.8897157759818268
ACH-000280,-0.9359764230662416
ACH-000281,-0.6570097892936331
ACH-000288,-0.999584963133076
ACH-000291,-1.0036034056237526
ACH-000293,-0.6945361613061416
ACH-000294,0.04265922089313998
ACH-000295,-0.7806551616075462
ACH-000296,-0.6708675625306953
ACH-000302,-0.6607228416278915
ACH-000304,-0.7248473775770102
ACH-000307,-0.8592333034067022
ACH-000308,-1.1325357941099536
ACH-000310,-0.4916720206668089
ACH-000311,-0.8807261051217298
ACH-000312,-0.6634855218067749
ACH-000315,-0.5492595470066715
ACH-000316,-0.9298717683280308
ACH-000317,-1.2938811069314922
ACH-000318,-0.8900576385866187
ACH-000319,-0.7654678513011479
ACH-000320,-1.1214432804280543
ACH-000322,-1.0911957992212196
ACH-000323,-1.1605563956122875
ACH-000324,-0.5848294073965856
ACH-000329,-0.8580166271362439
ACH-000330,-1.1414764743478631
ACH-000331,-1.1479820808723646
ACH-000332,-0.6717234513410026
ACH-000334,-0.4783255874461344
ACH-000335,-0.9100516160962856
