,OR6M1 (390261)
ACH-000004,0.048900852495371634
ACH-000005,-0.04599700355424361
ACH-000007,0.12402880631703828
ACH-000009,-0.012386646259795868
ACH-000011,-0.008506304935375134
ACH-000012,0.03317109018838617
ACH-000013,0.044463863499223766
ACH-000014,0.13394234354824666
ACH-000015,0.0007400143865684174
ACH-000017,0.12794792400048974
ACH-000018,0.0906599323431714
ACH-000019,0.1144990234857499
ACH-000021,0.10300755970948744
ACH-000022,0.037868067458787916
ACH-000025,0.10464452710943242
ACH-000028,0.040844334205367885
ACH-000030,0.1292039859981832
ACH-000035,0.1303699797166315
ACH-000036,0.20686434198011835
ACH-000037,0.042301771164750736
ACH-000039,0.12787584845925046
ACH-000040,0.0630837969946589
ACH-000041,-0.09151986757624446
ACH-000042,0.10204931889586696
ACH-000045,0.14052543457243566
ACH-000047,-0.024654874721660985
ACH-000052,0.02399806562503741
ACH-000053,0.10709622362239933
ACH-000054,0.05417526037521423
ACH-000055,-0.060416013699788024
ACH-000060,0.1491647632453772
ACH-000067,0.1297626047389795
ACH-000070,0.05844128037234642
ACH-000075,0.1296111127838254
ACH-000078,-0.009248217361091262
ACH-000082,0.12827441035315632
ACH-000085,0.01683105172518514
ACH-000086,0.04410619710904222
ACH-000087,-0.039965699134173215
ACH-000092,0.14229294646352889
ACH-000095,-0.003581328562950774
ACH-000097,0.08582080257657285
ACH-000098,0.14787232019293625
ACH-000099,0.07554967100061995
ACH-000108,0.08464162903587122
ACH-000113,0.059313162472253225
ACH-000116,-0.0327166660628007
ACH-000118,0.053740378136916116
ACH-000120,0.03411522102167331
ACH-000123,0.009018642111438815
ACH-000127,0.14006244357956418
ACH-000128,0.3226798068427608
ACH-000132,-0.00454730073779645
ACH-000133,0.06415966206671994
ACH-000137,0.01228444495788305
ACH-000138,-0.049933852757743966
ACH-000142,0.14486155220649666
ACH-000143,0.19219521313353027
ACH-000146,0.07351083609071525
ACH-000148,0.053850268474401886
ACH-000150,0.13352040393797993
ACH-000152,0.010655568273501918
ACH-000153,0.03533794939759626
ACH-000159,0.12456643928164993
ACH-000160,0.0561412390852423
ACH-000163,-0.026735414849160068
ACH-000167,-0.08366447453217507
ACH-000168,-0.03787259458631816
ACH-000169,0.07443440731457902
ACH-000178,0.09356584702465426
ACH-000183,0.13458769391256775
ACH-000188,-0.014752412792634463
ACH-000189,-0.15681810651569605
ACH-000190,0.06434052179010076
ACH-000198,0.14584740623101097
ACH-000203,0.02571324743958183
ACH-000204,0.04240008139088677
ACH-000206,0.09455019375905784
ACH-000207,0.013189506275034471
ACH-000208,0.05892986091523364
ACH-000210,0.11133602185365826
ACH-000211,0.08259050639441537
ACH-000215,0.08936919920748998
ACH-000221,0.035198417963852285
ACH-000222,0.055660825404194515
ACH-000223,-0.013358449582991521
ACH-000226,0.019011090777799725
ACH-000227,0.059485741982535326
ACH-000228,0.04856807081897378
ACH-000231,0.061818376704236365
ACH-000232,0.09202906019215712
ACH-000233,-0.008168786245100564
ACH-000234,0.04886283587882812
ACH-000235,0.10209750598820327
ACH-000237,0.02612373570173269
ACH-000238,0.08077459577723581
ACH-000242,0.02841761890309665
ACH-000243,0.0713099497968289
ACH-000244,-0.1807778497726185
ACH-000246,0.05578503342249469
ACH-000248,-0.007328596020129783
ACH-000250,0.09033264741255677
ACH-000251,0.2976926484987013
ACH-000252,-0.20604666912607814
ACH-000253,0.11648359963174652
ACH-000255,0.15975737252048305
ACH-000256,0.09336439257199047
ACH-000257,0.16990575593902318
ACH-000258,-0.031765964133320515
ACH-000259,0.056417491923517984
ACH-000260,0.08472239679145277
ACH-000261,0.11817672702567435
ACH-000262,0.061918818684593875
ACH-000263,0.03593514221368888
ACH-000264,0.08839119769204871
ACH-000265,0.12426951108406215
ACH-000266,0.05166243524677653
ACH-000272,0.0034061835705452483
ACH-000274,-0.012234129680114671
ACH-000277,0.0667734055532024
ACH-000278,0.1084581594341547
ACH-000279,-0.0057945017354032
ACH-000280,0.13153446681780834
ACH-000281,0.10864744859614486
ACH-000288,0.03453897045999161
ACH-000291,0.0983648994608683
ACH-000293,0.20548836981934854
ACH-000294,0.0507200086336767
ACH-000295,0.0647818794386536
ACH-000296,0.029079801944951886
ACH-000302,0.1712353444453084
ACH-000304,0.07650975642462747
ACH-000307,0.09914329382424744
ACH-000308,0.04218229755705708
ACH-000310,0.04931210419282628
ACH-000311,0.079302499168014
ACH-000312,0.0028778721806573784
