,OTUD3 (23252)
ACH-000004,-0.08538753247757057
ACH-000005,0.2641823566143681
ACH-000007,-0.06250333362508728
ACH-000009,-0.008723642992570927
ACH-000011,0.015693873953377006
ACH-000012,-0.04800437443718515
ACH-000013,-0.0660589710852811
ACH-000014,-0.21527142205316935
ACH-000015,-0.08392596156895588
ACH-000017,0.022665404002601426
ACH-000018,-0.029802261405847512
ACH-000019,-0.05315624956111598
ACH-000021,-0.10797489379616956
ACH-000022,-0.06062805819050598
ACH-000025,0.009703730509372977
ACH-000028,-0.0629418159793464
ACH-000030,-0.017488730348693984
ACH-000035,-0.19880212422977533
ACH-000036,-0.1628231417168188
ACH-000037,-0.30471749833705297
ACH-000039,-0.14351125112440274
ACH-000040,-0.2559876206370885
ACH-000041,-0.3432992804945635
ACH-000042,-0.06110883211773392
ACH-000045,-0.11360178285534987
ACH-000047,-0.05380165411258246
ACH-000052,0.06811534564808683
ACH-000053,-0.0717766267342302
ACH-000054,-0.03846127684834095
ACH-000055,0.083123360462688
ACH-000060,-0.13301555181196464
ACH-000067,-0.04980352579696689
ACH-000070,0.07554491744738145
ACH-000075,-0.40231567318813066
ACH-000078,-0.12411181608810558
ACH-000082,-0.007697819345681622
ACH-000085,-0.29433327655512204
ACH-000086,-0.06501671297518027
ACH-000087,0.005492592017508894
ACH-000092,-0.12749297258788006
ACH-000095,-0.06681300065158306
ACH-000097,-0.18429544044524787
ACH-000098,-0.03512274667504976
ACH-000099,-0.12468769192009313
ACH-000108,-0.18557855533949705
ACH-000113,-0.0981501396425256
ACH-000116,-0.07639898565115398
ACH-000118,-0.037848695773408235
ACH-000120,0.03635198160993364
ACH-000123,-0.1368670197451544
ACH-000127,-0.03910164144886254
ACH-000128,-0.21271122227939968
ACH-000132,-0.10068038579700518
ACH-000133,-0.19939795339615904
ACH-000137,-0.03419992885913331
ACH-000138,-0.1280076493449724
ACH-000142,-0.10151514469453768
ACH-000143,-0.20453335830967426
ACH-000146,-0.13114347675122615
ACH-000148,-0.08639941157268738
ACH-000150,-0.2615752715679021
ACH-000152,0.01573208875843958
ACH-000153,-0.10043073919872078
ACH-000159,-0.20182138624323345
ACH-000160,-0.10768167868208096
ACH-000163,-0.024209495915731776
ACH-000167,-0.1404301103149104
ACH-000168,-0.22862299123808044
ACH-000169,-0.07164995145702717
ACH-000178,-0.0844812184485223
ACH-000183,-0.15088213031270215
ACH-000188,-0.16141592307426605
ACH-000189,-0.4146426472079589
