,SPRR2G (6706)
ACH-000004,-0.3532213653866021
ACH-000005,-0.01148676745529718
ACH-000007,-0.22009324039401934
ACH-000009,-0.375844242569326
ACH-000011,-0.37228526060207545
ACH-000012,-0.19497901252336705
ACH-000013,-0.17369747323199636
ACH-000014,-0.2601496217787026
ACH-000015,-0.1452387730743962
ACH-000017,-0.30929703998378305
ACH-000018,-0.2006795074438488
ACH-000019,-0.20811596390472048
ACH-000021,-0.30350089090325283
ACH-000022,-0.06372283381825722
ACH-000025,-0.3743172255595431
ACH-000028,-0.24602100472227426
ACH-000030,-0.17616123954065632
ACH-000035,-0.012327765083588859
ACH-000036,-0.3187336034873842
ACH-000037,-0.32700387540010795
ACH-000039,-0.1720078072134513
ACH-000040,-0.3284427552764978
ACH-000041,-0.10981455814505638
ACH-000042,-0.18022867506751986
ACH-000045,-0.21844605356221355
ACH-000047,-0.11262631729991092
ACH-000052,-0.2096344630009964
ACH-000053,-0.22537884825836
ACH-000054,-0.4228710553740477
ACH-000055,-0.15279163691745248
ACH-000060,-0.2104342067633272
ACH-000067,-0.1797986297917952
ACH-000070,-0.3455587783753903
ACH-000075,-0.4070634786709364
ACH-000078,-0.2676721953607532
ACH-000082,-0.3210271772605253
ACH-000085,-0.004437624048836646
ACH-000086,-0.4499013633606143
ACH-000087,-0.2725458569748025
ACH-000092,-0.3534085466735265
ACH-000095,-0.15229480806648069
ACH-000097,-0.4795694449730586
ACH-000098,-0.27423765880679324
ACH-000099,-0.17560628494817032
ACH-000108,-0.13369435784919334
ACH-000113,-0.16789899276772766
ACH-000116,-0.24805612351310916
ACH-000118,-0.2391121505417436
ACH-000120,-0.28163245013857385
ACH-000123,-0.3155834137491398
ACH-000127,-0.2759063649316015
ACH-000128,-0.3742456584612169
ACH-000132,-0.1274404095523599
ACH-000133,-0.2731347431985135
ACH-000137,-0.4012453912302469
ACH-000138,-0.1595157394444777
ACH-000142,-0.21482960673448884
ACH-000143,-0.4625428065310892
ACH-000146,-0.3870770433498901
ACH-000148,-0.3271098796986851
ACH-000150,-0.3013515192240885
ACH-000152,-0.1815335839018738
ACH-000153,-0.6000739690845519
ACH-000159,-0.3350471274316591
ACH-000160,-0.2165869520614421
ACH-000163,-0.3208125748664684
ACH-000167,-0.3268018923853969
ACH-000168,-0.2779091772275521
ACH-000169,-0.25094213844974694
ACH-000178,-0.1811461115048318
ACH-000183,-0.10971790688598104
ACH-000188,-0.16879159625800666
ACH-000189,-0.2377347964854865
ACH-000190,-0.2634710146481902
ACH-000198,-0.2230734532796672
ACH-000203,-0.3482926546398964
ACH-000204,-0.2894480296381691
ACH-000206,-0.3141146042899222
ACH-000207,-0.2909120429920146
ACH-000208,-0.3621715681493233
ACH-000210,-0.12650843340628706
ACH-000211,-0.31546058023798673
ACH-000215,-0.35433073221590977
ACH-000221,-0.3144355668033066
ACH-000222,-0.4437293222831536
ACH-000223,-0.20823185596924346
ACH-000226,-0.4576263535070568
ACH-000227,-0.2180711855181188
ACH-000228,-0.3278613247277056
ACH-000231,-0.18650777062692012
ACH-000232,-0.14611233409972366
ACH-000233,-0.23443511729373345
ACH-000234,-0.3010157276233684
ACH-000235,-0.3263008690948833
ACH-000237,-0.3814514351129321
ACH-000238,-0.20913323711158996
ACH-000242,-0.10876331694137903
ACH-000243,-0.3192919093933625
ACH-000244,-0.273093149740144
ACH-000246,-0.24509831150535155
ACH-000248,-0.1448329089407695
ACH-000250,-0.24082957711939285
ACH-000251,-0.13433213875828914
ACH-000252,-0.3244758733469492
ACH-000253,-0.30956386940468034
ACH-000255,-0.2550731980209855
ACH-000256,-0.20796308564986707
ACH-000257,-0.03917601993031434
ACH-000258,-0.4021802138320027
ACH-000259,-0.2991057509092357
ACH-000260,-0.16427980280219814
ACH-000261,-0.1306329694956344
ACH-000262,-0.3579100699665864
ACH-000263,-0.4471915691021253
ACH-000264,-0.35773907242088343
ACH-000265,-0.12801631841364605
ACH-000266,-0.2723249954044708
ACH-000272,-0.2581293866953011
