,NFX1 (4799)
ACH-000004,-0.16697452421904924
ACH-000005,-0.3346028025186116
ACH-000007,-0.14881407410093814
ACH-000009,-0.17149093528964232
ACH-000011,0.10360761457997687
ACH-000012,0.10197548592983577
ACH-000013,-0.04544484634026755
ACH-000014,-0.09643954749992108
ACH-000015,-0.14289139146353755
ACH-000017,-0.021005195480339068
ACH-000018,-0.049008981346393775
ACH-000019,0.17025656174607526
ACH-000021,-0.0840468291788568
ACH-000022,-0.16197621932666156
ACH-000025,-0.03692978675833091
ACH-000028,-0.010027290848578991
ACH-000030,-0.12296358249280673
ACH-000035,-0.052522768604582895
ACH-000036,-0.05261168294160571
ACH-000037,0.007652201837392017
ACH-000039,0.07554243837938038
ACH-000040,-0.042640233158804455
ACH-000041,-0.2117286905252955
ACH-000042,-0.12020656800509524
ACH-000045,-0.12068616016766398
ACH-000047,-0.042243494506923926
ACH-000052,-0.09919429009432568
ACH-000053,-0.0340405463744011
ACH-000054,0.03992855012387418
ACH-000055,0.14084534822692582
ACH-000060,-0.13006464712966567
ACH-000067,-0.23177092365293225
ACH-000070,-0.20722836143407924
ACH-000075,-0.0019703520548576573
ACH-000078,-0.09276893724952856
ACH-000082,-0.0019405907607127012
ACH-000085,-0.0967759621248204
ACH-000086,-0.1333854132348556
ACH-000087,-0.119795168956898
ACH-000092,-0.1270604802471564
ACH-000095,-0.0785121151347895
ACH-000097,-0.017277226858828352
ACH-000098,-0.1510049869685348
ACH-000099,-0.03671497796727418
ACH-000108,0.04288510588321418
ACH-000113,-0.050929587373046266
ACH-000116,-0.02535938476033597
ACH-000118,-0.08222962643964722
ACH-000120,0.18134836659589332
ACH-000123,-0.451394844584364
ACH-000127,0.000651544762925343
ACH-000128,0.09924885138157237
ACH-000132,-0.0794681653643445
ACH-000133,-0.12145420594636487
ACH-000137,-0.015169293969207612
ACH-000138,-0.16711835256309893
ACH-000142,0.051253023147376266
ACH-000143,-0.11195886028262074
ACH-000146,0.002076560462991086
ACH-000148,-0.05489574089730588
ACH-000150,-0.0032828765741778226
ACH-000152,-0.06281173768364738
ACH-000153,0.29462597796878925
ACH-000159,-0.06716440915005857
ACH-000160,0.2142255422396335
ACH-000163,-0.1580248090916711
ACH-000167,0.5377929983061099
ACH-000168,-0.058801765240565775
ACH-000169,-0.0628784592259434
ACH-000178,-0.052127772888100866
ACH-000183,-0.05291565222819715
ACH-000188,-0.13494612242914109
ACH-000189,0.0927909949993421
ACH-000190,0.22549752694749314
ACH-000198,0.010448818478847521
ACH-000203,-0.23647649132704496
ACH-000204,-0.010056651143177593
ACH-000206,-0.13247462511407465
ACH-000207,-0.21397442968635846
ACH-000208,-0.15759590511288835
ACH-000210,0.058827179731935623
ACH-000211,-0.03459681253213121
ACH-000215,-0.1545691863390106
ACH-000221,-0.22411955456192106
ACH-000222,-0.15197641303798856
ACH-000223,-0.024989093216282367
ACH-000226,-0.057746856124331974
ACH-000227,-0.04463803326032673
ACH-000228,-0.16663115224218836
ACH-000231,-0.11053635515078243
ACH-000232,-0.04224557050026809
ACH-000233,0.08821637938525234
ACH-000234,-0.0063730627752084535
ACH-000235,-0.011641900805749542
ACH-000237,0.01478561806278464
ACH-000238,-0.08804617214624111
ACH-000242,-0.011262623461058323
ACH-000243,-0.09723786212587997
ACH-000244,-0.1320808200317826
ACH-000246,-0.06895286326169077
ACH-000248,-0.1460950206074261
ACH-000250,-0.03403238402242308
ACH-000251,-0.019614264718064416
ACH-000252,0.16981781263593484
ACH-000253,-0.09981070297716207
ACH-000255,-0.04067014323168814
ACH-000256,-0.1173132721243772
ACH-000257,-0.16894267779147196
ACH-000258,-0.0270100591381743
ACH-000259,0.041282237235124135
ACH-000260,-0.004877953826287007
ACH-000261,-0.030357560638886037
ACH-000262,-0.15452944340245575
