,MSH2 (4436)
ACH-000004,-0.2318081434266997
ACH-000005,-0.09452033269858626
ACH-000007,-0.2257683012255647
ACH-000009,-0.2640157610327121
ACH-000011,-0.1961371046474147
ACH-000012,-0.260376195380922
ACH-000013,-0.2201611473739993
ACH-000014,-0.19453371550293924
ACH-000015,-0.10064525993204106
ACH-000017,-0.22958311562344325
ACH-000018,-0.2202835795685456
ACH-000019,-0.20856995873915407
ACH-000021,-0.1498132038304522
ACH-000022,-0.30761137123901605
ACH-000025,-0.19615449159243065
ACH-000028,-0.3144241076111988
ACH-000030,-0.20140186886523875
ACH-000035,-0.08545783088905999
ACH-000036,-0.3548835492386703
ACH-000037,-0.21737642627360665
ACH-000039,0.07396510775475773
ACH-000040,-0.22186423048686
ACH-000041,-0.178168973102618
ACH-000042,-0.3014110984702428
ACH-000045,-0.1550326377012479
ACH-000047,-0.3085772908001852
ACH-000052,-0.2312750940333181
ACH-000053,-0.2111519026133284
ACH-000054,-0.1687792302531128
ACH-000055,-0.1960559015785888
ACH-000060,-0.2387163588659587
ACH-000067,-0.1773329361712031
ACH-000070,-0.16203297114194304
ACH-000075,-0.35561866310023205
ACH-000078,-0.3119161151037135
ACH-000082,-0.2477740990423556
ACH-000085,-0.007576926637660672
ACH-000086,-0.2914515905529022
ACH-000087,-0.0034939808299324663
ACH-000092,-0.3790802582220419
ACH-000095,-0.17574099593889486
ACH-000097,-0.22568508837755194
ACH-000098,-0.1977976845578512
ACH-000099,-0.1926841116760677
ACH-000108,-0.06442850847138791
ACH-000113,-0.16664264939024398
ACH-000116,-0.26993157740829943
ACH-000118,-0.11582831789052304
ACH-000120,-0.3327938767419579
ACH-000123,-0.25915346054108096
ACH-000127,-0.14537838685513102
ACH-000128,-0.2785620889037019
ACH-000132,-0.21997103145153274
ACH-000133,-0.15872762923351166
ACH-000137,-0.13267919227323954
ACH-000138,-0.13707546181711566
ACH-000142,-0.15847003825299236
ACH-000143,-0.08088269485421101
ACH-000146,-0.12773809097664432
ACH-000148,-0.19250772852051087
ACH-000150,-0.15501333966669914
ACH-000152,-0.17531761630694154
ACH-000153,-0.17078313651632918
ACH-000159,-0.17252754826052435
ACH-000160,-0.2050166815146308
ACH-000163,-0.16732539381137507
ACH-000167,-0.12466884452152835
ACH-000168,-0.11342397592828747
ACH-000169,-0.16172224093671453
ACH-000178,-0.13920817954836942
ACH-000183,-0.23031666307159196
ACH-000188,-0.1407968866463985
ACH-000189,-0.4861153575925106
ACH-000190,-0.1860068245626033
ACH-000198,-0.11224136456713378
ACH-000203,-0.1827695569866712
ACH-000204,-0.18426961399090847
ACH-000206,-0.11646596535315668
ACH-000207,-0.29323998356242664
ACH-000208,-0.1091068589694451
ACH-000210,-0.11042228123681694
ACH-000211,-0.18859647838769447
ACH-000215,-0.3000024775707396
ACH-000221,-0.04946528593074075
ACH-000222,-0.19814513020965369
ACH-000223,-0.2896184849357833
ACH-000226,-0.18470687860722726
ACH-000227,-0.3239043575186466
ACH-000228,-0.1838784909115801
ACH-000231,-0.12553924376926992
ACH-000232,-0.16025743051699165
ACH-000233,-0.2391796393500994
ACH-000234,-0.1847123095940248
ACH-000235,-0.13885580251468135
ACH-000237,-0.19141905501974574
ACH-000238,-0.19509805709768666
ACH-000242,-0.13506342292945026
ACH-000243,-0.23306723782399175
ACH-000244,-0.3527627699649376
ACH-000246,-0.1269871952849603
ACH-000248,-0.2250120913610999
ACH-000250,-0.2807028979681908
ACH-000251,-0.13463836596612455
ACH-000252,-0.4391815524822693
ACH-000253,-0.1221122490353557
ACH-000255,-0.15352680553048453
ACH-000256,-0.30663828361792433
ACH-000257,-0.0852491444022332
ACH-000258,-0.06922414769067012
ACH-000259,-0.107789119945818
ACH-000260,-0.21128007229157614
ACH-000261,-0.19638928447098436
ACH-000262,-0.18318465884409613
ACH-000263,-0.3229968281872827
ACH-000264,-0.17905089908562527
ACH-000265,0.03334347495936355
ACH-000266,-0.1349856566241381
ACH-000272,-0.3510567911480713
ACH-000274,-0.26201402353662623
ACH-000277,-0.22989957072340725
ACH-000278,-0.18154664209164864
ACH-000279,-0.10619317058908187
ACH-000280,-0.09295401003313322
ACH-000281,-0.20241212737795106
ACH-000288,-0.21166990519284867
ACH-000291,-0.2011413836071294
ACH-000293,-0.18349068158668985
ACH-000294,-0.20009253319348108
