,NCK2 (8440)
ACH-000004,-0.11915096793221895
ACH-000005,-0.03341709970441746
ACH-000007,-0.036429685495499436
ACH-000009,-0.041482680585248725
ACH-000011,-0.1473185730333031
ACH-000012,-0.15705686725116313
ACH-000013,-0.0891112921620588
ACH-000014,-0.2137596270491054
ACH-000015,-0.14752229589936913
ACH-000017,-0.011131175199475271
ACH-000018,-0.16158106587319254
ACH-000019,-0.1528148660390167
ACH-000021,0.09962979617080317
ACH-000022,-0.08731875498585155
ACH-000025,-0.1293115927839434
ACH-000028,-0.06398943936516521
ACH-000030,-0.08507732989705491
ACH-000035,-0.20501481332484708
ACH-000036,-0.10024211283618688
ACH-000037,-0.08065830065993193
ACH-000039,-0.01281585215733622
ACH-000040,-0.034671468375698615
ACH-000041,-0.042561826676339336
ACH-000042,0.007915680729841553
ACH-000045,-0.03700232644810522
ACH-000047,-0.1053728711468748
ACH-000052,0.1969600144460734
ACH-000053,-0.0656796379413105
ACH-000054,-0.15221686375963622
ACH-000055,-0.02525784619010881
ACH-000060,-0.07131189010604873
ACH-000067,0.028743718477951586
ACH-000070,-0.2709686088804675
ACH-000075,-0.14846671586033786
ACH-000078,-0.1364877222719779
ACH-000082,0.0191249358505581
ACH-000085,0.025768823079091983
ACH-000086,-0.060059565388411985
ACH-000087,-0.2324645960666336
ACH-000092,-0.2277834144581004
ACH-000095,-0.020921333580520764
ACH-000097,-0.07661398832522816
ACH-000098,-0.10174120068685114
ACH-000099,-0.15981383890282255
ACH-000108,-0.088109017214638
ACH-000113,-0.1473483056635891
ACH-000116,-0.10356514553395972
ACH-000118,-0.07012368698447702
ACH-000120,-0.0709562910502324
ACH-000123,-0.06923454427349587
ACH-000127,-0.13256017682336782
ACH-000128,-0.22364166542307434
ACH-000132,-0.08145639283754935
ACH-000133,-0.09406742821280366
ACH-000137,-0.04186397891017602
ACH-000138,0.07928692011947706
ACH-000142,0.09109492910124614
ACH-000143,-0.12987452985934958
ACH-000146,-0.0790764211918709
ACH-000148,-0.031770580459081106
ACH-000150,0.02831657759700192
ACH-000152,-0.14333058254791578
ACH-000153,-0.15816941240979768
ACH-000159,-0.04426294594199253
ACH-000160,-0.17556294607460254
ACH-000163,-0.1101329342396835
ACH-000167,-0.1250076056449075
ACH-000168,-0.17021582343950029
ACH-000169,0.08293487300477925
ACH-000178,-0.023794124251633925
ACH-000183,-0.1559528180922493
ACH-000188,-0.01137208701233268
ACH-000189,-0.1112162641160018
ACH-000190,-0.11310282837166155
ACH-000198,-0.03145087199945205
ACH-000203,0.14194697024020966
ACH-000204,0.07158563202843381
ACH-000206,-0.11184523538744323
ACH-000207,-0.04721811945880932
ACH-000208,-0.24913849247207626
