,KRT6A (3853)
ACH-000004,-0.4405786913284994
ACH-000005,-0.8600315528133503
ACH-000007,-0.3254485124962023
ACH-000009,-0.15792578447653705
ACH-000011,-0.2035839572471428
ACH-000012,-0.18231672335745944
ACH-000013,-0.3218832318616827
ACH-000014,-0.1483585567338702
ACH-000015,-0.28399409395523145
ACH-000017,-0.4493100507812479
ACH-000018,-0.20768498638032545
ACH-000019,-0.36105369317383584
ACH-000021,-0.3445645458296613
ACH-000022,-0.20416251883962336
ACH-000025,-0.24020147278676904
ACH-000028,-0.3388889724176733
ACH-000030,-0.35402993636603064
ACH-000035,-0.14499343891168576
ACH-000036,-0.20203872994839253
ACH-000037,-0.2589854200455704
ACH-000039,-0.35652169909605136
ACH-000040,-0.33012650642847763
ACH-000041,-0.4174996818432544
ACH-000042,-0.3318987853475567
ACH-000045,-0.3451204339450113
ACH-000047,-0.1929349247547348
ACH-000052,-0.5109341180907792
ACH-000053,-0.2410302055579753
ACH-000054,-0.4420879611469881
ACH-000055,-0.3932687905967021
ACH-000060,-0.1678461399356085
ACH-000067,-0.32901085817959674
ACH-000070,-0.18879220353783951
ACH-000075,-0.25195499343199035
ACH-000078,-0.4120813465601728
ACH-000082,-0.24203365594913376
ACH-000085,-0.5806384716234092
ACH-000086,-0.31691607999674043
ACH-000087,-0.3732777049148415
ACH-000092,-0.2791047143637091
ACH-000095,-0.455859216701694
ACH-000097,-0.4654486173285041
ACH-000098,-0.1757538939858871
ACH-000099,-0.3925421021561216
ACH-000108,-0.2641004218587038
ACH-000113,-0.3027912716542093
ACH-000116,-0.2818215802309919
ACH-000118,-0.3621745638346556
ACH-000120,-0.4436506762015416
ACH-000123,-0.10256579707694864
ACH-000127,-0.26401838089740953
ACH-000128,-0.4203179381873373
ACH-000132,-0.2357938683243569
ACH-000133,-0.3554690498202944
ACH-000137,-0.5004579434153188
ACH-000138,-0.4424611725161853
ACH-000142,-0.1921595647763467
ACH-000143,-0.5538808150929978
ACH-000146,-0.18836156242954427
ACH-000148,-0.14531611726421462
ACH-000150,-0.2322392647526016
ACH-000152,-0.3239173311355094
ACH-000153,-0.20521592252607032
ACH-000159,-0.27918289109002004
ACH-000160,-0.34808163010524223
ACH-000163,-0.22989141595902626
ACH-000167,-0.21075446917129464
ACH-000168,-0.3023995726410357
ACH-000169,-0.14536320198837888
ACH-000178,-0.08240043621220912
ACH-000183,-0.34214879126004666
ACH-000188,-0.15885256136557988
ACH-000189,-0.1762139258584113
ACH-000190,-0.23672120966027665
ACH-000198,-0.44259792863507375
ACH-000203,0.31207320048717674
ACH-000204,-0.1986538569147505
ACH-000206,-0.3404649029608953
ACH-000207,-0.38887364699352733
ACH-000208,-0.3957650785913202
ACH-000210,-0.06035441211750155
ACH-000211,-0.36160636836258175
ACH-000215,-0.39623573949482394
ACH-000221,-0.5650201417638739
ACH-000222,-0.4746169671054173
ACH-000223,-0.2769525765605066
ACH-000226,-0.23702704354492746
ACH-000227,-0.4086532333533328
ACH-000228,-0.2745627031404708
ACH-000231,-0.28876919096720305
ACH-000232,-0.2159950797741219
ACH-000233,-0.3340463063023005
ACH-000234,-0.4477128822328594
ACH-000235,-0.3665028563879294
ACH-000237,-0.2640797601829796
ACH-000238,-0.3685852144162179
ACH-000242,-0.024975456302206482
ACH-000243,-0.3832778407200725
ACH-000244,-0.22374401360432905
ACH-000246,-0.4032879875915377
ACH-000248,-0.36406799327585376
ACH-000250,-0.2816939279694458
ACH-000251,-0.3907425594813289
ACH-000252,-0.4237239583849874
ACH-000253,-0.16079360398291656
ACH-000255,-0.20443985330238054
ACH-000256,-0.19840285706506133
ACH-000257,-0.24923035569087465
ACH-000258,-0.28023342905416176
