,COX20 (116228)
ACH-000004,-0.12684869467340038
ACH-000005,0.11844133795843215
ACH-000007,-0.17986641868854686
ACH-000009,-0.1789220030633486
ACH-000011,-0.18884315483145667
ACH-000012,-0.08981499212176852
ACH-000013,-0.06734223409540131
ACH-000014,-0.08059930709998105
ACH-000015,-0.1596828105488937
ACH-000017,-0.15327675117213566
ACH-000018,-0.2442379310382005
ACH-000019,-0.0531999633574495
ACH-000021,-0.24245831529664175
ACH-000022,-0.07214729079781979
ACH-000025,-0.2959893210500695
ACH-000028,-0.08709751464062004
ACH-000030,-0.32163196954315065
ACH-000035,-0.22401915104492665
ACH-000036,-0.0002823165646847593
ACH-000037,-0.2786065289567841
ACH-000039,-0.2944056436430513
ACH-000040,-0.2458452867751612
ACH-000041,-0.2299688648486165
ACH-000042,-0.2583141128455573
ACH-000045,-0.4687103488660129
ACH-000047,-0.2578546289449481
ACH-000052,-0.3269918489103065
ACH-000053,-0.12448809654400085
ACH-000054,-0.010348048903266543
ACH-000055,-0.27216523230696704
ACH-000060,-0.22260862573493712
ACH-000067,-0.06737165236303423
ACH-000070,-0.4056517936312398
ACH-000075,-0.3079128076371977
ACH-000078,-0.2527400862161149
ACH-000082,-0.19785614859362785
ACH-000085,-0.11499691789485475
ACH-000086,-0.33133200263430745
ACH-000087,-0.2608212754642132
ACH-000092,-0.30071146962049866
ACH-000095,-0.3259631324066451
ACH-000097,-0.054573221305020375
ACH-000098,-0.2748102939352996
ACH-000099,-0.3025283885568392
ACH-000108,-0.19947825631520988
ACH-000113,-0.5009759073119059
ACH-000116,-0.14787098150800987
ACH-000118,-0.27224499153536674
ACH-000120,-0.33649625879200024
ACH-000123,-0.2696854981013501
ACH-000127,-0.21408644961833748
ACH-000128,-0.3456460635596021
ACH-000132,-0.3626234680841446
ACH-000133,-0.2764874502535426
ACH-000137,-0.21375463207591
ACH-000138,-0.2599479791680822
ACH-000142,-0.20786556851197116
ACH-000143,-0.12460421366832833
ACH-000146,-0.29893781953336546
ACH-000148,-0.4108162998338831
ACH-000150,-0.4164507612288953
