,LCE1E (353135)
ACH-000004,-0.3996802311368701
ACH-000005,-0.08921478036398094
ACH-000007,-0.3073369896082782
ACH-000009,-0.5363983293861434
ACH-000011,-0.2632438120263993
ACH-000012,-0.2662729956853157
ACH-000013,-0.3723902206245449
ACH-000014,-0.3521142804519637
ACH-000015,-0.4648050552063034
ACH-000017,-0.32882160751318296
ACH-000018,-0.3928988910218258
ACH-000019,-0.3620007229867465
ACH-000021,-0.3605236484276607
ACH-000022,-0.4759776158088642
ACH-000025,-0.3610448946871943
ACH-000028,-0.33650219843295875
ACH-000030,-0.31158862109748703
ACH-000035,-0.36021989371904106
ACH-000036,-0.30968471094817496
ACH-000037,-0.3206096918927318
ACH-000039,-0.3860875679650112
ACH-000040,-0.4527652693231004
ACH-000041,-0.431939540275218
ACH-000042,-0.4200315526317853
ACH-000045,-0.4416310687833319
ACH-000047,-0.4584589412005463
ACH-000052,-0.6023258205657684
ACH-000053,-0.2497991450069465
ACH-000054,-0.34917507352246785
ACH-000055,-0.4397462370825184
ACH-000060,-0.3331629450235538
ACH-000067,-0.3546052654446423
ACH-000070,-0.35332297221044623
ACH-000075,-0.3440708308018272
ACH-000078,-0.5358959432690849
ACH-000082,-0.3175539706463588
ACH-000085,-0.350971612365452
ACH-000086,-0.2951134473181073
ACH-000087,-0.3405991102727549
ACH-000092,-0.3524091833274551
ACH-000095,-0.4226234895972918
ACH-000097,-0.4234209821829531
ACH-000098,-0.3168550709477059
ACH-000099,-0.4799327895010524
ACH-000108,-0.3154358374941993
ACH-000113,-0.2740022106258444
ACH-000116,-0.2601327198094649
ACH-000118,-0.2778268815482413
ACH-000120,-0.28113400796217725
ACH-000123,-0.23964749251816775
ACH-000127,-0.377771685388598
ACH-000128,-0.5217887242581762
ACH-000132,-0.2425380945229175
ACH-000133,-0.5125899986132213
ACH-000137,-0.5143109383544775
ACH-000138,-0.2572809214788792
ACH-000142,-0.3630281057012134
ACH-000143,-0.4156972454460804
ACH-000146,-0.3426401729239454
ACH-000148,-0.3137836383885694
ACH-000150,-0.2496091309646457
ACH-000152,-0.2318245416305296
ACH-000153,-0.3044914381936204
ACH-000159,-0.35551379338487066
ACH-000160,-0.3480858405573689
ACH-000163,-0.3455921891593796
ACH-000167,0.06974468233488408
ACH-000168,-0.4601761583446191
ACH-000169,-0.5263227317104121
ACH-000178,-0.31695880661148196
ACH-000183,-0.3241911653703411
