,SIPA1L3 (23094)
ACH-000004,-0.1800442825276689
ACH-000005,0.06537189415021401
ACH-000007,0.15666377706467216
ACH-000009,-0.04843683703916756
ACH-000011,0.2030738540177256
ACH-000012,-0.16390346145089565
ACH-000013,-0.32759057652798645
ACH-000014,-0.18373622717764054
ACH-000015,-0.3804796868293607
ACH-000017,-0.11597259976377358
ACH-000018,0.17627365589273472
ACH-000019,0.037149174523564886
ACH-000021,-0.06570712974772071
ACH-000022,-0.2615853661537349
ACH-000025,0.18749763770381825
ACH-000028,0.06112745854849865
ACH-000030,-0.17645726046121735
ACH-000035,-0.08505067274106398
ACH-000036,-0.021168344136731496
ACH-000037,-0.12863162685711282
ACH-000039,0.16743614972993293
ACH-000040,0.24125477577144375
ACH-000041,-0.19211746876482694
ACH-000042,0.02369952858459489
ACH-000045,-0.059367325477432925
ACH-000047,0.07227692737968232
ACH-000052,-0.2883862114452689
ACH-000053,-0.10813985855488574
ACH-000054,0.035782094655349324
ACH-000055,-0.05248525936148255
ACH-000060,0.1715823996120407
ACH-000067,0.009233701220381512
ACH-000070,0.08451893403718701
ACH-000075,-0.22648211242501184
ACH-000078,-0.003900853528182159
ACH-000082,-0.013009008484814677
ACH-000085,-0.16874244327151916
ACH-000086,-0.09731685933208173
ACH-000087,-0.029632027338786164
ACH-000092,-0.07459439100233603
ACH-000095,-0.07566771286351001
ACH-000097,-0.05741730361621725
ACH-000098,-0.01408062881658355
ACH-000099,0.04605072977301824
ACH-000108,0.039307107618759725
ACH-000113,0.009313268279071696
ACH-000116,-0.012546212384799313
ACH-000118,-0.0258086140727691
ACH-000120,-0.053729088703166436
ACH-000123,0.008954056452655035
ACH-000127,0.3294359788855684
ACH-000128,0.033001702372656185
ACH-000132,0.2256234120870424
ACH-000133,-0.0036730970643487344
ACH-000137,-0.16386604285124387
ACH-000138,-0.06592466252011908
ACH-000142,-0.13999811948801405
ACH-000143,-0.0541887544917295
ACH-000146,-0.07962338976808725
ACH-000148,0.005766047466041588
ACH-000150,-0.07480690686308268
ACH-000152,0.15024791360016526
ACH-000153,0.033518383980733084
ACH-000159,-0.0072536712236848
ACH-000160,-0.1258360213076088
ACH-000163,0.03143431264066352
ACH-000167,0.3993514976494392
ACH-000168,0.09497535179809133
ACH-000169,-0.10670416879387576
ACH-000178,0.059901330384592576
ACH-000183,0.0009187537298116367
ACH-000188,0.012603019965203415
ACH-000189,-0.06463826932318115
ACH-000190,-0.1980780216435037
ACH-000198,-0.005732623048571455
ACH-000203,-0.023237186133110342
ACH-000204,-0.3032205301460351
ACH-000206,0.31556649999441844
ACH-000207,-0.2292865221026032
ACH-000208,-0.11575518266975855
ACH-000210,0.3167945265987254
ACH-000211,0.06364591161225062
ACH-000215,-0.0024016392426824073
ACH-000221,-0.3568180323549241
ACH-000222,-0.06623523210586428
ACH-000223,0.04556244849924969
ACH-000226,0.1404457185804862
ACH-000227,-0.06839091666868144
ACH-000228,0.05038474543784077
ACH-000231,0.16913535806042662
ACH-000232,0.01824749073516422
ACH-000233,-0.122352411083491
ACH-000234,0.12894403320329065
ACH-000235,-0.07625541807160532
ACH-000237,-0.014854400595064612
ACH-000238,0.0731484381755358
ACH-000242,-0.06935120348555336
ACH-000243,0.014062131813111129
ACH-000244,0.014366990361366832
ACH-000246,0.2000666919358196
ACH-000248,0.11397513101637505
ACH-000250,0.08853592623975781
ACH-000251,-0.13448021126267148
ACH-000252,-0.1857363014121962
ACH-000253,-0.03748105396776466
ACH-000255,-0.049078295445052114
ACH-000256,0.05199992231806522
ACH-000257,0.020070743756501447
ACH-000258,0.04961988544035953
ACH-000259,0.04632278915760655
ACH-000260,-0.13534256420343355
ACH-000261,-0.0314047030744284
ACH-000262,-0.3016058624561734
ACH-000263,-0.2091610151888103
ACH-000264,0.06501375762379946
ACH-000265,-0.13528961860061844
