,ZBED6 (100381270)
ACH-000004,-0.10683461388441412
ACH-000005,-0.23614307005685756
ACH-000007,0.020572323249235518
ACH-000009,-0.14924471103668774
ACH-000011,-0.15410301511079078
ACH-000012,-0.06101215454314865
ACH-000013,-0.049089160739537466
ACH-000014,-0.018667324871686545
ACH-000015,-0.003158906265949364
ACH-000017,-0.1011960368355916
ACH-000018,-0.119420215876165
ACH-000019,-0.2487382994535795
ACH-000021,-0.10710766356704546
ACH-000022,-0.1228535386579514
ACH-000025,-0.06774054624102976
ACH-000028,-0.17767225721678995
ACH-000030,-0.0023920515778395428
ACH-000035,-0.11129869916016326
ACH-000036,-0.21954494008726647
ACH-000037,-0.19503066779772
ACH-000039,-0.09833165723159136
ACH-000040,-0.08325001203346515
ACH-000041,-0.13713646632786222
ACH-000042,-0.006810796722213007
ACH-000045,-0.1589154235653467
ACH-000047,0.02863144102512253
ACH-000052,-0.10898774514766536
ACH-000053,-0.002466324843776589
ACH-000054,-0.10885102192566924
ACH-000055,-0.08126166570464424
ACH-000060,-0.008253669023398852
ACH-000067,-0.10220567242484016
ACH-000070,-0.03035305120966546
ACH-000075,-0.1542912267615903
ACH-000078,-0.04785036482913661
ACH-000082,-0.0841480736722792
ACH-000085,0.06025159191462255
ACH-000086,-0.14059000962062496
ACH-000087,0.11927106566631157
ACH-000092,-0.14700469161131094
ACH-000095,-0.1338691261607026
ACH-000097,-0.08787471192487745
ACH-000098,-0.1058335374771676
ACH-000099,-0.10427440632777203
ACH-000108,0.062322858771281436
ACH-000113,-0.35621133466245913
ACH-000116,-0.14787923229046548
ACH-000118,-0.06644187734685339
ACH-000120,-0.2965067346171608
ACH-000123,-0.06332814924620428
ACH-000127,0.0060275189541174655
ACH-000128,-0.03083228309506858
ACH-000132,-0.20943988217128376
ACH-000133,-0.13335990131888684
ACH-000137,-0.108454234405582
ACH-000138,0.003715833706932765
ACH-000142,-0.04311954064861576
ACH-000143,-0.17759974225248404
ACH-000146,-0.059389079739330324
ACH-000148,-0.05057571408403642
ACH-000150,-0.11228902671985587
ACH-000152,-0.1197903146182668
ACH-000153,-0.1606355135387129
ACH-000159,-0.09993224735314786
ACH-000160,-0.03748271758135797
ACH-000163,-0.07656184116499723
ACH-000167,-0.2577032355049858
ACH-000168,-0.0018795597842233027
ACH-000169,-0.05466919902077843
ACH-000178,0.016230539698405558
ACH-000183,-0.0734323144250881
ACH-000188,-0.09949805960786223
ACH-000189,-0.16600993331104433
ACH-000190,0.06679256143182354
ACH-000198,-0.04536822332395639
ACH-000203,0.034606565871075065
ACH-000204,0.07846875708663444
ACH-000206,-0.15652016497333154
ACH-000207,-0.03685072208091327
ACH-000208,-0.13716877549946618
ACH-000210,0.04015394623933078
ACH-000211,-0.020852867266499497
ACH-000215,-0.11417260899476353
ACH-000221,0.03269691445695652
ACH-000222,-0.10960063053068686
ACH-000223,-0.2158719474544728
ACH-000226,-0.15913948680526824
ACH-000227,-0.24325159152006925
ACH-000228,-0.005254582343822243
ACH-000231,-0.11246844037746542
ACH-000232,-0.17020990307645328
ACH-000233,-0.029863169895699208
ACH-000234,-0.043980249737081714
ACH-000235,-0.14533705151445192
ACH-000237,-0.11384397640943494
ACH-000238,-0.18111666710421184
ACH-000242,-0.09257901500313474
ACH-000243,-0.03431884818507905
ACH-000244,-0.1960313387153829
ACH-000246,-0.1330371765625049
ACH-000248,-0.06227198243087759
ACH-000250,-0.06917501271707817
ACH-000251,-0.058921832455994826
ACH-000252,-0.12754540955735702
ACH-000253,-0.01763606840650108
ACH-000255,-0.12712600678614128
ACH-000256,0.09595581058680247
ACH-000257,-0.02675067936759276
ACH-000258,-0.09722234062383704
ACH-000259,-0.04807656226904577
ACH-000260,-0.11471435047696762
ACH-000261,-0.034598884250301574
ACH-000262,0.03248675018168374
ACH-000263,-0.3252888977294776
ACH-000264,-0.23538745413437145
ACH-000265,-0.023214254112578343
ACH-000266,-0.02689783523899006
ACH-000272,-0.15860611303277825
ACH-000274,-0.2449583998577509
